省,市,区,全名,别名,性质,等级
北京市,北京市,东城区,北京京东誉美肾病医院,北京京东誉美肾病医院,民营/专科医院,三级甲等　　
北京市,北京市,东城区,北京京坛医院,北京京坛医院_北京癫痫病医院,其他/综合医院,二级甲等
北京市,北京市,东城区,北京天安中医医院,北京天安中医院,其他/综合医院,未知
北京市,北京市,东城区,北京军区空军机关医院,北京光明医院,公立/专科医院,未知
北京市,北京市,东城区,北京军区空军机医院,北京市崇文光明医院,公立/专科医院,未知
北京市,北京市,东城区,北京和平里中医门诊部,北京和平里中医馆,民营/门诊,未评级
北京市,北京市,东城区,北京国龙中医医院,北京国龙中医医院,合资/综合医院,未评级
北京市,北京市,东城区,北京拜尔口腔门诊部,拜尔口腔门诊,个体户/综合医院,未知
北京市,北京市,东城区,中国中医科学院中医门诊部,中国中医科学院中医门诊部,公立/综合医院,未知
北京市,北京市,东城区,解读心理语言,解读心理语言,民营/综合医院,未知
北京市,北京市,东城区,北京中月宏医疗美容门诊部,北京中月宏医疗美容门诊部,个体户/综合医院,未知
北京市,北京市,东城区,陕西张大夫医院,陕西张大夫医院,民营/综合医院,一级甲等
北京市,北京市,东城区,北京王军整形,北京王军整形,民营/综合医院,一级甲等
北京市,北京市,东城区,李氏修牙所,李氏修牙所,民营/综合医院,一级甲等
北京市,北京市,东城区,北京诚和口腔诊所,北京诚和口腔诊所,民营/综合医院,未知
北京市,北京市,东城区,北京中研国医馆,北京中研国医馆,公立/综合医院,未知
北京市,北京市,东城区,北京东城肾病中医院,北京东城肾病中医院,合资/专科医院,未知
北京市,北京市,东城区,北京爱康国宾体检中心,北京爱康国宾体检中心,民营/专科医院,未知
北京市,北京市,东城区,北京同力医院,北京同力医院,民营/专科医院,未知
北京市,北京市,东城区,后勤指挥学院医院,后勤指挥学院医院,公立/专科医院,未知
北京市,北京市,东城区,北京同济男科医院,北京同济男科医院,民营/专科医院,未知
北京市,北京市,东城区,北京中西医结合血液病医院,北京中西医结合血液病医院,民营/综合医院,未知
北京市,北京市,东城区,北京美兆健康体检中心,北京美兆,民营/专科医院,未知
北京市,北京市,东城区,北京华兆益生体检中心,北京华兆益生体检中心,民营/专科医院,未知
北京市,北京市,东城区,北京金典糖尿病医院,北京金典糖尿病医院,其他/专科医院,未知
