省,市,区,全名,别名,性质,等级
北京市,北京市,崇文区,北京曹开镛中医男科医院（民营）,北京曹开镛中医男科医院,个体户/中医医院,未知
北京市,北京市,崇文区,北京崇文中方中医医院,北京中方中医院,民营/综合医院,未评级
北京市,北京市,崇文区,北京普京医院（民营）,北京普京医院,个体户/综合医院,未知
北京市,北京市,崇文区,北京市天坛中医院,北京市天坛中医院,公立/中医医院,未知
北京市,北京市,崇文区,北京天坛普华医院,北京天坛普华医院,合资/综合医院,未知
北京市,北京市,崇文区,中国中医药研究中心施恩癫痫病医院,中国中医药研究中心施恩癫痫病医院,合资/综合医院,未知
北京市,北京市,崇文区,中国中医药研究中心施恩白癜风医院,中国中医药研究中心施恩白癜风医院,合资/专科医院,未知
北京市,北京市,崇文区,北京博惠健康体检中心,北京博惠健康体检中心,民营/专科医院,未知
北京市,北京市,崇文区,北京英平风湿医院,北京英平风湿医院,民营/专科医院,未知
北京市,北京市,崇文区,北京市崇文英平医院,北京市崇文英平医院,民营/专科医院,未知
北京市,北京市,崇文区,北京健安医院,北京健安医院,公立/综合医院,未知
北京市,北京市,崇文区,北京市崇文区龙潭医院,北京市崇文区龙潭医院,公立/综合医院,一级甲等
北京市,北京市,崇文区,北京两广中医医院,北京两广中医医院,民营/综合医院,一级甲等
北京市,北京市,崇文区,北京东华医院,北京东华医院,公立/综合医院,一级甲等
北京市,北京市,崇文区,北京市崇文光明医院,北京市崇文光明医院,民营/综合医院,一级甲等
北京市,北京市,崇文区,北京市崇文区口腔医院,北京市崇文区口腔医院,公立/专科医院,一级甲等
北京市,北京市,崇文区,北京市崇文区体育馆路医院,崇文区精神病防治院,公立/专科医院,一级甲等
北京市,北京市,崇文区,北京市崇文区前门医院,北京市崇文区前门医院,公立/综合医院,一级甲等
北京市,北京市,崇文区,北京市崇文区结核病防治所,北京市崇文区结核病防治所,公立/专科医院,未知
北京市,北京市,崇文区,北京市崇文区第一人民医院,北京市崇文区第一人民医院,公立/综合医院,未知
北京市,北京市,崇文区,北京同仁堂崇文中医院,北京同仁堂崇文中医院,民营/综合医院,二级乙等
北京市,北京市,崇文区,北京市崇文区妇幼保健院,崇文区儿童医院,公立/专科医院,二级甲等
北京市,北京市,崇文区,北京市普仁医院,北京市第四医院,公立/综合医院,二级甲等
北京市,北京市,崇文区,首都医科大学附属北京天坛医院,北京天坛医院,公立/综合医院,三级甲等　　
北京市,北京市,崇文区,首都医科大学附属北京口腔医院,首都医科大学附属北京口腔医院,公立/专科医院,三级甲等　　
