省,市,区,全名,别名,性质,等级
北京市,北京市,房山区,北京石园社区卫生服务站,北京石园社区卫生服务站,其他/其他,未知
北京市,北京市,房山区,北京河南村社区卫生服务站,北京河南村社区卫生服务站,其他/其他,未知
北京市,北京市,房山区,北京下西市社区卫生服务站,北京下西市社区卫生服务站,其他/其他,未知
北京市,北京市,房山区,北京窦店镇望楚社区卫生服务站,北京窦店镇望楚社区卫生服务站,其他/其他,未知
北京市,北京市,房山区,北京青龙湖镇北车营社区卫生服务站,北京青龙湖镇北车营社区卫生服务站,其他/其他,未知
北京市,北京市,房山区,北京琉璃河镇李庄社区卫生服务站,北京琉璃河镇李庄社区卫生服务站,其他/其他,未知
北京市,北京市,房山区,北京窦店镇袁庄社区卫生服务站,北京窦店镇袁庄社区卫生服务站,其他/其他,未知
北京市,北京市,房山区,北京良乡镇社区卫生服务中心,北京良乡镇社区卫生服务中心,其他/其他,未知
北京市,北京市,房山区,北京石楼镇坨头社区卫生服务站,北京石楼镇坨头社区卫生服务站,其他/其他,未知
北京市,北京市,房山区,北京阎村社区卫生服务中心,北京阎村社区卫生服务中心,其他/其他,未知
北京市,北京市,房山区,北京燕山栗园社区卫生服务站,北京燕山栗园社区卫生服务站,其他/其他,未知
北京市,北京市,房山区,北京大安山社区卫生服务中心,北京大安山社区卫生服务中心,其他/其他,未知
北京市,北京市,房山区,北京城关街道社区卫生服务中心,北京城关街道社区卫生服务中心,其他/综合医院,未知
北京市,北京市,房山区,北京房山区新镇原新中路社区卫生服务站,北京房山区新镇原新中路社区卫生服务站,其他/其他,未知
北京市,北京市,房山区,北京石楼镇南庄社区卫生服务站,北京石楼镇南庄社区卫生服务站,其他/其他,未知
北京市,北京市,房山区,北京韩村河镇西小区社区卫生服务站,北京韩村河镇西小区社区卫生服务站,其他/其他,未知
北京市,北京市,房山区,北京周口店镇周口店社区卫生服务站,北京周口店镇周口店社区卫生服务站,其他/其他,未知
北京市,北京市,房山区,北京周口店镇周口村社区卫生服务站,北京周口店镇周口村社区卫生服务站,其他/其他,未知
北京市,北京市,房山区,北京大石窝镇辛庄社区卫生服务站,北京大石窝镇辛庄社区卫生服务站,其他/其他,未知
北京市,北京市,房山区,北京大石窝镇广润庄社区卫生服务站,北京大石窝镇广润庄社区卫生服务站,其他/其他,未知
北京市,北京市,房山区,北京燕化东风社区卫生服务中心,北京燕化东风社区卫生服务中心,其他/其他,未知
北京市,北京市,房山区,北京长沟镇西甘池社区卫生服务站,北京长沟镇西甘池社区卫生服务站,其他/其他,未知
北京市,北京市,房山区,北京燕山星城建德社区卫生服务站,北京燕山星城建德社区卫生服务站,其他/其他,未知
北京市,北京市,房山区,北京石楼社区卫生服务中心,北京石楼社区卫生服务中心,其他/其他,未知
北京市,北京市,房山区,北京南窖乡水峪社区卫生服务站,北京南窖乡水峪社区卫生服务站,其他/其他,未知
北京市,北京市,房山区,北京南窖乡南上岗社区卫生服务站,北京南窖乡南上岗社区卫生服务站,其他/其他,未知
北京市,北京市,房山区,北京窦店镇大高舍社区卫生服务站,北京窦店镇大高舍社区卫生服务站,其他/其他,未知
北京市,北京市,房山区,北京燕山星城健德三里社区卫生服务站,北京燕山星城健德三里社区卫生服务站,其他/其他,未知
北京市,北京市,房山区,北京阎村镇肖庄社区卫生服务站,北京阎村镇肖庄社区卫生服务站,公立/综合医院,未知
北京市,北京市,房山区,北京阎村镇后十三社区卫生服务站,北京阎村镇后十三社区卫生服务站,其他/其他,未知
北京市,北京市,房山区,北京青龙湖镇大苑村社区卫生服务站,北京青龙湖镇大苑村社区卫生服务站,其他/其他,未知
北京市,北京市,房山区,北京十渡镇西石门社区卫生服务站,北京十渡镇西石门社区卫生服务站,其他/其他,未知
北京市,北京市,房山区,北京长沟镇坟庄社区卫生服务站,北京长沟镇坟庄社区卫生服务站,其他/其他,未知
北京市,北京市,房山区,北京史家营社区卫生服务中心,北京史家营社区卫生服务中心,其他/其他,未知
北京市,北京市,房山区,北京阎村镇焦庄社区卫生服务站,北京阎村镇焦庄社区卫生服务站,其他/其他,未知
北京市,北京市,房山区,北京周口店镇娄子水社区卫生服务站,北京周口店镇娄子水社区卫生服务站,其他/其他,未知
北京市,北京市,房山区,北京周口店镇良各庄社区卫生服务站,北京周口店镇良各庄社区卫生服务站,其他/其他,未知
北京市,北京市,房山区,北京周口店镇大韩继社区卫生服务站,北京周口店镇大韩继社区卫生服务站,其他/其他,未知
北京市,北京市,房山区,北京张坊镇千河口社区卫生服务站,北京张坊镇千河口社区卫生服务站,其他/其他,未知
