省,市,区,全名,别名,性质,等级
北京市,北京市,昌平区,北京南庄营社区卫生服务站,北京南庄营社区卫生服务站,其他/其他,未知
北京市,北京市,昌平区,北京孟祖社区卫生服务站,北京孟祖社区卫生服务站,其他/其他,未知
北京市,北京市,昌平区,北京南邵社区卫生服务中心,北京南邵社区卫生服务中心,其他/其他,未知
北京市,北京市,昌平区,北京流村社区卫生服务中心,北京流村社区卫生服务中心,其他/其他,未知
北京市,北京市,昌平区,北京新村社区卫生服务站,北京新村社区卫生服务站,其他/其他,未知
北京市,北京市,昌平区,北京东沙社区卫生服务站,北京东沙社区卫生服务站,其他/其他,未知
北京市,北京市,昌平区,北京龙城花园社区卫生服务站,北京龙城花园社区卫生服务站,其他/其他,未知
北京市,北京市,昌平区,北京东村家园社区卫生服务站,北京东村家园社区卫生服务站,其他/其他,未知
北京市,北京市,昌平区,北京心泰陵社区卫生服务站,北京心泰陵社区卫生服务站,其他/其他,未知
北京市,北京市,昌平区,北京狮子营社区卫生服务站,北京狮子营社区卫生服务站,其他/其他,未知
北京市,北京市,昌平区,北京葫芦河社区卫生服务站,北京葫芦河社区卫生服务站,其他/其他,未知
北京市,北京市,昌平区,北京七里渠社区卫生服务站,北京七里渠社区卫生服务站,其他/其他,未知
北京市,北京市,昌平区,北京马池口社区卫生服务站,北京马池口社区卫生服务站,其他/其他,未知
北京市,北京市,昌平区,北京昌平区南口镇第一社区卫生服务站,北京昌平区南口镇第一社区卫生服务站,其他/其他,未知
北京市,北京市,昌平区,北京园区社区卫生服务站,北京园区社区卫生服务站,其他/其他,未知
北京市,北京市,昌平区,北京沙河社区卫生服务中心,北京沙河社区卫生服务中心,公立/综合医院,一级甲等
北京市,北京市,昌平区,北京马池口社区卫生服务中心,北京马池口社区卫生服务中心,其他/其他,未知
北京市,北京市,昌平区,北京天通苑北一区社区卫生服务站,北京天通苑北一区社区卫生服务站,其他/其他,未知
北京市,北京市,昌平区,北京西马坊社区卫生服务站,北京西马坊社区卫生服务站,其他/其他,未知
北京市,北京市,昌平区,北京郝庄社区卫生服务站,北京郝庄社区卫生服务站,其他/其他,未知
北京市,北京市,昌平区,北京三街社区卫生服务站,北京三街社区卫生服务站,其他/其他,未知
北京市,北京市,昌平区,北京永安社区卫生服务站,北京永安社区卫生服务站,其他/其他,未知
北京市,北京市,昌平区,北京阳坊社区卫生服务中心,北京阳坊社区卫生服务中心,其他/其他,未知
北京市,北京市,昌平区,北京西关社区卫生服务站,北京西关社区卫生服务站,其他/其他,未知
北京市,北京市,昌平区,北京东关南里社区卫生服务站,北京东关南里社区卫生服务站,其他/其他,未知
北京市,北京市,昌平区,北京十三陵社区卫生服务中心,北京十三陵社区卫生服务中心,其他/其他,未知
北京市,北京市,昌平区,北京天通苑东三区社区卫生服务站,北京天通苑东三区社区卫生服务站,其他/其他,未知
北京市,北京市,昌平区,北京天通苑西二区社区卫生服务站,北京天通苑西二区社区卫生服务站,其他/其他,未知
北京市,北京市,昌平区,北京九台都市社区卫生服务站,北京九台都市社区卫生服务站,其他/其他,未知
北京市,北京市,昌平区,北京天通苑二区社区卫生服务站,北京天通苑二区社区卫生服务站,其他/其他,未知
北京市,北京市,昌平区,北京名佳社区卫生服务站,北京名佳社区卫生服务站,其他/其他,未知
北京市,北京市,昌平区,北京丈头社区卫生服务站,北京丈头社区卫生服务站,其他/其他,未知
北京市,北京市,昌平区,北京天通西苑社区卫生服务站,北京天通西苑社区卫生服务站,其他/其他,未知
北京市,北京市,昌平区,北京城区社区卫生服务中心,北京城区社区卫生服务中心,其他/其他,未知
北京市,北京市,昌平区,北京辛庄社区卫生服务站,北京辛庄社区卫生服务站,其他/其他,未知
