省,市,区,全名,别名,性质,等级
北京市,北京市,大兴区,北京中科白癜风医院,北京中科白癜风医院,合资/专科医院,三级甲等　　
北京市,北京市,大兴区,北京耀华中医肿瘤门诊,北京耀华中医肿瘤门诊,民营/综合医院,一级甲等
北京市,北京市,大兴区,庞家结石病专科门诊,庞家结石病专科门诊,民营/综合医院,未知
北京市,北京市,大兴区,北京大兴兴业口腔医院,北京大兴兴业口腔医院,民营/专科医院,未知
北京市,北京市,大兴区,大兴区精神病医院,大兴区精神病医院,其他/专科医院,二级甲等
北京市,北京市,大兴区,北京军联骨科医院,北京颈腰椎病医院,其他/综合医院,未评级
北京市,北京市,大兴区,北京中科华北中医院,北京中科华北中医医院,其他/专科医院,未知
北京市,北京市,大兴区,北京宏福园社区卫生服务站,北京宏福园社区卫生服务站,其他/其他,未知
北京市,北京市,大兴区,北京天华园社区卫生服务站,北京天华园社区卫生服务站,其他/其他,未知
北京市,北京市,大兴区,北京青云店社区卫生服务中心,北京青云店社区卫生服务中心,其他/其他,未知
北京市,北京市,大兴区,北京新建社区卫生服务站,北京新建社区卫生服务站,其他/其他,未知
北京市,北京市,大兴区,北京后甫社区卫生服务站,北京后甫社区卫生服务站,其他/其他,未知
北京市,北京市,大兴区,北京大同营社区卫生服务站,北京大同营社区卫生服务站,其他/其他,未知
北京市,北京市,大兴区,北京黄村西里社区卫生服务站,北京黄村西里社区卫生服务站,其他/其他,未知
北京市,北京市,大兴区,北京羊坊社区卫生服务站,北京羊坊社区卫生服务站,其他/其他,未知
北京市,北京市,大兴区,北京西南研垡社区卫生服务站,北京西南研垡社区卫生服务站,其他/其他,未知
北京市,北京市,大兴区,北京张各庄社区卫生服务站,北京张各庄社区卫生服务站,其他/其他,未知
北京市,北京市,大兴区,北京南黑垡社区卫生服务站,北京南黑垡社区卫生服务站,其他/其他,未知
北京市,北京市,大兴区,北京孙村社区卫生服务中心,北京孙村社区卫生服务中心,其他/其他,未知
北京市,北京市,大兴区,北京黎明社区卫生服务站,北京黎明社区卫生服务站,其他/其他,未知
北京市,北京市,大兴区,北京大张本社区卫生服务站,北京大张本社区卫生服务站,其他/其他,未知
北京市,北京市,大兴区,北京贺北社区卫生服务站,北京贺北社区卫生服务站,其他/其他,未知
北京市,北京市,大兴区,北京罗庄社区卫生服务站,北京罗庄社区卫生服务站,其他/其他,未知
北京市,北京市,大兴区,北京安场社区卫生服务站,北京安场社区卫生服务站,其他/其他,未知
北京市,北京市,大兴区,北京郑二营社区卫生服务站,北京郑二营社区卫生服务站,其他/其他,未知
北京市,北京市,大兴区,北京沁水营社区卫生服务站,北京沁水营社区卫生服务站,其他/其他,未知
北京市,北京市,大兴区,北京牛坊社区卫生服务站,北京牛坊社区卫生服务站,其他/其他,未知
北京市,北京市,大兴区,北京北顿垡社区卫生服务站,北京北顿垡社区卫生服务站,其他/其他,未知
北京市,北京市,大兴区,北京赵村社区卫生服务站,北京赵村社区卫生服务站,其他/其他,未知
北京市,北京市,大兴区,北京北蒲洲社区卫生服务站,北京北蒲洲社区卫生服务站,其他/其他,未知
北京市,北京市,大兴区,北京马各庄社区卫生服务站,北京马各庄社区卫生服务站,其他/其他,未知
北京市,北京市,大兴区,北京兴政西里社区卫生服务站,北京兴政西里社区卫生服务站,其他/其他,未知
北京市,北京市,大兴区,北京河南辛庄社区卫生服务站,北京河南辛庄社区卫生服务站,其他/其他,未知
北京市,北京市,大兴区,北京东枣林社区卫生服务站,北京东枣林社区卫生服务站,其他/其他,未知
北京市,北京市,大兴区,北京利市营社区卫生服务站,北京利市营社区卫生服务站,其他/其他,未知
北京市,北京市,大兴区,北京新立村社区卫生服务站,北京新立村社区卫生服务站,其他/其他,未知
北京市,北京市,大兴区,北京金华园社区卫生服务站,北京金华园社区卫生服务站,其他/其他,未知
北京市,北京市,大兴区,北京立垡社区卫生服务站,北京立垡社区卫生服务站,其他/其他,未知
北京市,北京市,大兴区,北京清澄名苑社区卫生服务站,北京清澄名苑社区卫生服务站,其他/其他,未知
北京市,北京市,大兴区,北京车站中里社区卫生服务站,北京车站中里社区卫生服务站,其他/其他,未知
北京市,北京市,大兴区,北京北章客社区卫生服务站,北京北章客社区卫生服务站,其他/其他,未知
北京市,北京市,大兴区,北京西良社区卫生服务站,北京西良社区卫生服务站,其他/其他,未知
北京市,北京市,大兴区,北京福苑社区卫生服务站,北京福苑社区卫生服务站,其他/其他,未知
北京市,北京市,大兴区,北京西高各庄社区卫生服务站,北京西高各庄社区卫生服务站,其他/其他,未知
北京市,北京市,大兴区,北京西里河社区卫生服务站,北京西里河社区卫生服务站,其他/其他,未知
北京市,北京市,大兴区,北京兴丰街道社区卫生服务中心,北京兴丰街道社区卫生服务中心,其他/其他,未知
北京市,北京市,大兴区,北京荆家务社区卫生服务站,北京荆家务社区卫生服务站,其他/其他,未知
北京市,北京市,大兴区,北京吴庄社区卫生服务站,北京吴庄社区卫生服务站,其他/其他,未知
北京市,北京市,大兴区,北京西黄垡社区卫生服务站,北京西黄垡社区卫生服务站,其他/其他,未知
北京市,北京市,大兴区,北京长子营社区卫生服务中心,北京长子营社区卫生服务中心,其他/其他,未知
北京市,北京市,大兴区,北京沙窝店社区卫生服务站,北京沙窝店社区卫生服务站,其他/其他,未知
北京市,北京市,大兴区,北京采育社区卫生服务中心,北京采育社区卫生服务中心,其他/其他,未知
