省,市,区,全名,别名,性质,等级
北京市,北京市,怀柔区,北京于家园社区卫生服务站,北京于家园社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京两河社区卫生服务站,北京两河社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京北年丰社区卫生服务站,北京北年丰社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京汇都社区卫生服务站,北京汇都社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京黄坎社区卫生服务站,北京黄坎社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京泉河街道社区卫生服务中心,北京泉河街道社区卫生服务中心,其他/其他,未知
北京市,北京市,怀柔区,北京张自口社区卫生服务站,北京张自口社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京宝山镇社区卫生服务中心,北京宝山镇社区卫生服务中心,其他/其他,未知
北京市,北京市,怀柔区,北京前茶坞社区卫生服务站,北京前茶坞社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京杨宋镇社区卫生服务中心,北京杨宋镇社区卫生服务中心,其他/其他,未知
北京市,北京市,怀柔区,北京雁栖镇社区卫生服务中心,北京雁栖镇社区卫生服务中心,其他/其他,未知
北京市,北京市,怀柔区,北京沙峪社区卫生服务站,北京沙峪社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京怀北镇社区卫生服务中心,北京怀北镇社区卫生服务中心,其他/其他,未知
北京市,北京市,怀柔区,北京卜营社区卫生服务站,北京卜营社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京小黄塘社区卫生服务站,北京小黄塘社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京汤河口镇社区卫生服务中心,北京汤河口镇社区卫生服务中心,其他/其他,未知
北京市,北京市,怀柔区,北京龙山街道社区卫生服务中心,北京龙山街道社区卫生服务中心,其他/其他,未知
北京市,北京市,怀柔区,北京庙城镇社区卫生服务中心,北京庙城镇社区卫生服务中心,其他/综合医院,未知
北京市,北京市,怀柔区,北京七道河社区卫生服务站,北京七道河社区卫生服务站,公立/其他,未知
北京市,北京市,怀柔区,北京长哨营社区卫生服务中心,北京长哨营社区卫生服务中心,其他/其他,未知
北京市,北京市,怀柔区,北京乐园庄社区卫生服务站,北京乐园庄社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京桥梓镇社区卫生服务中心,北京桥梓镇社区卫生服务中心,其他/其他,未知
北京市,北京市,怀柔区,北京范各庄社区卫生服务站,北京范各庄社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京陈各庄社区卫生服务站,北京陈各庄社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京长园社区卫生服务站,北京长园社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京北台下社区卫生服务站,北京北台下社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京东关社区卫生服务站,北京东关社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京琉璃庙镇社区卫生服务中心,北京琉璃庙镇社区卫生服务中心,其他/其他,未知
北京市,北京市,怀柔区,北京唐自口社区卫生服务站,北京唐自口社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京家园社区卫生服务站,北京家园社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京下元社区卫生服务站,北京下元社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京金泰苑社区卫生服务站,北京金泰苑社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京潘家园社区卫生服务站,北京潘家园社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京北房镇社区卫生服务中心,北京北房镇社区卫生服务中心,其他/其他,未知
北京市,北京市,怀柔区,北京东帽湾社区卫生服务站,北京东帽湾社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京车站路社区卫生服务站,北京车站路社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京渤海镇社区卫生服务中心,北京渤海镇社区卫生服务中心,其他/其他,未知
北京市,北京市,怀柔区,北京融城社区卫生服务站,北京融城社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京孙史山社区卫生服务站,北京孙史山社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京南华园三区卫生服务站,北京南华园三区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京南华社区卫生服务站,北京南华社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京富乐小区社区卫生服务站,北京富乐小区社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京郑重庄社区卫生服务站,北京郑重庄社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京碾子社区卫生服务站,北京碾子社区卫生服务站,其他/综合医院,未知
北京市,北京市,怀柔区,北京喇叭沟门社区卫生服务中心,北京喇叭沟门社区卫生服务中心,其他/综合医院,未知
北京市,北京市,怀柔区,北京河防口社区卫生服务站,北京河防口社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京九渡河社区卫生服务中心,北京九渡河社区卫生服务中心,其他/其他,未知
北京市,北京市,怀柔区,北京龙湖社区卫生服务站,北京龙湖社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京九渡河社区卫生服务站,北京九渡河社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京钓鱼台社区卫生服务站,北京钓鱼台社区卫生服务站,公立/其他,未知
北京市,北京市,怀柔区,北京怀柔镇社区卫生服务中心,北京怀柔镇社区卫生服务中心,其他/其他,未知
北京市,北京市,怀柔区,北京金台园社区卫生服务站,北京金台园社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京滨湖社区卫生服务站,北京滨湖社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京湖光社区卫生服务站,北京湖光社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京三山社区卫生服务站,北京三山社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京石厂社区卫生服务站,北京石厂社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京康益德医院,北京康益德中西医结合肺科医院,民营/综合医院,未知
北京市,北京市,怀柔区,北京仁和通医院,北京仁和通医院,民营/综合医院,未知
北京市,北京市,怀柔区,北京市怀柔区肛肠医院,北京市怀柔区肛肠医院,民营/综合医院,一级甲等
北京市,北京市,怀柔区,北京市怀柔安佳医院,怀柔北铁路医院,民营/综合医院,一级甲等
北京市,北京市,怀柔区,北京市怀柔区第二医院,北京市怀柔区第二医院,公立/综合医院,二级乙等
北京市,北京市,怀柔区,北京市怀柔区妇幼保健院,北京市怀柔区妇幼保健院,民营/综合医院,二级甲等
北京市,北京市,怀柔区,北京市怀柔区第一医院,北京市怀柔区第一医院,公立/综合医院,二级甲等
北京市,北京市,怀柔区,北京市怀柔区中医医院,北京市怀柔区中医医院,公立/综合医院,二级甲等
北京市,北京市,怀柔区,北京南华园四区卫生服务站,北京南华园四区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京青春苑社区卫生服务站,北京青春苑社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京黄花甸子社区卫生服务站,北京黄花甸子社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京大水峪社区卫生服务站,北京大水峪社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京雁栖经济开发区社区卫生服务站,北京雁栖经济开发区社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京三渡河社区卫生服务站,北京三渡河社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京马道峪社区卫生服务站,北京马道峪社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京安各庄社区卫生服务站,北京安各庄社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京八亩地社区卫生服务站,北京八亩地社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京张各庄社区卫生服务站,北京张各庄社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京北宅社区卫生服务站,北京北宅社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京平义分社区卫生服务站,北京平义分社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京东庄社区卫生服务站,北京东庄社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京丽湖社区卫生服务站,北京丽湖社区卫生服务站,其他/其他,未知
北京市,北京市,怀柔区,北京市怀柔区雁栖医院,北京市怀柔区雁栖医院,公立/综合医院,一级甲等
北京市,北京市,怀柔区,北京市怀柔区精康医院,北京市怀柔区精康医院,公立/综合医院,一级甲等
