省,市,区,全名,别名,性质,等级
北京市,北京市,密云县,北京密云水库医院,北京密云水库医院,民营/专科医院,一级甲等
北京市,北京市,密云县,密云县鼓楼社区卫生服务中心,密云县滨阳医院,公立/综合医院,一级甲等
北京市,北京市,密云县,密云县第二医院,密云县第二医院,民营/综合医院,二级乙等
北京市,北京市,密云县,密云县太师屯镇社区卫生服务中心,密云县第二人民医院,公立/综合医院,二级乙等
北京市,北京市,密云县,密云县妇幼保健院,密云县妇幼保健院,合资/综合医院,二级甲等
北京市,北京市,密云县,北京密云县医院,北京密云县医院,公立/综合医院,二级甲等
北京市,北京市,密云县,北京脑血管病医院,脑血管病医院,民营/专科医院,一级甲等
北京市,北京市,密云县,北京冯家峪镇社区卫生服务中心,北京冯家峪镇社区卫生服务中心,其他/其他,未知
北京市,北京市,密云县,北京东邵渠镇社区卫生服务中心,北京东邵渠镇社区卫生服务中心,其他/其他,未知
北京市,北京市,密云县,北京溪翁庄镇北白岩村社区卫生服务站,北京溪翁庄镇北白岩村社区卫生服务站,其他/其他,未知
北京市,北京市,密云县,北京冯家峪镇服务中心番字牌村社区卫生服务站,北京冯家峪镇服务中心番字牌村社区卫生服务站,其他/其他,未知
北京市,北京市,密云县,北京大城子镇社区卫生服务中心,北京大城子镇社区卫生服务中心,其他/其他,未知
北京市,北京市,密云县,北京穆家峪镇服务中心庄头峪村社区卫生服务站,北京穆家峪镇服务中心庄头峪村社区卫生服务站,其他/其他,未知
北京市,北京市,密云县,北京鼓楼社区卫生服务中心长安社区服务站,北京鼓楼社区卫生服务中心长安社区服务站,其他/其他,未知
北京市,北京市,密云县,北京鼓楼社区卫生服务中心东菜园社区卫生服务站,北京鼓楼社区卫生服务中心东菜园社区卫生服务站,其他/其他,未知
北京市,北京市,密云县,北京新城子镇服务中心曹家路村社区卫生服务站,北京新城子镇服务中心曹家路村社区卫生服务站,其他/其他,未知
北京市,北京市,密云县,北京石城镇社区卫生服务中心,北京石城镇社区卫生服务中心,其他/其他,未知
北京市,北京市,密云县,北京新城子镇社区卫生服务中心,北京新城子镇社区卫生服务中心,其他/其他,未知
北京市,北京市,密云县,北京果园社区卫生服务中心,北京果园社区卫生服务中心,其他/其他,未知
北京市,北京市,密云县,北京河南寨镇社区卫生服务中心,北京河南寨镇社区卫生服务中心,其他/其他,未知
北京市,北京市,密云县,北京高岭镇服务中心上甸子村社区卫生服务站,北京高岭镇服务中心上甸子村社区卫生服务站,其他/其他,未知
北京市,北京市,密云县,北京果园服务中心康居社区卫生服务站,北京果园服务中心康居社区卫生服务站,其他/其他,未知
北京市,北京市,密云县,北京溪翁庄镇服务中心石马峪村社区卫生服务站,北京溪翁庄镇服务中心石马峪村社区卫生服务站,其他/其他,未知
北京市,北京市,密云县,北京溪翁庄镇社区卫生服务中心,北京溪翁庄镇社区卫生服务中心,其他/其他,未知
北京市,北京市,密云县,北京西田各庄镇社区卫生服务中心,北京西田各庄镇社区卫生服务中心,其他/其他,未知
北京市,北京市,密云县,北京溪翁庄镇服务中心金叵罗村社区卫生服务站,北京溪翁庄镇服务中心金叵罗村社区卫生服务站,其他/其他,未知
北京市,北京市,密云县,北京不老屯镇社区卫生服务中心,北京不老屯镇社区卫生服务中心,其他/其他,未知
北京市,北京市,密云县,北京穆家峪镇社区卫生服务中心,北京穆家峪镇社区卫生服务中心,其他/其他,未知
北京市,北京市,密云县,北京太师屯镇社区卫生服务中心,北京太师屯镇社区卫生服务中心,其他/其他,未知
北京市,北京市,密云县,北京穆家峪镇服务中心前栗园村社区卫生服务站,北京穆家峪镇服务中心前栗园村社区卫生服务站,其他/其他,未知
北京市,北京市,密云县,北京西田各庄镇服务中心卸甲山村社区卫生服务站,北京西田各庄镇服务中心卸甲山村社区卫生服务站,其他/其他,未知
北京市,北京市,密云县,北京穆家峪镇服务中心碱厂村社区卫生服务站,北京穆家峪镇服务中心碱厂村社区卫生服务站,其他/其他,未知
北京市,北京市,密云县,北京十里堡镇社区卫生服务中心,北京十里堡镇社区卫生服务中心,其他/其他,未知
北京市,北京市,密云县,北京密云镇社区卫生服务中心,北京密云镇社区卫生服务中心,其他/其他,未知
北京市,北京市,密云县,北京西田各庄镇服务中心西庄户村社区卫生服务站,北京西田各庄镇服务中心西庄户村社区卫生服务站,其他/其他,未知
北京市,北京市,密云县,北京北庄镇社区卫生服务中心,北京北庄镇社区卫生服务中心,其他/其他,未知
北京市,北京市,密云县,北京巨各庄镇社区卫生服务中心,北京巨各庄镇社区卫生服务中心,其他/其他,未知
北京市,北京市,密云县,北京鼓楼社区卫生服务中心滨阳北里社区卫生服务站,北京鼓楼社区卫生服务中心滨阳北里社区卫生服务站,其他/其他,未知
北京市,北京市,密云县,北京鼓楼社区卫生服务中心行宫社区卫生服务站,北京鼓楼社区卫生服务中心行宫社区卫生服务站,其他/其他,未知
北京市,北京市,密云县,北京鼓楼社区卫生服务中心,北京鼓楼社区卫生服务中心,其他/其他,未知
北京市,北京市,密云县,北京鼓楼社区卫生服务中心宾阳社区卫生服务站,北京鼓楼社区卫生服务中心宾阳社区卫生服务站,其他/其他,未知
