省,市,区,全名,别名,性质,等级
上海市,上海市,卢湾区,上海瑞视眼科,瑞金医院眼科中心,公立/眼科医院,未知
上海市,上海市,卢湾区,上海肛泰医院,上海肛泰医院,公立/专科医院,未知
上海市,上海市,卢湾区,上海市卢湾区妇幼保健院,上海市卢湾区妇幼保健院,公立/综合医院,未知
上海市,上海市,卢湾区,上海市徐汇区徐家汇地段医院,上海市徐汇区徐家汇地段医院,公立/综合医院,一级甲等
上海市,上海市,卢湾区,上海瑞视眼科,上海瑞视眼科,公立/专科医院,未知
上海市,上海市,卢湾区,上海泰坤堂中医医院,上海名老中医会诊中心,民营/综合医院,未知
上海市,上海市,卢湾区,江南造船集团职工医院,江南造船集团职工医院,公立/综合医院,未知
上海市,上海市,卢湾区,上海市中医文献馆中医门诊部,上海市中医文献馆中医门诊部,公立/综合医院,未知
上海市,上海市,卢湾区,淮海中路地段医院,淮海中路地段医院,公立/综合医院,一级乙等
上海市,上海市,卢湾区,卢湾区五里桥街道社区卫生服务中心,卢湾区五里桥街道社区卫生服务中心,公立/综合医院,一级甲等
上海市,上海市,卢湾区,瑞金二路地段医院,瑞金二路地段医院,公立/综合医院,一级甲等
上海市,上海市,卢湾区,卢湾区顺昌医院,卢湾区顺昌路地段医院,公立/综合医院,一级甲等
上海市,上海市,卢湾区,打浦桥街道社区卫生服务中心,打浦桥街道社区卫生服务中心,公立/综合医院,一级甲等
上海市,上海市,卢湾区,上海市市政医院,上海市市政医院,公立/综合医院,二级乙等
上海市,上海市,卢湾区,上海市卢湾区香山中医医院,上海市卢湾区香山中医医院,公立/综合医院,二级乙等
上海市,上海市,卢湾区,上海市卢湾区东南医院,上海市卢湾区东南医院,公立/综合医院,二级乙等
上海市,上海市,卢湾区,上海卢湾区妇幼保健院,卢湾区妇幼保健院,公立/综合医院,二级甲等
上海市,上海市,卢湾区,上海交通大学附属瑞金医院卢湾分院,上海市卢湾区中心医院,公立/综合医院,二级甲等
上海市,上海市,卢湾区,上海市卢湾区精神卫生中心,上海市卢湾区精神卫生中心,公立/专科医院,二级甲等
上海市,上海市,卢湾区,卢湾区牙病防治所,卢湾区牙防所,其他/专科医院,未知
上海市,上海市,卢湾区,上海曙光医院,曙光医院、中医药大学曙光医院、上海中医药大学附属曙光医院,公立/综合医院,三级甲等　　
上海市,上海市,卢湾区,上海交通大学附属瑞金医院,上海交通大学附属瑞金医院,公立/综合医院,三级甲等　　
上海市,上海市,卢湾区,上海市打浦桥地段医院,上海市打浦桥地段医院,公立/综合医院,未知
