省,市,区,全名,别名,性质,等级
上海市,上海市,徐汇区,上海乐天美容整形外科医院,上海乐天美容整形外科医院,个体户/综合医院,未知
上海市,上海市,徐汇区,上海市徐汇区牙病防治所,上海市徐汇区牙病防治所,公立/综合医院,二级甲等
上海市,上海市,徐汇区,上海健丽医疗美容门诊,上海健丽医疗美容门诊,个体户/综合医院,未知
上海市,上海市,徐汇区,上海善成心理咨询中心,上海善成心理咨询中心,个体户/其他,未知
上海市,上海市,徐汇区,上海恺宏口腔门诊部,上海恺宏口腔门诊部,个体户/口腔医院,未知
上海市,上海市,徐汇区,上海银河医院（民营）,上海银河医院（民营）,个体户/综合医院,未知
上海市,上海市,徐汇区,徐汇区精神病卫生中心华龙地段医院,徐汇区精神病卫生中心华龙地段医院,公立/综合医院,未知
上海市,上海市,徐汇区,上海市松江区传染病医院,上海市松江区传染病医院,公立/传染病医院,未知
上海市,上海市,徐汇区,上海计生所医院,上海计划生育研究所附属医院,公立/专科医院,一级甲等
上海市,上海市,徐汇区,上海洛伊克巴德门诊部,上海洛伊克巴德口腔医院,民营/综合医院,民营医院
上海市,上海市,徐汇区,美年体检,上海美年体检中心,民营/专科医院,民营医院
上海市,上海市,徐汇区,上海市沪申五官科医院,上海市沪申五官科医院,民营/专科医院,未知
上海市,上海市,徐汇区,上海远大心胸医院,上海远大心胸医院,民营/专科医院,未知
上海市,上海市,徐汇区,上海计生所医院,上海市计生所医院,公立/专科医院,未知
上海市,上海市,徐汇区,上海福仁眼科技术研究所,上海福仁眼科技术研究所,民营/专科医院,未知
上海市,上海市,徐汇区,上海沪申五官科医院,沪申五官科医院,其他/专科医院,未知
上海市,上海市,徐汇区,上海市徐汇区牙防所,徐汇区牙防所,民营/综合医院,未知
上海市,上海市,徐汇区,上海沐阳医院,沐阳医院,民营/专科医院,二级乙等
上海市,上海市,徐汇区,上海市文艺门诊部,上海市文艺门诊部,公立/综合医院,未知
上海市,上海市,徐汇区,上海博爱医院,上海轻工职工医院(民营) 上海博爱医院,民营/综合医院,未知
上海市,上海市,徐汇区,上海龙泰国医馆,上海龙泰国医馆,民营/综合医院,未知
上海市,上海市,徐汇区,上海仁爱医院,上海仁爱医院,民营/综合医院,未知
上海市,上海市,徐汇区,上海万众医院,上海万众医院,民营/综合医院,未知
上海市,上海市,徐汇区,徐汇区虹梅地段医院,徐汇区虹梅地段医院,公立/综合医院,一级甲等
上海市,上海市,徐汇区,徐汇区凌云街道社区卫生服务中心,徐汇区凌云街道社区卫生服务中心,公立/综合医院,一级甲等
上海市,上海市,徐汇区,上海市公安消防总队职工医院,上海市公安消防总队职工医院,公立/综合医院,一级甲等
上海市,上海市,徐汇区,上海市徐汇区宛平地段医院,上海市徐汇区宛平地段医院,公立/综合医院,二级乙等
上海市,上海市,徐汇区,上海市徐汇区日晖地段医院,上海市徐汇区日晖地段医院,公立/综合医院,二级乙等
上海市,上海市,徐汇区,上海市徐汇区妇幼保健所,上海市徐汇区妇幼保健所,公立/综合医院,二级乙等
上海市,上海市,徐汇区,徐汇区大华医院,徐汇区大华医院,公立/综合医院,二级乙等
上海市,上海市,徐汇区,徐汇区日晖地段医院,徐汇区日晖地段医院,公立/综合医院,二级乙等
上海市,上海市,徐汇区,徐汇区精神卫生中心龙华地段医院,徐汇区精神卫生中心龙华地段医院,公立/综合医院,二级甲等
上海市,上海市,徐汇区,上海远洋医院,上海远洋医院,公立/综合医院,二级甲等
上海市,上海市,徐汇区,上海市第八人民医院,上海市第八人民医院,公立/综合医院,二级甲等
上海市,上海市,徐汇区,上海市徐汇区中心医院,上海市徐汇区中心医院,公立/综合医院,二级甲等
上海市,上海市,徐汇区,上海市精神卫生中心,上海市精神卫生中心,公立/专科医院,三级乙等
上海市,上海市,徐汇区,上海市针灸经络研究所医疗门诊部,上海市针灸经络研究所医疗门诊部,公立/专科医院,三级乙等
上海市,上海市,徐汇区,上海市气功研究所医疗门诊部,上海中医药大学附属医疗门诊部,公立/专科医院,三级乙等
上海市,上海市,徐汇区,复旦大学附属华山医院,华山医院,公立/综合医院,三级甲等　　
上海市,上海市,徐汇区,上海中医药大学附属龙华医院,上海龙华医院,公立/综合医院,三级甲等　　
上海市,上海市,徐汇区,复旦大学附属儿科医院徐汇院区,复旦大学附属儿科医院徐汇院区,公立/专科医院,三级甲等　　
上海市,上海市,徐汇区,上海交通大学附属第六人民医院,上海交通大学附属第六人民医院,公立/综合医院,三级甲等　　
上海市,上海市,徐汇区,复旦大学附属肿瘤医院,上海镭锭医院、上海市肿瘤医院、上海第一医学院肿瘤医院,公立/专科医院,三级甲等　　
上海市,上海市,徐汇区,复旦大学附属眼耳鼻喉科医院,复旦大学附属眼耳鼻喉科医院,公立/专科医院,三级甲等　　
上海市,上海市,徐汇区,复旦大学附属中山医院,复旦大学附属中山医院,公立/综合医院,三级甲等　　
上海市,上海市,徐汇区,上海交通大学附属胸科医院,上海交通大学附属胸科医院,公立/专科医院,三级甲等　　
上海市,上海市,徐汇区,上海市徐汇区精神卫生中心,上海市徐汇区精神卫生中心,公立/综合医院,三级甲等　　
上海市,上海市,徐汇区,中国福利会国际和平妇幼保健院,上海交通大学医学院附属国际和平妇幼保健院,公立/专科医院,三级甲等　　
上海市,上海市,徐汇区,上海红枫国际妇产医院,上海红枫国际妇产医院,外资/专科医院,未知
上海市,上海市,徐汇区,上海长桥街道社区卫生服务中心,上海长桥街道社区卫生服务中心,其他/综合医院,一级甲等
上海市,上海市,徐汇区,上海华泾镇社区卫生服务中心,上海华泾镇社区卫生服务中心,其他/其他,未知
上海市,上海市,徐汇区,上海徐家汇街道社区卫生服务中心,徐家汇地段医院,其他/综合医院,一级甲等
上海市,上海市,徐汇区,上海漕河泾街道社区卫生服务中心,漕河泾地段医院,其他/其他,未知
上海市,上海市,徐汇区,上海康健街道社区卫生服务中心,上海康健街道社区卫生服务中心,其他/综合医院,一级甲等
上海市,上海市,徐汇区,上海天平街道社区卫生服务中心,上海天平街道社区卫生服务中心,其他/综合医院,一级甲等
上海市,上海市,徐汇区,上海龙华街道社区卫生服务中心,上海龙华街道社区卫生服务中心,其他/其他,未知
上海市,上海市,徐汇区,上海斜土街道社区卫生服务中心,上海斜土街道社区卫生服务中心,其他/其他,未知
上海市,上海市,徐汇区,上海田林街道社区卫生服务中心,上海田林街道社区卫生服务中心,其他/综合医院,一级甲等
上海市,上海市,徐汇区,上海虹梅街道社区卫生服务中心,上海虹梅街道社区卫生服务中心,公立/综合医院,一级甲等
上海市,上海市,徐汇区,上海枫林街道社区卫生服务中心,上海枫林街道社区卫生服务中心,其他/其他,未知
上海市,上海市,徐汇区,麦芒（上海）心理咨询中心,麦芒（上海）心理咨询中心,民营/综合医院,未知
上海市,上海市,徐汇区,上海澳克曼听力中心,上海澳克曼听力中心,个体户/综合医院,未知
上海市,上海市,徐汇区,复旦大学附属眼耳鼻喉科医院浦东分院,五官科医院浦东分院,公立/综合医院,三级甲等　　
上海市,上海市,徐汇区,上海市徐汇区天平路地段医院,上海市徐汇区天平路地段医院,公立/综合医院,一级甲等
上海市,上海市,徐汇区,上海市徐汇区田林路地段医院,上海市徐汇区田林路地段医院,公立/综合医院,一级乙等
上海市,上海市,徐汇区,上海市体育医院,上海市体育医院,公立/综合医院,未知
上海市,上海市,徐汇区,上海伽玛刀医院（民营）,上海伽玛刀医院（民营）,个体户/综合医院,未知
上海市,上海市,徐汇区,上海市松江区结核病防治院,上海市松江区结核病防治院,公立/综合医院,未知
上海市,上海市,徐汇区,上海喜美医疗美容门诊,上海喜美医疗美容门诊,民营/门诊,未评级
上海市,上海市,徐汇区,上海市口腔病防治院（复兴中路分院）,上海牙科医院,其他/综合医院,未知
上海市,上海市,徐汇区,上海市徐汇区新乐地段医院,上海市徐汇区新乐地段医院,公立/综合医院,一级甲等
上海市,上海市,徐汇区,上海泓虎口腔门诊部,上海泓虎口腔门诊部,个体户/口腔医院,未知
上海市,上海市,徐汇区,上海市闵行区结核病防治院,上海市闵行区结核病防治院,公立/综合医院,未知
上海市,上海市,徐汇区,上海市徐汇区大华医院,上海市徐汇区大华医院,公立/综合医院,未知
上海市,上海市,徐汇区,上海海工医院（民营）,上海海工医院（民营）,个体户/综合医院,一级甲等
上海市,上海市,徐汇区,上海蓝十字脑科医院,上海蓝十字医院,其他/综合医院,未知
上海市,上海市,徐汇区,上海德种口腔门诊部,德种口腔,民营/门诊,民营医院
上海市,上海市,徐汇区,上海万众整形医院,上海万众整形美容医院,民营/专科医院,二级甲等
上海市,上海市,徐汇区,上海万众口腔医院,万众牙科医院,民营/专科医院,未知
上海市,上海市,徐汇区,上海百达丽医疗美容门诊部,上海百达丽医疗美容门诊部,其他/门诊,未知
上海市,上海市,徐汇区,上海徐汇区日月星养老院,徐汇日月星敬老院,民营/专科医院,民营医院
