省,市,区,全名,别名,性质,等级
上海市,上海市,长宁区,上海纺织第三医院上海友谊医院,上海纺织第三医院上海友谊医院,公立/综合医院,未知
上海市,上海市,长宁区,上海市长宁区南洋医院（民营）,上海市长宁区南洋医院,个体户/综合医院,未知
上海市,上海市,长宁区,上海市长宁区北新泾地段医院分部,上海市长宁区北新泾地段医院分部,公立/综合医院,未知
上海市,上海市,长宁区,上海普瑞眼科医院,上海普瑞眼科医院,民营/专科医院,民营医院
上海市,上海市,长宁区,上海市长宁区男科医院,上海市长宁区男科医院,民营/专科医院,一级医院
上海市,上海市,长宁区,上海南山医院,上海南山医院,个体户/综合医院,未知
上海市,上海市,长宁区,小静皮肤门诊,小静皮肤门诊,民营/综合医院,未知
上海市,上海市,长宁区,上海美兆健康体检中心,上海美兆健康体检中心,个体户/综合医院,未知
上海市,上海市,长宁区,中国人民解放军第455医院分院,中国人民解放军第455医院,公立/综合医院,三级甲等　　
上海市,上海市,长宁区,上海解放军455医院,上海455医院,公立/综合医院,三级甲等　　
上海市,上海市,长宁区,上海八五医院,上海第八五医院,公立/综合医院,三级甲等　　
上海市,上海市,长宁区,上海东方丽人整形美容医院,上海东方丽人整形美容医院,民营/专科医院,未知
上海市,上海市,长宁区,中国人民解放军第455医院,上海四五五医院,公立/综合医院,三级甲等　　
上海市,上海市,长宁区,上海爱尔眼科医院,上海爱尔眼科医院,民营/专科医院,未知
上海市,上海市,长宁区,上海新视界眼科医院,上海新视界眼科医院,民营/专科医院,未知
上海市,上海市,长宁区,上海真爱女子医院,上海真爱医院,民营/专科医院,未知
上海市,上海市,长宁区,上海中美华山眼科中心,上海中美华山眼科中心,民营/专科医院,未知
上海市,上海市,长宁区,上海申德医院,上海申德医院,民营/专科医院,未知
上海市,上海市,长宁区,圣安儿童医疗中心,上海圣安儿童医疗中心,公立/专科医院,未知
上海市,上海市,长宁区,上海九龙男子医院,上海九龙男科医院,民营/专科医院,未知
上海市,上海市,长宁区,上海新虹桥医院, ,民营/,未知
上海市,上海市,长宁区,新泾地段医院,新泾地段医院,公立/综合医院,未知
上海市,上海市,长宁区,上海国际机场医疗急救中心,上海国际机场医疗急救中心,公立/综合医院,未知
上海市,上海市,长宁区,上海神州医院,上海神州医院,公立/综合医院,未知
上海市,上海市,长宁区,上海市长宁区周家桥地段医院,上海市长宁区周家桥地段医院,公立/综合医院,未知
上海市,上海市,长宁区,上海港华医院,上海港华医院,民营/综合医院,未知
上海市,上海市,长宁区,上海辰新医院,上海辰新医院,合资/综合医院,未知
上海市,上海市,长宁区,上海白玉兰妇科医院,白玉兰妇科医院,民营/专科医院,未知
上海市,上海市,长宁区,市房屋土地管局职工医院,市房屋土地管局职工医院,公立/综合医院,未知
上海市,上海市,长宁区,长宁区疾病预防控制中心门诊部,长宁区疾病预防控制中心门诊部,公立/综合医院,未知
上海市,上海市,长宁区,华阳地段医院,华阳地段医院,公立/综合医院,一级甲等
上海市,上海市,长宁区,北新泾地段医院,北新泾地段医院,公立/综合医院,一级甲等
上海市,上海市,长宁区,上海市长宁区仙霞地段医院,上海市长宁区仙霞地段医院,公立/综合医院,一级甲等
上海市,上海市,长宁区,上海市长宁区华阳地段医院,上海市长宁区华阳地段医院,民营/综合医院,一级甲等
