省,市,区,全名,别名,性质,等级
上海市,上海市,普陀区,舟山广安骨伤医院,舟山广安骨伤医院,个体户/骨伤医院,未知
上海市,上海市,普陀区,上海普陀区精神病防治院,上海普陀区精神病防治院,公立/综合医院,未知
上海市,上海市,普陀区,普陀区精神卫生中心,普陀区精神卫生中心,公立/综合医院,未知
上海市,上海市,普陀区,普陀区精神病防治院,普陀区精神病防治院,公立/综合医院,未知
上海市,上海市,普陀区,上海市普陀区曹杨红十字医院,上海市普陀区曹杨红十字医院,公立/综合医院,未知
上海市,上海市,普陀区,上海环球健康管理中心,环球健康,民营/综合医院,民营医院
上海市,上海市,普陀区,上海华山专家(肤康)预约中心,上海华山专家(肤康)预约中心,民营/综合医院,未知
上海市,上海市,普陀区,上海红房子专家(肤康)预约中心,上海红房子专家(肤康)预约中心,其他/综合医院,未评级
上海市,上海市,普陀区,桃浦镇社区卫生服务中心,桃浦镇社区卫生服务中心,公立/综合医院,未知
上海市,上海市,普陀区,长风社区卫生服务中心,长风社区卫生服务中心,公立/综合医院,一级甲等
上海市,上海市,普陀区,上海长征镇社区卫生服务中心,上海长征镇社区卫生服务中心,其他/其他,未知
上海市,上海市,普陀区,上海石泉街道社区卫生服务中心,上海石泉街道社区卫生服务中心,其他/其他,未知
上海市,上海市,普陀区,上海宜川街道社区卫生服务中心,上海宜川街道社区卫生服务中心,其他/综合医院,一级甲等
上海市,上海市,普陀区,上海长寿街道社区卫生服务中心,上海长寿街道社区卫生服务中心,其他/综合医院,一级甲等
上海市,上海市,普陀区,上海长风街道白玉社区卫生服务中心,上海长风街道白玉社区卫生服务中心,其他/综合医院,一级甲等
上海市,上海市,普陀区,上海长风街道长风社区卫生服务中心,上海长风街道长风社区卫生服务中心,其他/其他,未知
上海市,上海市,普陀区,上海甘泉街道社区卫生服务中心,上海甘泉街道社区卫生服务中心,其他/其他,未知
上海市,上海市,普陀区,上海曹杨街道社区卫生服务中心,上海市普陀区曹杨红十字地段医院,其他/综合医院,一级甲等
上海市,上海市,普陀区,上海天佑医院,同济大学附属天佑医院,合资/综合医院,未评级
上海市,上海市,普陀区,上海宜川养老院,中远两湾城养老院,民营/专科医院,民营医院
上海市,上海市,普陀区,上海德杏堂中医门诊部,上海德杏堂中医门诊部,其他/门诊,未评级
上海市,上海市,普陀区,上海普陀牙科医院,上海普陀牙科医院,公立/专科医院,二级甲等
上海市,上海市,普陀区,上海九洲泌尿外科医院,上海九洲泌尿外科医院,民营/专科医院,未知
上海市,上海市,普陀区,上海宏康医院,上海耳科医院,其他/综合医院,未知
上海市,上海市,普陀区,上海复安口腔门诊部,上海复安口腔门诊部,民营/专科医院,未知
上海市,上海市,普陀区,上海市普陀区东新地段医院,上海市普陀区东新地段医院,公立/综合医院,未知
上海市,上海市,普陀区,上海市普陀区眼病牙病防治所,上海市普陀区眼病牙病防治所,公立/综合医院,未知
上海市,上海市,普陀区,上海市普陀区万里门诊部,上海市普陀区万里门诊部,公立/综合医院,未知
上海市,上海市,普陀区,上海普陀区民办退休职工普静护理医院,上海普陀区民办退休职工普静护理医院,民营/综合医院,未知
上海市,上海市,普陀区,上海市普陀区长寿地段医院,上海市普陀区长寿地段医院,公立/综合医院,未知
上海市,上海市,普陀区,上海市普陀区石泉地段医院,上海市普陀区石泉地段医院,公立/综合医院,未知
上海市,上海市,普陀区,上海市普陀区桃浦地段医院,上海市普陀区桃浦地段医院,公立/综合医院,未知
上海市,上海市,普陀区,上海肤康医院,上海肤康医院,其他/专科医院,未知
上海市,上海市,普陀区,上海市普陀区甘泉地段医院,上海市普陀区甘泉地段医院,公立/综合医院,一级甲等
上海市,上海市,普陀区,上海市普陀区长风地段医院,上海市普陀区长风地段医院,公立/综合医院,一级甲等
上海市,上海市,普陀区,普陀区老年医院,普陀区老年医院,公立/专科医院,二级乙等
上海市,上海市,普陀区,利群医院,利群医院,公立/综合医院,二级甲等
上海市,上海市,普陀区,上海普陀区中医医院,上海普陀区中医医院,公立/综合医院,二级甲等
上海市,上海市,普陀区,上海市普陀区人民医院体检中心,纺一医院,公立/综合医院,二级甲等
上海市,上海市,普陀区,上海市普陀区中心医院,上海市普陀区中心医院,公立/综合医院,二级甲等
上海市,上海市,普陀区,上海普陀区妇婴保健院,上海普陀区妇婴保健院,公立/专科医院,二级甲等
上海市,上海市,普陀区,同济大学附属同济医院,上海同济大学医院,公立/综合医院,三级甲等　　
上海市,上海市,普陀区,上海肤康医院,上海肤康医院,其他/专科医院,未评级
上海市,上海市,普陀区,上海肤康医院,上海肤康医院,合资/综合医院,未评级
上海市,上海市,普陀区,上海肤康医院,上海肤康整形美容医院,公立/综合医院,一级甲等
上海市,上海市,普陀区,上海白癜风专科医院,上海白癜风医院,公立/专科医院,民营医院
上海市,上海市,普陀区,舟山市普陀区第二人民医院,舟山市普陀区第二人民医院,公立/综合医院,一级甲等
