省,市,区,全名,别名,性质,等级
上海市,上海市,宝山区,上海海淞医院,上海癫痫病医院,其他/综合医院,未知
上海市,上海市,宝山区,上海海滨医院,上海癫痫病医院,公立/综合医院,二级甲等
上海市,上海市,宝山区,宝山区杨行镇社区卫生服务中心,宝山区杨行镇社区卫生服务中心,公立/综合医院,一级甲等
上海市,上海市,宝山区,上海爱以德护理院,上海宝山爱以德护理院,民营/其他,未评级
上海市,上海市,宝山区,上海大场镇第三社区卫生服务中心,上海大场镇第三社区卫生服务中心,其他/其他,未知
上海市,上海市,宝山区,上海顾村镇菊泉新城社区卫生服务中心,上海顾村镇菊泉新城社区卫生服务中心,其他/其他,未知
上海市,上海市,宝山区,上海友谊街道社区卫生服务中心,上海友谊街道社区卫生服务中心,其他/其他,未知
上海市,上海市,宝山区,上海月浦镇盛桥社区卫生服务中心,上海月浦镇盛桥社区卫生服务中心,其他/其他,未知
上海市,上海市,宝山区,上海张庙街道泗塘社区卫生服务中心,上海张庙街道泗塘社区卫生服务中心,其他/其他,未知
上海市,上海市,宝山区,上海大场镇大场社区卫生服务中心,上海大场镇大场社区卫生服务中心,其他/其他,未知
上海市,上海市,宝山区,上海高境镇社区卫生服务中心,上海高境镇社区卫生服务中心,其他/其他,未知
上海市,上海市,宝山区,上海张庙街道长江路社区卫生服务中心,宝山区长江路地段医院,其他/其他,未知
上海市,上海市,宝山区,上海庙行镇社区卫生服务中心,上海庙行镇社区卫生服务中心,公立/综合医院,未知
上海市,上海市,宝山区,上海淞南镇社区卫生服务中心,上海淞南镇社区卫生服务中心,其他/其他,未知
上海市,上海市,宝山区,上海月浦镇月浦社区卫生服务中心,上海市宝山区红十字护理院,其他/其他,未知
上海市,上海市,宝山区,上海吴淞街道社区卫生服务中心,上海吴淞街道社区卫生服务中心,其他/综合医院,未知
上海市,上海市,宝山区,上海罗泾镇社区卫生服务中心,上海罗泾镇社区卫生服务中心,其他/综合医院,一级甲等
上海市,上海市,宝山区,上海罗店镇社区卫生服务中心,罗南卫生院,其他/其他,未知
上海市,上海市,宝山区,上海大场镇祁连社区卫生服务中心,上海大场镇祁连社区卫生服务中心,其他/其他,未知
上海市,上海市,宝山区,上海广福医院,宝山区广福医院,合资/综合医院,一级甲等
上海市,上海市,宝山区,上海精神疾病研究总院,上海精神病专科医院,其他/专科医院,未知
上海市,上海市,宝山区,上海海淞医院,上海海淞医院,公立/综合医院,二级甲等
上海市,上海市,宝山区,上海英港泌尿外科医院,上海英港医院,外资/综合医院,未知
上海市,上海市,宝山区,上海市宝山区老年护理院,上海市宝山区老年护理院,公立/专科医院,未知
上海市,上海市,宝山区,上海市顾村地段医院,上海市顾村地段医院,公立/综合医院,未知
上海市,上海市,宝山区,上海市宝山区杨行地段医院,上海市宝山区杨行地段医院,公立/综合医院,未知
上海市,上海市,宝山区,长兴乡卫生院,上海市宝山区长兴乡卫生院,公立/综合医院,未知
上海市,上海市,宝山区,横沙乡卫生院,横沙乡卫生院,公立/综合医院,未知
上海市,上海市,宝山区,顾村医院刘行镇社区卫生服务点,顾村医院刘行镇社区卫生服务点,公立/综合医院,未知
上海市,上海市,宝山区,友谊地段医院,友谊地段医院,公立/综合医院,未知
上海市,上海市,宝山区,吴淞地段医院,吴淞地段医院,公立/综合医院,未知
上海市,上海市,宝山区,宝山区高镜地段医院,宝山区高镜地段医院,公立/综合医院,未知
上海市,上海市,宝山区,上海市宝山区中医医院,上海市宝山区中医医院,公立/综合医院,未知
上海市,上海市,宝山区,宝钢二十冶职工医院,宝钢二十冶职工医院,公立/综合医院,未知
上海市,上海市,宝山区,上钢一（二）厂职工医院,上钢一（二）厂职工医院,公立/综合医院,未知
上海市,上海市,宝山区,盛桥地段医院,盛桥地段医院,公立/综合医院,未知
上海市,上海市,宝山区,月浦地段医院,月浦地段医院,公立/综合医院,一级乙等
上海市,上海市,宝山区,民办建工老年护理医院,民办建工老年护理医院,公立/综合医院,一级乙等
上海市,上海市,宝山区,市民政老年医院,市民政老年医院,公立/综合医院,一级乙等
上海市,上海市,宝山区,张庙街道长江路社区卫生服务中心,张庙街道长江路社区卫生服务中心,公立/综合医院,一级甲等
上海市,上海市,宝山区,哈尔滨哈二院,二院,公立/综合医院,二级甲等
上海市,上海市,宝山区,顾村镇社区卫生服务中心,上海市顾村地段医院,公立/综合医院,未知
上海市,上海市,宝山区,宝山区顾村镇社区卫生服务中心刘行分中心,宝山区顾村镇社区卫生服务中心刘行分中心,公立/综合医院,未知
上海市,上海市,宝山区,上海第一钢铁厂职工医院,上海市宝山区一钢医院,公立/综合医院,二级乙等
上海市,上海市,宝山区,横沙乡卫生院,横沙乡卫生院,公立/综合医院,未知
上海市,上海市,宝山区,上海宝钢二十冶指挥部职工医院,上海宝钢二十冶指挥部职工医院,公立/综合医院,未知
