省,市,区,全名,别名,性质,等级
天津市,天津市,和平区,上河头医院,上河头医院,公立/综合医院,未知
天津市,天津市,和平区,天津卫协医院,天津卫协医院,其他/综合医院,未评级
天津市,天津市,和平区,中国医科大学附属盛京医院,盛京医院,公立/综合医院,三级甲等　　
天津市,天津市,和平区,天津市和平区中医院,天津市和平区中医院,公立/综合医院,二级甲等
天津市,天津市,和平区,中国医科大学心理医院,中国医科大学心理医院,公立/综合医院,未知
天津市,天津市,和平区,和平区第八医院,和平区第八医院,公立/综合医院,一级甲等
天津市,天津市,和平区,和平区朝鲜族医院,和平区朝鲜族医院,公立/综合医院,二级甲等
天津市,天津市,和平区,和平区妇婴医院,和平区妇婴医院,公立/综合医院,二级甲等
天津市,天津市,和平区,和平区红十字会医院,和平区红十字会医院,公立/综合医院,二级甲等
天津市,天津市,和平区,和平区第三中医院风湿病专科,和平区第三中医院风湿病专科,公立/综合医院,二级甲等
天津市,天津市,和平区,和平区第三中医院,和平区第三中医院,公立/综合医院,二级甲等
天津市,天津市,和平区,和平区第二中医院,和平区第二中医院,公立/综合医院,二级甲等
天津市,天津市,和平区,和平区中医院,和平区中医院,公立/综合医院,二级甲等
天津市,天津市,和平区,和平区第七医院,和平区第七医院,公立/综合医院,二级甲等
天津市,天津市,和平区,和平区第四医院,和平区第四医院,公立/综合医院,二级甲等
天津市,天津市,和平区,和平区第二医院,和平区第二医院,公立/综合医院,二级甲等
天津市,天津市,和平区,和平区第一医院,和平区第一医院,公立/综合医院,二级甲等
天津市,天津市,和平区,和平区人民医院,和平区人民医院,公立/综合医院,二级甲等
天津市,天津市,和平区,和平区中心医院,和平区中心医院,公立/综合医院,二级甲等
天津市,天津市,和平区,辽宁中医学院附属肛肠医院,辽宁中医学院附属肛肠医院,公立/专科医院,二级甲等
天津市,天津市,和平区,和平机器制造厂职工医院,和平机器制造厂职工医院,公立/综合医院,二级甲等
天津市,天津市,和平区,辽宁省建设集团股份有限公司职工医院,辽宁省建设集团股份有限公司职工医院,公立/综合医院,二级甲等
天津市,天津市,和平区,中国医科大学附属口腔医院,辽宁省口腔医院,公立/专科医院,三级甲等　　
天津市,天津市,和平区,中国人民解放军第二零二医院,中国人民解放军第二零二医院,公立/综合医院,三级甲等　　
天津市,天津市,和平区,天津市和平区中医医院,天津市和平区中医医院,公立/中医医院,二级甲等
天津市,天津市,和平区,天津和平太极门诊部,天津和平太极门诊部,民营/综合医院,未知
天津市,天津市,和平区,天津市整形外科医院,天津市医学美容中心,公立/综合医院,三级甲等　　
天津市,天津市,和平区,天津和平欧亚肛肠医院,天津东南角肛肠医院,其他/专科医院,未评级
天津市,天津市,和平区,天津市新生医院,天津市新生医院,公立/综合医院,二级甲等
天津市,天津市,和平区,天津市津文医院,天津市津文医院,公立/综合医院,未知
