省,市,区,全名,别名,性质,等级
天津市,天津市,河东区,天津市疾病预防控制中心,天津市卫生防病中心，天津市卫生防疫站,公立/综合医院,未知
天津市,天津市,河东区,天津河东美莱医学美容医院,美莱整形,民营/专科医院,民营医院
天津市,天津市,河东区,天津天铁冶金集团职工医院,八五医院，老三医院,公立/综合医院,二级甲等
天津市,天津市,河东区,天津爱维医院,天津爱维医院试管婴儿,其他/综合医院,未评级
天津市,天津市,河东区,天津河东中科医院,天津中科医院,公立/综合医院,未知
天津市,天津市,河东区,武警天津市总队医院,天津癫痫病医院,公立/综合医院,二级甲等
天津市,天津市,河东区,天津市河东区中山门医院,天津市河东区中山门医院,公立/综合医院,一级甲等
天津市,天津市,河东区,天津华博医院,天津华博医院,民营/专科医院,未知
天津市,天津市,河东区,天津东郊区中医院,天津东郊区中医院,公立/综合医院,未知
天津市,天津市,河东区,天津市河东区万辛医院,天津市河东区万辛医院,公立/综合医院,未知
天津市,天津市,河东区,天津铁厂职工医院,天津铁厂职工医院,公立/综合医院,未知
天津市,天津市,河东区,天津市河东区津东医院,天津市河东区津东医院,公立/综合医院,未知
天津市,天津市,河东区,天津慈航医院,天津慈航医院,公立/综合医院,未知
天津市,天津市,河东区,天津市河东区妇幼保健站,天津市河东区妇幼保健站,公立/综合医院,未知
天津市,天津市,河东区,天津市河东区富民医院,天津市河东区富民医院,公立/综合医院,未知
天津市,天津市,河东区,天津河东东环医院,天津河东东环医院,民营/综合医院,未知
天津市,天津市,河东区,天津河东东山医院,天津河东东山医院,民营/综合医院,未知
天津市,天津市,河东区,天津河东香山医院,天津河东香山医院,民营/综合医院,未知
天津市,天津市,河东区,天津河东钟山医院,天津河东钟山医院,民营/综合医院,未知
天津市,天津市,河东区,天津市河东区广场医院,天津市河东区广场医院,公立/综合医院,未知
天津市,天津市,河东区,河东疡科医院,河东疡科医院,公立/综合医院,未知
天津市,天津市,河东区,河东骨科医院,河东骨科医院,公立/专科医院,未知
天津市,天津市,河东区,河东区结核病呼吸系统疾病防治院,河东区结核病呼吸系统疾病防治院,公立/综合医院,未知
天津市,天津市,河东区,天津华北医院,天津华北医院,公立/综合医院,未知
天津市,天津市,河东区,天津市河东区新开医院,天津市河东区新开医院,公立/综合医院,未知
天津市,天津市,河东区,天津市河东区鸿泰广场医院,天津市河东区鸿泰广场医院,公立/综合医院,未知
天津市,天津市,河东区,天津华北医院,天津妇科医院,民营/综合医院,未知
天津市,天津市,河东区,天津市河东疡科医院,天津市河东疡科医院,公立/综合医院,未知
天津市,天津市,河东区,天津市河东骨科医院,天津市河东骨科医院,公立/专科医院,未知
天津市,天津市,河东区,天津市河东区大直沽医院,天津市河东区大直沽医院,公立/综合医院,未知
天津市,天津市,河东区,天津市河东区中心医院,天津市河东区中心医院,公立/综合医院,未知
天津市,天津市,河东区,天津东郊区医院,天津东郊区医院,公立/综合医院,未知
天津市,天津市,河东区,天津市河东区广宁医院,天津市河东区广宁医院,公立/综合医院,一级甲等
天津市,天津市,河东区,天津市河东区盘山医院,天津市河东区盘山医院,公立/综合医院,一级甲等
天津市,天津市,河东区,天津市河东区向阳医院,天津市河东区向阳医院,公立/综合医院,一级甲等
天津市,天津市,河东区,天津市河东区二号桥医院,天津市河东区二号桥医院,公立/综合医院,一级甲等
天津市,天津市,河东区,天津市冶金医院,天津市冶金医院,公立/综合医院,二级乙等
天津市,天津市,河东区,天津市河东区结核病呼吸系统疾病防治院,天津市河东区结核病呼吸系统疾病防治院,公立/综合医院,二级甲等
天津市,天津市,河东区,天津市第一中心医院东院,天津市第一中心医院东院,公立/综合医院,二级甲等
天津市,天津市,河东区,天津电力医院,天津电力医院,公立/综合医院,二级甲等
天津市,天津市,河东区,天津市河东区中医院,天津市河东区中医院,公立/综合医院,二级甲等
天津市,天津市,河东区,天津市河东区赤峰医院,天津市河东区赤峰医院,公立/综合医院,二级甲等
天津市,天津市,河东区,武警天津部队医院,武警天津部队医院,公立/综合医院,三级甲等　　
天津市,天津市,河东区,天津市第三中心医院,天津市第三中心医院,公立/综合医院,三级甲等　　
天津市,天津市,河东区,天津市武警医学院附属医院,天津市武警医学院附属医院,公立/综合医院,三级甲等　　
天津市,天津市,河东区,中国人民解放军东局子医院,中国人民解放军东局子医院,公立/综合医院,未知
天津市,天津市,河东区,天津民众体检中心,民众体检,民营/综合医院,民营医院
天津市,天津市,河东区,武警8630部队医院,武警8630部队医院,公立/综合医院,未知
天津市,天津市,河东区,天津百信医院,天津百信结石病医院,合资/综合医院,二级甲等
