省,市,区,全名,别名,性质,等级
天津市,天津市,河西区,天津五洲妇科医院,天津妇科医院,合资/综合医院,未知
天津市,天津市,河西区,天津圣安医院,天津河西区精神卫生中心,合资/专科医院,未评级
天津市,天津市,河西区,天津河西津门中医医院,天津津门中医妇科医院,民营/综合医院,未知
天津市,天津市,河西区,天津河西华津医院,天津河西华津医院,民营/综合医院,未知
天津市,天津市,河西区,天津市环湖医院,环湖医院,公立/综合医院,三级甲等　　
天津市,天津市,河西区,天津铁路分局天津结核防治疗养院,天津铁路分局天津结核防治疗养院,公立/综合医院,二级乙等
天津市,天津市,河西区,天津华夏不孕不育专科医院,天津华夏医院不孕不育诊疗中心,民营/专科医院,未知
天津市,天津市,河西区,天津儿童病专科医院,天津儿童病专科医院,民营/综合医院,未知
天津市,天津市,河西区,天津珠江骨科医院,天津珠江骨科医院,民营/专科医院,未知
天津市,天津市,河西区,天津抗癌协会津西医院,天津抗癌协会津西医院,民营/综合医院,未知
天津市,天津市,河西区,天津曹开镛中医男科医院,天津曹开镛中医男科医院,民营/综合医院,未知
天津市,天津市,河西区,天津华夏医院,天津河西华夏医院,民营/综合医院,未知
天津市,天津市,河西区,天津友谊骨伤医院,天津友谊骨伤医院,民营/综合医院,未知
天津市,天津市,河西区,河西区柳林医院,河西区柳林医院,公立/综合医院,未知
天津市,天津市,河西区,天津市第四医院,天津市第四医院,公立/综合医院,未知
天津市,天津市,河西区,天津市河西区友谊医院,天津市河西区友谊医院,公立/综合医院,未知
天津市,天津市,河西区,天津爱民减肥医院,天津爱民减肥医院,民营/综合医院,未知
天津市,天津市,河西区,天津市河西区骨科医院,天津市河西区骨科医院,公立/专科医院,未知
天津市,天津市,河西区,天津市河西区灰堆妇产科医院,天津市河西区灰堆妇产科医院,公立/综合医院,未知
天津市,天津市,河西区,天津市河西区妇产科医院,天津市河西区妇产科医院,公立/综合医院,未知
天津市,天津市,河西区,天津乐园骨科医院,天津乐园骨科医院,民营/专科医院,未知
天津市,天津市,河西区,天津市河西区妇幼保健院,天津市河西区妇幼保健院,公立/综合医院,未知
天津市,天津市,河西区,天津市河西区珠海地段医院,天津市河西区珠海地段医院,公立/综合医院,未知
天津市,天津市,河西区,天津市长康医院,天津市长康医院,公立/综合医院,未知
天津市,天津市,河西区,天津市河西肿瘤医院,天津市河西肿瘤医院,公立/专科医院,未知
天津市,天津市,河西区,河西区尖山医院,河西区尖山医院,公立/综合医院,一级甲等
天津市,天津市,河西区,天津市河西区马场医院,天津市河西区马场医院,公立/综合医院,一级甲等
天津市,天津市,河西区,天津市河西区下瓦房医院,天津市河西区下瓦房医院,公立/综合医院,一级甲等
天津市,天津市,河西区,天津市河西区尖山医院,天津市河西区尖山医院,公立/综合医院,一级甲等
天津市,天津市,河西区,天津康宁医院,天津康宁医院,民营/综合医院,二级甲等
天津市,天津市,河西区,天津市河西区柳林医院,天津市河西区柳林医院,公立/专科医院,二级甲等
天津市,天津市,河西区,天津市河西医院,天津市河西医院,公立/综合医院,二级甲等
天津市,天津市,河西区,天津市河西口腔医院,天津市河西口腔医院,公立/专科医院,二级甲等
天津市,天津市,河西区,天津儿童医院,天津儿童医院,公立/综合医院,三级甲等　　
天津市,天津市,河西区,天津市安定医院,天津市精神卫生中心,公立/综合医院,三级甲等　　
天津市,天津市,河西区,天津医科大学第三附属医院,天津医科大学第三附属医院,公立/综合医院,三级甲等　　
天津市,天津市,河西区,天津海河医院,天津海河医院,公立/综合医院,三级甲等　　
天津市,天津市,河西区,天津市天津医院,天津市天津医院,公立/专科医院,三级甲等　　
天津市,天津市,河西区,天津市肺科医院,天津市肺科医院,公立/综合医院,三级甲等　　
天津市,天津市,河西区,天津市医科大学第二附属医院,天津市医科大学第二附属医院,公立/综合医院,三级甲等　　
天津市,天津市,河西区,天津环湖医院,天津脑系科中心医院,公立/综合医院,三级甲等　　
天津市,天津市,河西区,天津医科大学第三医院,天津医科大学第三医院,公立/综合医院,三级甲等　　
天津市,天津市,河西区,天津市肿瘤医院,天津医科大学附属肿瘤医院,公立/专科医院,三级甲等　　
天津市,天津市,河西区,天津市河西区第四医院,天津市河西区第四医院,公立/综合医院,未知
天津市,天津市,河西区,天津市河西区中医医院,天津市河西区中医医院,公立/中医医院,未知
天津市,天津市,河西区,天津伊美尔医疗整形美容专科医院,天津伊美尔医疗整形美容专科医院,民营/专科医院,未知
天津市,天津市,河西区,天津河西仁济医院,天津仁济医院,民营/综合医院,民营医院
