省,市,区,全名,别名,性质,等级
天津市,天津市,汉沽区,天津市汉沽区医院,天津市汉沽区医院,公立/综合医院,未知
天津市,天津市,汉沽区,天津市汉沽区地段医院,天津市汉沽区地段医院,公立/综合医院,未知
天津市,天津市,汉沽区,天津市汉沽区传染病医院,天津市汉沽区传染病医院,公立/综合医院,未知
天津市,天津市,汉沽区,天津市汉沽区安定医院,天津市汉沽区安定医院,公立/综合医院,未知
天津市,天津市,汉沽区,天津市汉沽区社会福利院,天津市汉沽区社会福利院,公立/综合医院,未知
天津市,天津市,汉沽区,天津市汉沽农场医院,天津市汉沽农场医院,公立/综合医院,二级乙等
天津市,天津市,汉沽区,天津化工厂医院,天津化工厂医院,公立/综合医院,二级甲等
天津市,天津市,汉沽区,天津市汉沽区中医院,天津市汉沽区中医院,公立/综合医院,二级甲等
天津市,天津市,汉沽区,汉沽农场职工医院,汉沽农场职工医院,公立/综合医院,二级甲等
天津市,天津市,汉沽区,天津滨海新区津滨医院,汉沽津滨医院,民营/综合医院,民营医院
天津市,天津市,汉沽区,天津长芦汉沽盐场有限责任公司职工医院,天津长芦汉沽盐场有限责任公司职工医院,公立/综合医院,二级甲等
