省,市,区,全名,别名,性质,等级
重庆市,重庆市,大渡口区,重庆市大渡口区第一人民医院,重庆市大渡口区第一人民医院,公立/综合医院,二级乙等
重庆市,重庆市,大渡口区,重钢总医院,重钢总医院,公立/综合医院,二级甲等
重庆市,重庆市,大渡口区,重庆大渡口区生殖健康中心,大渡口生殖健康中心,公立/专科医院,未知
重庆市,重庆市,大渡口区,重庆九五医院,重庆九五医院,其他/专科医院,未知
重庆市,重庆市,大渡口区,重庆市九龙坡区中医院,重庆市九龙坡区中医院,公立/综合医院,未知
重庆市,重庆市,大渡口区,重庆市大渡口区八桥医院,重庆市大渡口区八桥医院,公立/综合医院,未知
重庆市,重庆市,大渡口区,重庆市大渡口区人民医院,重庆市大渡口区人民医院,公立/综合医院,未知
重庆市,重庆市,大渡口区,重庆新城医院,重庆新城医院,民营/综合医院,未知
重庆市,重庆市,大渡口区,重庆市大渡口区妇幼保健所,重庆市大渡口区妇幼保健所,公立/综合医院,未知
重庆市,重庆市,大渡口区,重庆市大渡口区中医院,重庆市大渡口区中医院,公立/综合医院,未知
重庆市,重庆市,大渡口区,重庆市重型铸锻厂职工医院,重庆市重型铸锻厂职工医院,公立/综合医院,未知
重庆市,重庆市,大渡口区,重庆市大渡口区红十字医院,重庆市大渡口区红十字医院,公立/综合医院,未知
重庆市,重庆市,大渡口区,重庆市大渡口区第二人民医院,重庆市大渡口区第二人民医院,公立/综合医院,一级甲等
重庆市,重庆市,大渡口区,重庆正博中医医院,重庆正博兴中医院,其他/综合医院,未知
重庆市,重庆市,大渡口区,重庆长峰医院,重庆长峰血管瘤医院,民营/综合医院,民营医院
