省,市,区,全名,别名,性质,等级
重庆市,重庆市,江北区,重庆景城医院,重庆妇科医院,公立/综合医院,二级甲等
重庆市,重庆市,江北区,重庆当代整形美容医院,重庆当代整形美容医院,民营/其他,未知
重庆市,重庆市,江北区,重庆复旦医院,重庆复旦医院,民营/综合医院,未知
重庆市,重庆市,江北区,重庆瑞恩医院,重庆瑞恩医院,民营/综合医院,未知
重庆市,重庆市,江北区,重庆阳光医院,重庆阳光医院,民营/综合医院,未知
重庆市,重庆市,江北区,重庆都市俪人医院,重庆都市俪人医院,合资/综合医院,未评级
重庆市,重庆市,江北区,重庆骑士医院,重庆甲状腺专科医院,其他/综合医院,三级乙等
重庆市,重庆市,江北区,重庆爱尔眼科医院,重庆爱尔眼科医院,民营/专科医院,未知
重庆市,重庆市,江北区,重庆石油医院,重庆石油医院,公立/综合医院,未知
重庆市,重庆市,江北区,重庆市佳音医院,重庆市佳音医院,合资/综合医院,未知
重庆市,重庆市,江北区,重庆市金紫山医院,重庆市金紫山医院,公立/综合医院,未知
重庆市,重庆市,江北区,重庆市江北区红旗河沟医院,重庆市江北区红旗河沟医院,民营/综合医院,未知
重庆市,重庆市,江北区,重庆计生医院,重庆计生医院,公立/综合医院,未知
重庆市,重庆市,江北区,重庆仁爱医院,仁爱医院妇科,民营/综合医院,未知
重庆市,重庆市,江北区,重庆市江北区第八人民医院,重庆市江北区第八人民医院,公立/综合医院,未知
重庆市,重庆市,江北区,重庆市江北区第六人民医院,重庆市江北区第六人民医院,公立/综合医院,未知
重庆市,重庆市,江北区,重庆市江北区第三人民医院,重庆市江北区第三人民医院,公立/综合医院,未知
重庆市,重庆市,江北区,重庆市江北区第二人民医院,重庆市江北区第二人民医院,公立/综合医院,未知
重庆市,重庆市,江北区,长安汽车有限责任公司第二职工医院,长安汽车有限责任公司第二职工医院,公立/综合医院,未知
重庆市,重庆市,江北区,重庆市化工中心医院,重庆市化工中心医院,公立/综合医院,未知
重庆市,重庆市,江北区,重庆生殖健康医院,生殖健康医院,民营/专科医院,未知
重庆市,重庆市,江北区,重庆市通用工业集团公司职工医院,重庆市通用工业集团公司职工医院,公立/综合医院,一级甲等
重庆市,重庆市,江北区,重庆市江北区第五人民医院,重庆市江北区第五人民医院,公立/综合医院,一级甲等
重庆市,重庆市,江北区,重庆市江北区精神卫生中心,重庆市江北区精神卫生中心,公立/综合医院,一级甲等
重庆市,重庆市,江北区,重庆市第十二人民医院,重庆市肺科医院,公立/综合医院,二级甲等
重庆市,重庆市,江北区,重庆市江北区第一人民医院,重庆市江北区第一人民医院,公立/综合医院,二级甲等
重庆市,重庆市,江北区,重庆望江医院,重庆望江医院,公立/综合医院,二级甲等
重庆市,重庆市,江北区,重庆江陵医院长安汽车有限责任公司第一职工医院,重庆江陵医院长安汽车有限责任公司第一职工医院,公立/综合医院,二级甲等
重庆市,重庆市,江北区,重庆市江北区中医院,重庆市江北区中医院,公立/综合医院,二级甲等
重庆市,重庆市,江北区,重庆市第十人民医院,重庆市第二精神病医院,公立/综合医院,三级甲等　　
重庆市,重庆市,江北区,解放军第324医院,解放军第324医院,公立/综合医院,三级甲等　　
重庆市,重庆市,江北区,重庆市金紫山医院, 重庆市金紫山医院,公立/综合医院,未知
重庆市,重庆市,江北区,重庆佳音生殖健康医院,佳音生殖健康医院,民营/专科医院,未评级
重庆市,重庆市,江北区,重庆诚嘉口腔医院,华新街口腔医院,民营/专科医院,民营医院
重庆市,重庆市,江北区,重庆和睦医院,重庆精神病医院,民营/综合医院,未评级
重庆市,重庆市,江北区,宁波市江北区妇幼保健院,宁波市江北区妇幼保健院,公立/综合医院,二级乙等
重庆市,重庆市,江北区,重庆江北黄泥磅医院,重庆黄泥磅医院,公立/综合医院,二级甲等
重庆市,重庆市,江北区,重庆红十字博爱医院,重庆红十字博爱医院,公立/综合医院,二级甲等
重庆市,重庆市,江北区,重庆三一八医院,重庆三一八医院儿科,其他/综合医院,未评级
重庆市,重庆市,江北区,重庆华厦眼科医院,重庆华厦眼科,民营/专科医院,未评级
