省,市,区,全名,别名,性质,等级
重庆市,重庆市,沙坪坝区,重庆华诚一棉职工医院,重庆华诚一棉职工医院,公立/综合医院,未知
重庆市,重庆市,沙坪坝区,重庆市胸科医院, 重庆市胸科医院,公立/综合医院,未知
重庆市,重庆市,沙坪坝区,陈家桥中心医院,陈家桥中心医院,公立/综合医院,一级甲等
重庆市,重庆市,沙坪坝区,重庆沙坪坝区井口医院,重庆沙坪坝区井口医院,公立/综合医院,未知
重庆市,重庆市,沙坪坝区,重庆市沙坪坝区红十字会医院,重庆市沙坪坝区红十字会医院,公立/综合医院,未知
重庆市,重庆市,沙坪坝区,重庆市第一棉纺织厂职工医院,重庆市第一棉纺织厂职工医院,公立/综合医院,未知
重庆市,重庆市,沙坪坝区,重庆市沙坪坝区精神病医院,重庆市沙坪坝区精神病医院,公立/综合医院,未知
重庆市,重庆市,沙坪坝区,重庆市沙坪坝区第三人民医院,重庆市沙坪坝区第三人民医院,公立/综合医院,未知
重庆市,重庆市,沙坪坝区,重庆市沙坪坝区石桥医院,重庆市沙坪坝区石桥医院,公立/综合医院,未知
重庆市,重庆市,沙坪坝区,重庆市沙坪坝区白龙治癌医院,重庆市沙坪坝区白龙治癌医院,民营/综合医院,未知
重庆市,重庆市,沙坪坝区,重庆友谊医院,重庆友谊医院,民营/综合医院,未知
重庆市,重庆市,沙坪坝区,重庆爱德华医院,重庆爱德华医院,外资/综合医院,未知
重庆市,重庆市,沙坪坝区,重庆市沙坪坎区妇幼保健所,重庆市沙坪坎区妇幼保健所,公立/综合医院,未知
重庆市,重庆市,沙坪坝区,重庆市沙坪坝区第五人民医院,重庆市沙坪坝区第五人民医院,公立/综合医院,未知
重庆市,重庆市,沙坪坝区,重庆市沙坪坝区第四人民医院,重庆市沙坪坝区第四人民医院,公立/综合医院,未知
重庆市,重庆市,沙坪坝区,重庆市精神病院,重庆市精神病院,公立/综合医院,未知
重庆市,重庆市,沙坪坝区,重庆职工医学院医院,重庆职工医学院医院,公立/综合医院,未知
重庆市,重庆市,沙坪坝区,重庆康华社区医院,重庆康华社区医院,民营/综合医院,未知
重庆市,重庆市,沙坪坝区,重庆钢铁集团公司第三钢铁厂职工医院,重庆钢铁集团公司第三钢铁厂职工医院,公立/综合医院,未知
重庆市,重庆市,沙坪坝区,重庆市公共卫生医疗救治中心,重庆市结核病治疗中心,公立/综合医院,未知
重庆市,重庆市,沙坪坝区,重庆康明斯发动机有限公司医院,重庆康明斯发动机有限公司医院,公立/综合医院,未知
重庆市,重庆市,沙坪坝区,重庆大学医院,重庆大学医院,公立/综合医院,未知
重庆市,重庆市,沙坪坝区,重庆师范学院医院,重庆师范学院医院,公立/综合医院,未知
重庆市,重庆市,沙坪坝区,重庆市沙坪坝区第二人民医院,重庆市沙坪坝区第二人民医院,公立/综合医院,一级甲等
重庆市,重庆市,沙坪坝区,重庆市东华医院,重庆特殊钢厂职工医院,公立/综合医院,二级乙等
重庆市,重庆市,沙坪坝区,重庆市传染病医院,重庆市传染病医院,公立/综合医院,二级甲等
重庆市,重庆市,沙坪坝区,重庆市嘉陵医院,重庆市嘉陵医院,公立/综合医院,二级甲等
重庆市,重庆市,沙坪坝区,重庆市沙坪坝区中医院,重庆市沙坪坝区中医院,公立/综合医院,二级甲等
重庆市,重庆市,沙坪坝区,重庆市沙坪坝区人民医院,重庆市沙坪坝区人民医院,公立/综合医院,二级甲等
重庆市,重庆市,沙坪坝区,重庆市第十一人民医院,重庆市精神卫生中心附属医院,公立/综合医院,未知
重庆市,重庆市,沙坪坝区,重庆市肿瘤医院,重庆市肿瘤医院,公立/专科医院,三级甲等　　
重庆市,重庆市,沙坪坝区,新桥医院,中国人民解放军第三军医大学第二附属医院,公立/综合医院,三级甲等　　
重庆市,重庆市,沙坪坝区,重庆市大学医院,重庆市大学医院,公立/综合医院,未知
重庆市,重庆市,沙坪坝区,重庆蓝天医院,重庆蓝天医院,个体户/综合医院,未知
重庆市,重庆市,沙坪坝区,嘉陵工业有限公司职工医院,嘉陵工业有限公司职工医院,公立/综合医院,二级甲等
重庆市,重庆市,沙坪坝区,重庆佳和中医肛肠医院,重庆佳和肛肠医院,民营/专科医院,民营医院
重庆市,重庆市,沙坪坝区,重庆新桥医院,第三军医大学第二附属医院,公立/综合医院,三级甲等　　
重庆市,重庆市,沙坪坝区,重庆市石柱县人民医院,石柱县人民医院,公立/综合医院,二级乙等
重庆市,重庆市,沙坪坝区,西南医院,中央医院,公立/综合医院,未评级
重庆市,重庆市,沙坪坝区,重庆友谊骨科医院,友谊骨科医院,其他/专科医院,未知
