省,市,区,全名,别名,性质,等级
重庆市,重庆市,北碚区,天府矿务局职工总医院,天府矿务局职工总医院,公立/综合医院,二级乙等
重庆市,重庆市,北碚区,璧山县人民医院,璧山县人民医院,公立/综合医院,二级乙等
重庆市,重庆市,北碚区,重庆红岩内燃机有限责任公司职工医院,重庆红岩内燃机有限责任公司职工医院,公立/综合医院,未知
重庆市,重庆市,北碚区,重庆市西山坪劳动教养管理所医院,重庆市西山坪劳动教养管理所医院,公立/综合医院,未知
重庆市,重庆市,北碚区,重庆市农业大学医院,重庆市农业大学医院,公立/综合医院,未知
重庆市,重庆市,北碚区,重庆巨能建设集团路桥工程有限公司医院,重庆巨能路桥医院,其他/综合医院,未知
重庆市,重庆市,北碚区,重庆市北碚区第三人民医院,重庆市北碚区红十字医院,公立/综合医院,未知
重庆市,重庆市,北碚区,重庆市北碚区精神病医院,重庆仁爱医院,公立/综合医院,未知
重庆市,重庆市,北碚区,重庆市北碚区红十字医院,重庆市北碚区红十字医院,公立/综合医院,一级甲等
重庆市,重庆市,北碚区,重庆市北碚区中医院,重庆市北碚区中医院,公立/综合医院,二级甲等
重庆市,重庆市,北碚区,重庆市第九人民医院,重庆医科大学北碚附属医院,公立/综合医院,三级甲等　　
重庆市,重庆市,北碚区,璧山县中医院,璧山县中医院,公立/中医医院,未知
重庆市,重庆市,北碚区,西南师范大学医院,西南师范大学医院,公立/综合医院,二级乙等
