省,市,区,全名,别名,性质,等级
重庆市,重庆市,渝北区,渝北区妇幼保健院,渝北区生殖健康中心,公立/综合医院,二级甲等
重庆市,重庆市,渝北区,重庆文军医院,重庆文军医院,民营/综合医院,未知
重庆市,重庆市,渝北区,重庆奥伦多国际医院,重庆奥伦多国际医院,民营/综合医院,未知
重庆市,重庆市,渝北区,重庆美华医院,重庆美华医院,民营/综合医院,未知
重庆市,重庆市,渝北区,重庆人和医院,重庆人和医院,公立/综合医院,未知
重庆市,重庆市,渝北区,重庆市渝北区第二人民医院,重庆市渝北区第二人民医院,公立/综合医院,未知
重庆市,重庆市,渝北区,重庆市渝北区中医院,重庆市渝北区中医院,公立/综合医院,二级乙等
重庆市,重庆市,渝北区,重庆市渝北区人民医院,重庆市渝北区人民医院,公立/综合医院,二级乙等
重庆市,重庆市,渝北区,重庆华山医院,重庆华山医院,民营/综合医院,未知
重庆市,重庆市,渝北区,重庆华爱医院,重庆华爱耳鼻喉医院,外资/综合医院,未知
重庆市,重庆市,渝北区,重庆太医堂皮肤病医院,重庆皮肤病医院,合资/专科医院,未评级
重庆市,重庆市,渝北区,重庆弗莱堡口腔医院,弗莱堡口腔,其他/专科医院,未知
重庆市,重庆市,渝北区,重庆博大医院,重庆皮肤病医院,其他/综合医院,二级甲等
重庆市,重庆市,渝北区,重庆东大肛肠医院,全国十佳肛肠医院,民营/专科医院,未知
重庆市,重庆市,渝北区,重庆市渝北区妇幼保健院,渝北区生殖健康中心,公立/妇幼保健医院,二级甲等
重庆市,重庆市,渝北区,重庆曙光男科医院,重庆曙光医院,其他/专科医院,未知
重庆市,重庆市,渝北区,重庆同康骨科医院,重庆同康骨科医院,民营/专科医院,未知
重庆市,重庆市,渝北区,重庆送子鸟医院,重庆送子鸟医院,民营/综合医院,未评级
重庆市,重庆市,渝北区,重庆名仕生殖医院,重庆名仕生殖医院,民营/专科医院,未评级
