省,市,区,全名,别名,性质,等级
重庆市,重庆市,永川市,永川九洲医院,永川九洲医院,其他/专科医院,未知
重庆市,重庆市,永川市,永川市人民医院,永川市人民医院,公立/综合医院,未知
重庆市,重庆市,永川市,重庆市永荣矿务局永川煤矿职工医院,重庆市永荣矿务局永川煤矿职工医院,公立/综合医院,未知
重庆市,重庆市,永川市,重庆市新胜茶场医院,重庆市新胜茶场医院,公立/综合医院,未知
重庆市,重庆市,永川市,重庆市地方煤矿矽肺病医院,重庆市地方煤矿矽肺病医院,公立/综合医院,未知
重庆市,重庆市,永川市,重庆永川市精神病院,重庆永川市精神病院,公立/综合医院,未知
重庆市,重庆市,永川市,永川市职业病医院,永川市职业病医院,公立/综合医院,未知
重庆市,重庆市,永川市,永川市青城医院,永川市青城医院,公立/综合医院,未知
重庆市,重庆市,永川市,重庆永川市计生集爱医院,重庆永川市计生集爱医院,公立/综合医院,未知
重庆市,重庆市,永川市,重庆永川市妇幼保健院,重庆永川市妇幼保健院,公立/综合医院,二级甲等
重庆市,重庆市,永川市,重庆永川市中医院,重庆永川市中医院,公立/综合医院,三级甲等　　
重庆市,重庆市,永川市,重庆市第二人民医院,重庆市第二人民医院,公立/综合医院,三级甲等　　
重庆市,重庆市,永川市,电子工业部四一二医院,电子工业部四一二医院,公立/综合医院,二级乙等
重庆市,重庆市,永川市,永川妇产医院,重庆市永川妇产医院,其他/专科医院,未知
重庆市,重庆市,永川市,重庆永川华夏医院,重庆永川华夏医院,民营/专科医院,民营医院
重庆市,重庆市,永川市,重庆永川通达医院,永川通达医院,合资/综合医院,三级乙等
重庆市,重庆市,永川市,重庆市永川海名微中西医结合医院,永川海名微医院,民营/综合医院,民营医院
重庆市,重庆市,永川市,中国船舶工业总公司六五二医院,中国船舶工业总公司六五二医院,公立/综合医院,二级乙等
