省,市,区,全名,别名,性质,等级
重庆市,重庆市,江津市,重庆市江津区中医院,重庆市江津区中医院,公立/综合医院,二级甲等
重庆市,重庆市,江津市,重庆市江津区中心医院,重庆市江津区人民医院，江津区中心医院,公立/综合医院,二级甲等
重庆市,重庆市,江津市,重庆江津市精神病医院,重庆江津市精神病医院,公立/综合医院,未知
重庆市,重庆市,江津市,重庆江津市中医院,重庆江津市中医院,公立/综合医院,未知
重庆市,重庆市,江津市,重庆江津市第二人民医院,重庆江津市第二人民医院,公立/综合医院,二级乙等
重庆市,重庆市,江津市,重庆江津市工人医院,重庆江津市工人医院,公立/综合医院,二级甲等
重庆市,重庆市,江津市,重庆江津市妇幼保健院,重庆江津市妇幼保健院,公立/综合医院,二级甲等
重庆市,重庆市,江津市,重庆江津市人民医院,重庆江津市人民医院,公立/综合医院,二级甲等
重庆市,重庆市,江津市,重庆Ｏ九四职工医院,重庆Ｏ九四职工医院,公立/综合医院,二级甲等
重庆市,重庆市,江津市,重庆零九四职工医院,重庆零九四职工医院,公立/综合医院,二级甲等
重庆市,重庆市,江津市,江津第二人民医院,江津第二人民医院,公立/综合医院,二级甲等
