省,市,区,全名,别名,性质,等级
重庆市,重庆市,綦江县,綦江县第二人民医院,綦江县第二人民医院,公立/综合医院,一级甲等
重庆市,重庆市,綦江县,松藻矿务局松藻煤矿职工医院,松藻矿务局松藻煤矿职工医院,公立/综合医院,未知
重庆市,重庆市,綦江县,松藻矿务局职工总医院,松藻矿务局职工总医院,公立/综合医院,未知
重庆市,重庆市,綦江县,重庆钢铁公司綦江铁矿职工医院,重庆钢铁公司綦江铁矿职工医院,公立/综合医院,未知
重庆市,重庆市,綦江县,重庆綦江县脑血管病防治医院,重庆綦江县脑血管病防治医院,公立/综合医院,未知
重庆市,重庆市,綦江县,重庆綦江县精神病医院,重庆綦江县精神病医院,公立/综合医院,未知
重庆市,重庆市,綦江县,重庆綦江县中医院,重庆綦江县中医院,公立/综合医院,二级乙等
重庆市,重庆市,綦江县,重庆市綦江齿轮厂职工医院,重庆市綦江齿轮厂职工医院,公立/综合医院,二级甲等
重庆市,重庆市,綦江县,重庆市松藻矿务局职工医院,重庆市松藻矿务局职工医院,公立/综合医院,二级甲等
重庆市,重庆市,綦江县,重庆綦江县人民医院,重庆綦江县红十字医院,公立/综合医院,二级甲等
重庆市,重庆市,綦江县,綦江县妇幼保健院,綦江县妇幼保健院,公立/妇幼保健医院,一级甲等
