省,市,区,全名,别名,性质,等级
广东省,广州市,越秀区,广州军区空军后勤医院,广州后勤医院_广州癫痫病专科医院,公立/综合医院,二级甲等
广东省,广州市,越秀区,广州市越秀区正骨医院,广州市越秀区正骨医院,公立/专科医院,二级甲等
广东省,广州市,越秀区,广州市越秀区妇幼保健院东山院区,广州市越秀区妇幼保健院东山院区,公立/专科医院,二级甲等
广东省,广州市,越秀区,广州市越秀区第二人民医院东风分院,广州市越秀区第二人民医院东风分院,公立/综合医院,二级甲等
广东省,广州市,越秀区,广州市越秀区第二中医医院,广州市东山区中医院,公立/综合医院,二级甲等
广东省,广州市,越秀区,广州市越秀区中医医院,广州市越秀区第一人民医院,公立/综合医院,二级甲等
广东省,广州市,越秀区,广州市越秀区妇幼保健院,广州市越秀区妇幼保健院,公立/综合医院,二级甲等
广东省,广州市,越秀区,中山大学附属第一医院东山院区,广州市东山区人民医院,公立/综合医院,二级甲等
广东省,广州市,越秀区,广东药学院附属第一医院,广州铁路中心医院,公立/综合医院,三级甲等　　
广东省,广州市,越秀区,广州空军医院,中国人民解放军第四五八医院、解放军458医院,公立/综合医院,三级甲等　　
广东省,广州市,越秀区,广东省中医院二沙岛分院,广东省中医院二沙岛分院,公立/综合医院,三级甲等　　
广东省,广州市,越秀区,中山大学附属第一医院,中山一院,公立/综合医院,三级甲等　　
广东省,广州市,越秀区,广东省残疾人康复中心,广东省残疾人康复中心,公立/综合医院,一级甲等
广东省,广州市,越秀区,广东体育医院,广东体育医院,公立/综合医院,一级甲等
广东省,广州市,越秀区,广州市东山区妇幼保健院,广州市东山区妇幼保健院,公立/综合医院,二级甲等
广东省,广州市,越秀区,广州市越秀区第二人民医院, 广州市越秀区第二人民医院,公立/综合医院,二级甲等
广东省,广州市,越秀区,广州圣堂医院（民营）,广州圣堂医院,个体户/综合医院,一级甲等
广东省,广州市,越秀区,广州市市政工程总公司医院,广州市市政工程总公司医院,公立/综合医院,一级甲等
广东省,广州市,越秀区,广东省高级中医馆,岭南中医馆,公立/综合医院,一级甲等
广东省,广州市,越秀区,广东省建筑中心医院,广东省建筑中心医院,公立/综合医院,二级甲等
广东省,广州市,越秀区,广州博仕整形,广州博仕整形,公立/综合医院,一级甲等
广东省,广州市,越秀区,广东省光明医院,广东省光明医院,个体户/综合医院,一级甲等
广东省,广州市,越秀区,中山大学《家庭医生》整形中心,中山大学《家庭医生》整形中心,公立/综合医院,二级甲等
广东省,广州市,越秀区,广东药学院附属第一医院激光整形美容中心,广州铁路中心医院激光整形美容中心,公立/综合医院,一级甲等
广东省,广州市,越秀区,广州颐康老年病医院,广州颐康老年病医院,公立/综合医院,一级甲等
广东省,广州市,越秀区,广州银翔医院,广州生殖泌尿中心,公立/综合医院,一级甲等
广东省,广州市,越秀区,广州四五八皮肤病医院,广州458医院皮肤科,公立/综合医院,三级甲等　　
广东省,广州市,越秀区,广州第458医院,广州458医院,公立/综合医院,三级甲等　　
广东省,广州市,越秀区,广东省口腔医院,广州军区机关医院口腔中心,公立/综合医院,三级甲等　　
广东省,广州市,越秀区,中山医科大学《家庭医生》医疗门诊部,中山医科大学《家庭医生》医疗门诊部,其他/门诊,未知
广东省,广州市,越秀区,广州军区第一直属医院,广州第一直属医院,公立/综合医院,未知
广东省,广州市,越秀区,广州军区机关门诊部哮喘气管炎治疗科,广州军区机关医院,公立/综合医院,三级甲等　　
广东省,广州市,越秀区,广州军区机关医院哮喘气管炎诊疗中心,广州军区机关医院哮喘气管炎诊疗中心,公立/综合医院,三级甲等　　
广东省,广州市,越秀区,广州东大肛肠医院,广州东大肛肠医院,个体户/专科医院,二级甲等
广东省,广州市,越秀区,广州市越秀区口腔医院,原东山区口腔医院,其他/专科医院,未知
广东省,广州市,越秀区,广州市越秀区疾病预防控制中心预防医学门诊部,广州市越秀区疾病预防控制中心预防医学门诊部,其他/其他,未知
广东省,广州市,越秀区,广州德坤瑶医门诊部,广州德坤瑶医门诊部,其他/其他,未知
广东省,广州市,越秀区,广州华南医疗门诊部,广州华南医疗门诊部,其他/其他,未知
广东省,广州市,越秀区,广州创美口腔门诊部,广州创美口腔门诊部,其他/专科医院,未知
广东省,广州市,越秀区,广州越秀区东南医疗门诊部,广州越秀区东南医疗门诊部,其他/其他,未知
广东省,广州市,越秀区,大东街东仁社区卫生服务站,大东街东仁社区卫生服务站,其他/其他,未知
广东省,广州市,越秀区,越秀区登峰街社区卫生服务中心,越秀区登峰街社区卫生服务中心,其他/其他,未知
广东省,广州市,越秀区,越秀区黄花岗街社区卫生服务中心,广州市越秀区骨伤医院,其他/其他,未知
广东省,广州市,越秀区,越秀区梅花村街社区卫生服务中心,广州市越秀区东风东门诊部,公立/其他,未知
广东省,广州市,越秀区,越秀区珠光街社区卫生服务中心,广州市越秀区第三人民医院,其他/其他,未知
广东省,广州市,越秀区,越秀区流花街社区卫生服务中心,越秀区流花街社区卫生服务中心,其他/其他,未知
广东省,广州市,越秀区,越秀区诗书街社区卫生服务中心,越秀区中医院南院,公立/综合医院,二级医院
广东省,广州市,越秀区,越秀区矿泉街社区卫生服务中心,越秀区矿泉街社区卫生服务中心,其他/其他,未知
广东省,广州市,越秀区,越秀区建设街社区卫生服务中心,越秀区建设街社区卫生服务中心,其他/其他,未知
广东省,广州市,越秀区,越秀区白云街社区卫生服务中心,广州市越秀区中医针灸门诊部,其他/其他,未知
广东省,广州市,越秀区,越秀区北京街社区卫生服务中心,广州市越秀区西湖医院,其他/其他,未知
广东省,广州市,越秀区,越秀区东湖街社区卫生服务中心,越秀区东湖街社区卫生服务中心,其他/其他,未知
广东省,广州市,越秀区,越秀区东风街社区卫生服务中心,广州市越秀区第二人民医院东风分院,其他/其他,未知
广东省,广州市,越秀区,越秀区大塘街社区卫生服务中心,广州市越秀区大塘门诊部,其他/其他,未知
广东省,广州市,越秀区,越秀区大东街社区卫生服务中心,越秀区大东街社区卫生服务中心,其他/其他,未知
广东省,广州市,越秀区,越秀区人民街社区卫生服务中心,广州市越秀区长堤医院,其他/其他,未知
广东省,广州市,越秀区,广州市越秀区人民医院,广州市越秀区人民医院,其他/其他,未知
广东省,广州市,越秀区,广州市市政集团有限公司职工医院,广州市市政集团有限公司职工医院,其他/综合医院,未知
广东省,广州市,越秀区,东山区建设街社区卫生服务中心,东山区建设街社区卫生服务中心,其他/综合医院,一级医院
广东省,广州市,越秀区,越秀区大新街社区卫生服务中心,广州市越秀区中医杂病医院,公立/综合医院,一级医院
广东省,广州市,越秀区,广州越秀区光塔街社区卫生服务中心,广州越秀区光塔街社区卫生服务中心,公立/综合医院,一级甲等
广东省,广州市,越秀区,广州男科医院,广州男科,其他/专科医院,未知
广东省,广州市,越秀区,何伟志中医诊所,何伟志中医诊所,民营/综合医院,一级甲等
广东省,广州市,越秀区,广州凤凰美容整形医院,广州凤凰美容整形医院,个体户/综合医院,一级甲等
广东省,广州市,越秀区,广州市金典牙科门诊部,广州市金典牙科门诊部,个体户/综合医院,一级甲等
广东省,广州市,越秀区,越秀区口腔防治所,越秀区口腔防治所,公立/综合医院,一级甲等
广东省,广州市,越秀区,越秀区洪桥街社区卫生服务中心,越秀区洪桥街社区卫生服务中心,公立/综合医院,一级甲等
广东省,广州市,越秀区,广州越秀紫馨医疗美容医院,广州紫馨韩国定制整形医院,合资/专科医院,未评级
广东省,广州市,越秀区,广州胎记医院,广州健肤胎记研究院,其他/专科医院,未评级
广东省,广州市,越秀区,广州市南方医科大学珠江医院,珠江医院,公立/综合医院,一级甲等
广东省,广州市,越秀区,广州空军后勤医院,广州后勤白癜风医院,公立/综合医院,二级甲等
广东省,广州市,越秀区,广州军区机关医院肝病中心,广州军区机关医院肝病中心,公立/综合医院,三级甲等　　
广东省,广州市,越秀区,广州医学院第一附属医院,广州医学院第一附属医院,公立/综合医院,三级甲等　　
