省,市,区,全名,别名,性质,等级
广东省,广州市,荔湾区,广州市荔湾区第二人民医院,荔湾区第二人民医院,公立/综合医院,二级甲等
广东省,广州市,荔湾区,广州市荔湾区中医医院,广州市荔湾区中医医院,公立/综合医院,二级甲等
广东省,广州市,荔湾区,广州市芳村区中医院,广州市芳村区中医院,公立/综合医院,二级甲等
广东省,广州市,荔湾区,广州钢铁集团公司医院,广州钢铁集团公司医院,公立/综合医院,二级甲等
广东省,广州市,荔湾区,广东省中医院芳村分院,广州市慈善医院,公立/综合医院,三级甲等　　
广东省,广州市,荔湾区,广州医学院第三附属医院,广州市第二人民医院、广医三,公立/综合医院,三级甲等　　
广东省,广州市,荔湾区,广州医学院附属肿瘤医院,广州市肿瘤医院,公立/专科医院,二级甲等
广东省,广州市,荔湾区,广州市荔湾区妇幼保健院,广州市荔湾区红十字会医院,公立/综合医院,二级甲等
广东省,广州市,荔湾区,广州医学院荔湾医院,广州医学院荔湾医院,公立/综合医院,二级甲等
广东省,广州市,荔湾区,广州市荔湾区人民医院,广州芳村区人民医院,公立/综合医院,二级甲等
广东省,广州市,荔湾区,广州市妇婴医院,广州市妇幼保健院,公立/综合医院,三级甲等　　
广东省,广州市,荔湾区,广州市中医院,广州市中医院,公立/综合医院,三级甲等　　
广东省,广州市,荔湾区,广州市脑科医院,广州市精神病医院,公立/专科医院,三级甲等　　
广东省,广州市,荔湾区,广州市儿童医院,广州市儿童医院,公立/专科医院,三级甲等　　
广东省,广州市,荔湾区,广州市脑科医院荔湾门诊部,广州市脑科医院荔湾门诊部,公立/专科医院,三级甲等　　
广东省,广州市,荔湾区,广州市芳村区妇幼保健院,芳村区妇幼保健所,公立/综合医院,二级甲等
广东省,广州市,荔湾区,广州肤康皮肤病医院,广州肤康皮肤病医院,其他/其他,未知
广东省,广州市,荔湾区,广州市荔湾区第三人民医院门诊部,三医门诊,其他/门诊,未知
广东省,广州市,荔湾区,荔港国医馆门诊部,荔港国医馆门诊部,其他/其他,未知
广东省,广州市,荔湾区,广州市荔湾区龙津街文安社区卫生服务站,广州市荔湾区龙津街文安社区卫生服务站,其他/其他,未知
广东省,广州市,荔湾区,广州市荔湾区石围塘街山村社区卫生服务站,广州市荔湾区石围塘街山村社区卫生服务站,其他/其他,未知
广东省,广州市,荔湾区,广州市荔湾区白鹤洞街新村社区卫生服务站,广州市荔湾区白鹤洞街新村社区卫生服务站,其他/其他,未知
广东省,广州市,荔湾区,广州市荔湾区白鹤洞街社区卫生服务中心,广州市荔湾区白鹤洞街社区卫生服务中心,其他/其他,未知
广东省,广州市,荔湾区,荔湾区冲口街社区卫生服务中心,荔湾区冲口街社区卫生服务中心,其他/其他,未知
广东省,广州市,荔湾区,广州市荔湾区南源街社区卫生服务中心,广州市荔湾区南源街社区卫生服务中心,其他/其他,未知
广东省,广州市,荔湾区,荔湾区彩虹街社区卫生服务中心,荔湾区彩虹街社区卫生服务中心,其他/其他,未知
广东省,广州市,荔湾区,荔湾区多宝街新风社区卫生服务站,荔湾区多宝街新风社区卫生服务站,其他/其他,未知
广东省,广州市,荔湾区,荔湾区茶滘街社区卫生服务中心,荔湾区妇幼保健院门诊部,其他/其他,未知
广东省,广州市,荔湾区,广州市荔湾区花地街社区卫生服务中心,广州市荔湾区花地街社区卫生服务中心,其他/其他,未知
广东省,广州市,荔湾区,广州市荔湾区中南街社区卫生服务中心,广州市荔湾区中南街社区卫生服务中心,其他/其他,未知
广东省,广州市,荔湾区,广州市荔湾区东漖街社区卫生服务中心,广州市荔湾区东漖街社区卫生服务中心,其他/其他,未知
