省,市,区,全名,别名,性质,等级
广东省,广州市,海珠区,广州红十字会医院,暨南大学医学院第四附属医院,公立/综合医院,三级甲等　　
广东省,广州市,海珠区,海珠区昌岗街社区卫生服务中心, 海珠区昌岗街社区卫生服务中心,公立/综合医院,未知
广东省,广州市,海珠区,广州新江南手外科医院广州海珠手外科研究所（民营）,广州海珠手外科研究所,个体户/综合医院,未知
广东省,广州市,海珠区,广州基立脊柱病医院（民营）,广州基立脊柱病医院,个体户/综合医院,一级甲等
广东省,广州市,海珠区,广州造纸厂职工医院,广州造纸厂职工医院,公立/综合医院,一级甲等
广东省,广州市,海珠区,广州市海珠区第二中医院,海珠区中医杂病医院,公立/中医医院,一级乙等
广东省,广州市,海珠区,广州市老年病医院,广州市老年病医院,公立/综合医院,一级甲等
广东省,广州市,海珠区,南方医科大学中西医结合医院,南方中西医结合医院,公立/综合医院,三级乙等
广东省,广州市,海珠区,广州医学院第二附属医院整形激光美容医疗中心,广医二院美容中心,公立/综合医院,一级甲等
广东省,广州市,海珠区,广州海洲医疗门诊部,海洲医疗门诊部,民营/综合医院,未知
广东省,广州市,海珠区,广东省职业病防治院,广东省职业病防治院,公立/专科医院,未知
广东省,广州市,海珠区,广州协佳医院,广州协佳医院男科,民营/综合医院,未知
广东省,广州市,海珠区,广东省妇幼保健院海珠分院,广东省妇幼保健院海珠分院,公立/专科医院,未知
广东省,广州市,海珠区,广州市结核病肺部肿瘤防治所第二分所,广州市结核病肺部肿瘤防治所第二分所,公立/专科医院,未知
广东省,广州市,海珠区,广州市红十字会医院昌岗分院,关节病与运动创伤医院,公立/综合医院,未知
广东省,广州市,海珠区,广州市海珠区联合医院,广州市海珠区联合医院,公立/综合医院,未知
广东省,广州市,海珠区,海珠区新港街社区卫生服务中心,广州市海珠区新港卫生院,公立/综合医院,未知
广东省,广州市,海珠区,海珠区南洲街社区卫生服务中心,海珠区南洲街社区卫生服务中心,公立/综合医院,未知
广东省,广州市,海珠区,沙园街光大花园社区卫生服务站,沙园街光大花园社区卫生服务站,公立/综合医院,未知
广东省,广州市,海珠区,广东省职业病防治院怡乐门诊部,广东省职业病防治院怡乐门诊部,公立/综合医院,未知
广东省,广州市,海珠区,中港第四航务工程局门诊部,中港第四航务工程局门诊部,公立/综合医院,未知
广东省,广州市,海珠区,新港街怡凤社区卫生服务站,新港街怡凤社区卫生服务站,公立/综合医院,未知
广东省,广州市,海珠区,海珠区南华西街社区卫生服务中心,广州市海珠区联合医院,公立/综合医院,未知
广东省,广州市,海珠区,广州市海珠区口腔医院,广州市海珠区口腔医院,公立/专科医院,未知
广东省,广州市,海珠区,广州中医药大学第一附属医院第二门诊部,广州中医药大学第一附属医院第二门诊部,公立/综合医院,未知
广东省,广州市,海珠区,广州紫荆医院,广州紫荆医院甲状腺疾病治疗中心,民营/综合医院,未知
广东省,广州市,海珠区,素社街素社东社区卫生服务站,海珠区第一人民医院第三门诊部,公立/综合医院,未知
广东省,广州市,海珠区,中港四航局第二工程公司职工门诊部,中港四航局第二工程公司职工门诊部,公立/综合医院,未知
广东省,广州市,海珠区,海珠区江南中街社区卫生服务中心,海珠区妇幼保健院穗花门诊部,公立/综合医院,未知
广东省,广州市,海珠区,海珠区凤阳街社区卫生服务中心,海珠区凤阳街社区卫生服务中心,公立/综合医院,未知
广东省,广州市,海珠区,瑞宝街南洲名苑社区卫生服务站,瑞宝街南洲名苑社区卫生服务站,公立/综合医院,未知
广东省,广州市,海珠区,四航局沥滘卫生所,四航局沥滘卫生所,公立/综合医院,未知
广东省,广州市,海珠区,海珠区退休职工管理中心医务室,海珠区退休职工管理中心医务室,公立/综合医院,未知
广东省,广州市,海珠区,广州港务局防疫站洲头咀门诊部,广州港务局防疫站洲头咀门诊部,公立/综合医院,未知
广东省,广州市,海珠区,广州造船厂职工医院沙园门诊部,广州造船厂职工医院沙园门诊部,公立/综合医院,未知
广东省,广州市,海珠区,广州市运输有限公司中心诊所,广州市运输有限公司中心诊所,公立/综合医院,未知
广东省,广州市,海珠区,广州港务局河南港务公司卫生所,广州港务局河南港务公司卫生所,公立/综合医院,未知
广东省,广州市,海珠区,广州航道局门诊部,广州航道局门诊部,公立/综合医院,未知
广东省,广州市,海珠区,广州市珠江啤酒集团公司卫生所,广州市珠江啤酒集团公司卫生所,公立/综合医院,未知
广东省,广州市,海珠区,龙凤街将军直社区卫生服务站,龙凤街将军直社区卫生服务站,公立/综合医院,未知
广东省,广州市,海珠区,海珠区海幢街宝岗直街社区卫生服务站,海珠区海幢街宝岗直街社区卫生服务站,公立/综合医院,未知
广东省,广州市,海珠区,龙凤街新民六社区卫生服务站,龙凤街新民六社区卫生服务站,公立/综合医院,未知
广东省,广州市,海珠区,海珠区昌岗街社区卫生服务中心,海珠区昌岗街社区卫生服务中心,公立/综合医院,未知
