省,市,区,全名,别名,性质,等级
广东省,广州市,天河区,广州中研白癜风医院,广州白癜风医院_广州白癜风专科医院,其他/专科医院,二级甲等
广东省,广州市,天河区,广州韩佳人医疗美容门诊部,韩佳人整形美容,民营/门诊,民营医院
广东省,广州市,天河区,广州新时代妇科医院,广州新时代妇科医院,其他/综合医院,未知
广东省,广州市,天河区,广州新时代医院,新时代医院,公立/专科医院,未评级
广东省,广州市,天河区,广州中山大学附属男科医院,附属男科医院,民营/专科医院,未知
广东省,广州市,天河区,广州华美医学整形美容医院,广州华美医学整形美容医院,民营/专科医院,未知
广东省,广州市,天河区,广州南国妇科医院,广州南国医院,民营/专科医院,一级甲等
广东省,广州市,天河区,广州国宾体检中心天河分院,广州国宾体检中心天河分院,个体户/专科医院,未知
广东省,广州市,天河区,广州爱康国宾健康检查中心天河分院,广州爱康国宾健康检查中心天河分院,民营/专科医院,未知
广东省,广州市,天河区,广州恒生手外科医院,广州恒生手外科医院,公立/专科医院,未知
广东省,广州市,天河区,广州颐康老年病医院芳村卫生所,广州颐康老年病医院芳村卫生所,公立/专科医院,未知
广东省,广州市,天河区,广东省皮肤性病防治中心,广东省皮肤性病防治研究所,公立/专科医院,未知
广东省,广州市,天河区,广州市名雅疤痕痤疮治疗中心, ,民营/,未知
广东省,广州市,天河区,广州长安医院,长安宝宝医院,民营/综合医院,未知
广东省,广州市,天河区,广东省军区专科医院,广东省军区专科医院,公立/专科医院,未知
广东省,广州市,天河区,广东华南口腔医院,广东华南口腔医院,民营/专科医院,未知
广东省,广州市,天河区,广州市天河区慢性病防治中心,广州市天河区慢性病防治中心,公立/综合医院,未知
广东省,广州市,天河区,广州《家家乐》康复医院,广州《家家乐》康复医院,公立/综合医院,未知
广东省,广州市,天河区,天河区黄村街社区卫生服务中心,广州市天河区黄村人民医院,公立/综合医院,未知
广东省,广州市,天河区,天河区冼村街社区服务中心,天河区冼村街社区服务中心,公立/综合医院,未知
