省,市,区,全名,别名,性质,等级
广东省,广州市,番禺区,广州番禺肛肠医院,　　广州玛莉亚肛肠医院,个体户/专科医院,一级甲等
广东省,广州市,番禺区,广州市番禺中心医院,广州市番禺区人民医院,公立/综合医院,二级甲等
广东省,广州市,番禺区,番禺阳光综合门诊部,番禺阳光医疗,个体户/综合医院,一级甲等
广东省,广州市,番禺区,广东康诚堂糖尿病研究所,广东康诚堂糖尿病研究所,个体户/综合医院,一级甲等
广东省,广州市,番禺区,广州市番禺区康华中医门诊部,番禺康华中医门诊部,合资/专科医院,未评级
广东省,广州市,番禺区,番禺第二人民医院,番禺第二人民医院,公立/综合医院,二级甲等
广东省,广州市,番禺区,番禺普惠微创医院,番禺普惠医院,民营/综合医院,民营医院
广东省,广州市,番禺区,番禺区石楼镇人民医院,番禺区石楼镇人民医院,公立/综合医院,未知
广东省,广州市,番禺区,广州市番禺区大石医院洛溪新城门诊部,广州市番禺区大石医院洛溪新城门诊部,公立/综合医院,未知
广东省,广州市,番禺区,广州市番禺区大石医院南浦分院,广州市番禺区大石医院南浦分院,公立/综合医院,未知
广东省,广州市,番禺区,广州市番禺区石基人民医院傍西分院,广州市番禺区石基人民医院傍西分院,公立/综合医院,未知
广东省,广州市,番禺区,番禺区石基人民医院旧水坑门诊部,番禺区石基人民医院旧水坑门诊部,公立/综合医院,未知
广东省,广州市,番禺区,番禺区石基人民医院大龙诊所,番禺区石基人民医院大龙诊所,公立/综合医院,未知
广东省,广州市,番禺区,中国人民武装警察部队广东总队医院番禺分院,中国人民武装警察部队广东总队医院番禺分院,公立/综合医院,未知
广东省,广州市,番禺区,广州番禺区新垦医院,广州番禺区新垦医院,公立/综合医院,未知
广东省,广州市,番禺区,广东祈福医院,广东祈福医院,合资/综合医院,三级甲等　　
广东省,广州市,番禺区,广州市番禺区黄阁医院,广州市番禺区黄阁医院,公立/综合医院,未知
广东省,广州市,番禺区,广东省口腔医院番禺分院,广东省口腔医院番禺分院,公立/专科医院,未知
广东省,广州市,番禺区,广州市番禺疗养院,番禺县干部疗养院,公立/专科医院,未知
广东省,广州市,番禺区,,,,
