省,市,区,全名,别名,性质,等级
广东省,广州市,从化市,广州市正骨医院,广州市正骨医院,公立/专科医院,二级甲等
广东省,广州市,从化市,从化市血站,从化市血站,其他/其他,未知
广东省,广州市,从化市,从化市疾病预防控制中心/卫生监督所,从化市疾病预防控制中心/卫生监督所,其他/其他,未知
广东省,广州市,从化市,从化市龙潭镇医院,从化市龙潭镇医院,其他/其他,未知
广东省,广州市,从化市,从化市温泉镇医院,从化市温泉镇医院,其他/其他,未知
广东省,广州市,从化市,从化市吕田镇医院,从化市吕田镇医院,其他/其他,未知
广东省,广州市,从化市,从化市江埔街医院,从化市江埔街医院,其他/其他,未知
广东省,广州市,从化市,从化市城郊街医院,从化市城郊街医院,其他/综合医院,未知
广东省,广州市,从化市,从化现代医院,从化现代医院,个体户/综合医院,一级甲等
广东省,广州市,从化市,从化明珠医院,从化明珠医院,民营/综合医院,未知
广东省,广州市,从化市,广州工伤康复中心,广州工伤康复医院,公立/专科医院,未知
广东省,广州市,从化市,广州市从化灌村医院,广州市从化灌村医院,公立/综合医院,未知
广东省,广州市,从化市,从化市神岗镇医院,从化市神岗镇医院,公立/综合医院,一级甲等
广东省,广州市,从化市,从化市良口镇医院,从化市良口镇医院,公立/综合医院,一级甲等
广东省,广州市,从化市,从化市街口街医院,从化市街口街医院,公立/综合医院,一级甲等
广东省,广州市,从化市,从化市太平镇医院,从化市太平镇医院,公立/综合医院,一级甲等
广东省,广州市,从化市,鳌头镇医院,鳌头镇医院,公立/综合医院,一级甲等
广东省,广州市,从化市,江浦街医院,江浦街医院,公立/综合医院,一级甲等
广东省,广州市,从化市,龙潭医院,龙潭医院,公立/综合医院,一级甲等
广东省,广州市,从化市,广州市从化温泉镇医院,广州市从化温泉镇医院,公立/综合医院,一级甲等
广东省,广州市,从化市,从化市慢性病防治中心,从化市慢性病防治中心,公立/综合医院,二级甲等
广东省,广州市,从化市,广东省工伤康复中心,广州工伤康复医院,公立/专科医院,二级甲等
广东省,广州市,从化市,从化市中医院,从化市中医院,公立/综合医院,二级甲等
广东省,广州市,从化市,从化市中心医院,从化市中心医院,公立/综合医院,二级甲等
广东省,广州市,从化市,从化市人民医院,从化市人民医院,公立/综合医院,二级甲等
广东省,广州市,从化市,广州工伤康复医院,广州工伤康复医院,公立/综合医院,一级甲等
广东省,广州市,从化市,从化市妇幼保健院,从化市妇幼保健院,公立/综合医院,二级甲等
