省,市,区,全名,别名,性质,等级
广东省,深圳市,福田区,深圳市福田区人民医院第二门诊部,深圳市福田区人民医院第二门诊部,公立/综合医院,二级乙等
广东省,深圳市,福田区,深圳深华医院（民营）,深圳深华医院,个体户/综合医院,一级甲等
广东省,深圳市,福田区,深圳市彩田医院,深圳市彩田医院,公立/综合医院,一级甲等
广东省,深圳市,福田区,深圳市华泰医院,深圳市华泰医院,公立/综合医院,一级甲等
广东省,深圳市,福田区,深圳市新沙医院,深圳市新沙医院,公立/综合医院,一级甲等
广东省,深圳市,福田区,深圳素兰妇科门诊部,深圳素兰妇科门诊部,民营/门诊,民营医院
广东省,深圳市,福田区,深圳仁爱医院,深圳仁爱医院,民营/综合医院,未知
广东省,深圳市,福田区,深圳男科医院,深圳万众男科医院,合资/专科医院,未知
广东省,深圳市,福田区,龙华美弗儿妇科医院,龙华妇科医院,民营/专科医院,民营医院
广东省,深圳市,福田区,深圳洪仁门诊部,深圳洪仁门诊部,民营/综合医院,民营医院
广东省,深圳市,福田区,深圳和平医院,深圳和平医院,个体户/综合医院,未知
广东省,深圳市,福田区,深圳市皇岗医院,深圳市皇岗医院,公立/综合医院,一级甲等
广东省,深圳市,福田区,六和・拜尔齿科,六和・拜尔齿科,个体户/专科医院,未知
广东省,深圳市,福田区,深圳武警医院福田门诊,福田武警医院,其他/综合医院,未评级
广东省,深圳市,福田区,深圳科发源整形医院,深圳植发医院,合资/专科医院,未知
广东省,深圳市,福田区,深圳武警医院,深圳皮肤病防治所,公立/综合医院,二级甲等
广东省,深圳市,福田区,深圳市眼科医院,暨南大学医学院深圳眼科中心,公立/专科医院,二级甲等
广东省,深圳市,福田区,六和・拜尔齿科,六和・拜尔齿科,民营/专科医院,未知
广东省,深圳市,福田区,深圳同步齿科,深圳同步齿科,民营/专科医院,未知
广东省,深圳市,福田区,深圳市急救医疗中心,深圳市急救医疗中心,公立/综合医院,未知
广东省,深圳市,福田区,深圳市第四人民医院南园社区健康服务中心,深圳市第四人民医院南园社区健康服务中心,公立/综合医院,未知
