省,市,区,全名,别名,性质,等级
广东省,深圳市,罗湖区,深圳益尚白癜风医院,深圳白癜风_深圳白癜风医院,其他/专科医院,未知
广东省,深圳市,罗湖区,深圳德尚泌尿外科医院,深圳德尚泌尿外科医院,其他/专科医院,未评级
广东省,深圳市,罗湖区,深圳微创种植牙研究院,深圳麦芽口腔门诊部,民营/门诊,民营医院
广东省,深圳市,罗湖区,深圳远大肛肠医院,深圳远大肛肠医院,个体户/综合医院,一级甲等
广东省,深圳市,罗湖区,深圳爱康健口腔门诊部,爱康健牙科,民营/专科医院,未评级
广东省,深圳市,罗湖区,深圳美和门诊部,深圳美和医院,合资/专科医院,二级乙等
广东省,深圳市,罗湖区,深圳爱视眼科专科门诊部,爱视眼科,民营/专科医院,民营医院
广东省,深圳市,罗湖区,深圳市保健办,深圳市保健办,公立/综合医院,未知
广东省,深圳市,罗湖区,深圳疾病预防控制中心,深圳疾病预防控制中心,公立/综合医院,未知
广东省,深圳市,罗湖区,深圳怡康妇科医院,深圳怡康妇科医院,民营/专科医院,未知
广东省,深圳市,罗湖区,深圳鹏程医院英平风湿骨病治疗中心,深圳鹏程医院英平风湿骨病治疗中心,民营/专科医院,未知
广东省,深圳市,罗湖区,深圳瑞尔齿科,深圳瑞尔齿科,合资/专科医院,未知
广东省,深圳市,罗湖区,深圳科美门诊部, ,合资/,未知
广东省,深圳市,罗湖区,深圳中山泌尿外科医院,深圳中山泌尿外科医院,民营/专科医院,未知
广东省,深圳市,罗湖区,深圳市孙逸仙心血管医院,深圳市孙逸仙心血管医院,公立/专科医院,未知
广东省,深圳市,罗湖区,深圳市深源门诊部,深圳市深源门诊部,民营/综合医院,未知
广东省,深圳市,罗湖区,深圳市笋岗医院,深圳市笋岗医院,民营/综合医院,未知
广东省,深圳市,罗湖区,深圳市莲塘医院,深圳市莲塘医院,公立/综合医院,未知
广东省,深圳市,罗湖区,深圳阳光医院,深圳阳光医院,民营/综合医院,未知
广东省,深圳市,罗湖区,深圳市慢性病防治院,深圳市慢性病防治院,公立/综合医院,未知
广东省,深圳市,罗湖区,深圳市凤凰医院,深圳市凤凰医院,民营/综合医院,未知
广东省,深圳市,罗湖区,深圳市罗湖区妇幼保健院,深圳市罗湖区妇幼保健院,公立/综合医院,未知
广东省,深圳市,罗湖区,深圳博爱医院,深圳博爱医院,民营/综合医院,未知
广东省,深圳市,罗湖区,瑞格尔健康管理中心,深圳市瑞格尔医院管理投资有限公司,民营/综合医院,未知
广东省,深圳市,罗湖区,广东省公安边防总医院,深圳武警边防医院,公立/综合医院,未知
广东省,深圳市,罗湖区,深圳市罗湖区慢性病防治院,深圳市罗湖区慢性病防治院,公立/综合医院,未知
广东省,深圳市,罗湖区,深圳鹏程医院,深圳鹏程医院胃肠科,民营/综合医院,未知
广东省,深圳市,罗湖区,深圳曙光医院,深圳曙光医院,民营/综合医院,一级甲等
