省,市,区,全名,别名,性质,等级
广东省,深圳市,南山区,深圳泰康门诊部,深圳泰康门诊部,民营/门诊,民营医院
广东省,深圳市,南山区,鹏爱医院中日联合牙科中心,鹏爱牙科,民营/专科医院,民营医院
广东省,深圳市,南山区,深圳西丽人民医院,深圳西丽人民医院,公立/综合医院,一级甲等
广东省,深圳市,南山区,深圳军颐门诊部,深圳军颐皮肤科医院,其他/专科医院,未知
广东省,深圳市,南山区,雷岭社区健康服务中心,雷岭社区健康服务中心,其他/其他,未知
广东省,深圳市,南山区,龙坤社区健康服务中心,龙坤社区健康服务中心,其他/其他,未知
广东省,深圳市,南山区,南光社区健康服务中心,南光社区健康服务中心,其他/未知,未知
广东省,深圳市,南山区,龙城社区健康服务中心,龙城社区健康服务中心,其他/其他,未知
广东省,深圳市,南山区,荔林社区健康服务中心,荔林社区健康服务中心,其他/其他,未知
广东省,深圳市,南山区,五湾社区健康服务中心,五湾社区健康服务中心,其他/其他,未知
广东省,深圳市,南山区,孖洲岛社区健康服务中心,孖洲岛社区健康服务中心,其他/其他,未知
广东省,深圳市,南山区,水湾社区健康服务中心,水湾社区健康服务中心,其他/其他,未知
广东省,深圳市,南山区,大铲社区健康服务中心,大铲社区健康服务中心,其他/其他,未知
广东省,深圳市,南山区,南水社区健康服务中心,南水社区健康服务中心,其他/其他,未知
广东省,深圳市,南山区,文竹园社区健康服务中心,文竹园社区健康服务中心,其他/其他,未知
广东省,深圳市,南山区,海珠社区健康服务中心,海珠社区健康服务中心,其他/其他,未知
广东省,深圳市,南山区,文化区社区健康服务中心,文化区社区健康服务中心,其他/其他,未知
广东省,深圳市,南山区,月亮湾社区健康服务中心,月亮湾社区健康服务中心,其他/其他,未知
广东省,深圳市,南山区,海昌社区健康服务中心,海昌社区健康服务中心,其他/其他,未知
广东省,深圳市,南山区,海湾社区健康服务中心,海湾社区健康服务中心,其他/其他,未知
广东省,深圳市,南山区,后海社区健康服务中心,后海社区健康服务中心,其他/其他,未知
广东省,深圳市,南山区,麻勘社区健康服务中心,麻勘社区健康服务中心,其他/其他,未知
广东省,深圳市,南山区,南头城社区健康服务中心,南头城社区健康服务中心,其他/其他,未知
广东省,深圳市,南山区,同乐社区健康服务中心,同乐社区健康服务中心,其他/其他,未知
广东省,深圳市,南山区,同乐北社区健康服务中心,同乐北社区健康服务中心,其他/其他,未知
广东省,深圳市,南山区,粤桂社区健康服务中心,粤桂社区健康服务中心,其他/其他,未知
广东省,深圳市,南山区,麻岭社区健康服务中心,麻岭社区健康服务中心,其他/其他,未知
广东省,深圳市,南山区,北头社区健康服务中心,北头社区健康服务中心,其他/其他,未知
广东省,深圳市,南山区,南山社区健康服务中心,南山社区健康服务中心,其他/其他,未知
广东省,深圳市,南山区,向南社区健康服务中心,向南社区健康服务中心,其他/其他,未知
广东省,深圳市,南山区,红花园社区健康服务中心,红花园社区健康服务中心,其他/其他,未知
广东省,深圳市,南山区,高新社区健康服务中心,高新社区健康服务中心,其他/其他,未知
广东省,深圳市,南山区,大新社区健康服务中心,大新社区健康服务中心,其他/其他,未知
