省,市,区,全名,别名,性质,等级
广东省,佛山市,禅城区,佛山市永安医院,佛山市禅城区永安医院,民营/综合医院,未知
广东省,佛山市,禅城区,佛山市禅城区永安医院,佛山市永安医院,民营/综合医院,未知
广东省,佛山市,禅城区,佛山市禅城区同济医院,佛山市禅城区同济医院,公立/综合医院,未知
广东省,佛山市,禅城区,佛山市禅城区朝阳医院,佛山市禅城区肛肠病医院,公立/综合医院,未知
广东省,佛山市,禅城区,佛山市禅城区向阳医院,佛山市禅城区向阳医院,公立/综合医院,一级甲等
广东省,佛山市,禅城区,佛山市禅城区南庄医院,佛山市禅城区南庄医院,公立/综合医院,一级甲等
广东省,佛山市,禅城区,佛山市朝阳医院,佛山市朝阳医院,民营/专科医院,一级甲等
广东省,佛山市,禅城区,佛山市禅城区张槎医院,佛山市禅城区张槎医院,公立/综合医院,一级甲等
广东省,佛山市,禅城区,佛山市禅城区澜石医院,佛山市禅城区澜石医院,公立/综合医院,一级甲等
广东省,佛山市,禅城区,佛山市禅城区环市医院,佛山市禅城区环市医院,公立/综合医院,一级甲等
广东省,佛山市,禅城区,佛山市中山医院,佛山市中山医院,民营/综合医院,二级甲等
广东省,佛山市,禅城区,健翔颈腰医院,健翔颈腰医院,民营/专科医院,二级甲等
广东省,佛山市,禅城区,佛山市第二人民医院,佛山市第二人民医院,公立/综合医院,二级甲等
广东省,佛山市,禅城区,佛山市口腔医院,佛山科学技术学院附属医院,公立/专科医院,二级甲等
广东省,佛山市,禅城区,佛山市妇幼保健院,广东省妇幼保健院佛山分院,公立/专科医院,二级甲等
广东省,佛山市,禅城区,佛山市慢性病防治院,佛山市慢性病防治院,公立/综合医院,二级甲等
广东省,佛山市,禅城区,佛山市第三人民医院,佛山市第三人民医院,公立/综合医院,二级甲等
广东省,佛山市,禅城区,佛山市禅城区石湾人民医院,佛山市禅城区石湾人民医院,公立/综合医院,二级甲等
广东省,佛山市,禅城区,佛山市中医院,佛山市中医院,公立/综合医院,三级甲等　　
广东省,佛山市,禅城区,佛山市第一人民医院,佛山市第一人民医院,公立/综合医院,三级甲等　　
广东省,佛山市,禅城区,佛山市第一人民医院肿瘤医院,佛山市第四人民医院,公立/专科医院,三级甲等　　
广东省,佛山市,禅城区,佛山口腔医院,佛山科学技术学院附属医院,公立/综合医院,二级甲等
广东省,佛山市,禅城区,佛山市岭南颈腰医院,佛山市岭南颈腰医院,公立/综合医院,一级甲等
广东省,佛山市,禅城区,佛山都市妇产医院,都市妇产医院,外资/综合医院,未知
广东省,佛山市,禅城区,禅城区祖庙街道朝东卫生站,禅城区祖庙街道朝东卫生站,其他/其他,未知
广东省,佛山市,禅城区,禅城区张槎街道下朗卫生站,禅城区张槎街道下朗卫生站,其他/其他,未知
广东省,佛山市,禅城区,禅城区张槎街道大沙卫生站,禅城区张槎街道大沙卫生站,其他/其他,未知
广东省,佛山市,禅城区,禅城区南庄镇村尾卫生站,禅城区南庄镇村尾卫生站,其他/其他,未知
广东省,佛山市,禅城区,禅城区南庄镇贺丰卫生站,禅城区南庄镇贺丰卫生站,其他/其他,未知
广东省,佛山市,禅城区,禅城区南庄镇堤田卫生站,禅城区南庄镇堤田卫生站,其他/其他,未知
广东省,佛山市,禅城区,禅城区南庄镇醒群卫生站,禅城区南庄镇醒群卫生站,其他/其他,未知
广东省,佛山市,禅城区,,,,
