省,市,区,全名,别名,性质,等级
广东省,佛山市,南海区,佛山市顺德区容桂海尾社区卫生服务站,佛山市顺德区容桂海尾社区卫生服务站,其他/其他,未知
广东省,佛山市,南海区,九江镇西桥社区卫生服务站,九江镇西桥社区卫生服务站,其他/其他,未知
广东省,佛山市,南海区,桂城街道平胜社区卫生服务站,桂城街道平胜社区卫生服务站,其他/其他,未知
广东省,佛山市,南海区,佛山市南海区教育发展研究中心中小学卫生保健所,佛山市南海区教育发展研究中心中小学卫生保健所,公立/其他,未知
广东省,佛山市,南海区,佛山市南海区里水镇文教社区卫生服务站,佛山市南海区里水镇文教社区卫生服务站,其他/其他,未知
广东省,佛山市,南海区,佛山市南海区里水镇胜利卫生站,佛山市南海区里水镇胜利卫生站,其他/其他,未知
广东省,佛山市,南海区,丹灶镇东升社区卫生服务站,丹灶镇东升社区卫生服务站,其他/其他,未知
广东省,佛山市,南海区,桂城平东社区卫生服务站,桂城平东社区卫生服务站,其他/其他,未知
广东省,佛山市,南海区,里水镇宏岗社区卫生服务站,里水镇宏岗社区卫生服务站,其他/其他,未知
广东省,佛山市,南海区,佛山市南海区里水镇石塘社区卫生服务站,佛山市南海区里水镇石塘社区卫生服务站,其他/其他,未知
广东省,佛山市,南海区,佛山市南海区西樵镇第二社区卫生服务站,佛山市南海区西樵镇第二社区卫生服务站,其他/其他,未知
广东省,佛山市,南海区,佛山市南海区狮山镇狮岭社区卫生服务站,佛山市南海区狮山镇狮岭社区卫生服务站,其他/其他,未知
广东省,佛山市,南海区,丹灶镇西联社区卫生服务站,丹灶镇西联社区卫生服务站,其他/其他,未知
广东省,佛山市,南海区,九江镇石江社区卫生服务站,九江镇石江社区卫生服务站,其他/其他,未知
广东省,佛山市,南海区,大沥镇长虹岭社区卫生服务站,大沥镇长虹岭社区卫生服务站,其他/其他,未知
广东省,佛山市,南海区,大沥镇大镇社区卫生服务站,大沥镇大镇社区卫生服务站,其他/其他,未知
广东省,佛山市,南海区,桂城街道桂雅社区卫生服务站,桂城街道桂雅社区卫生服务站,其他/其他,未知
广东省,佛山市,南海区,大沥镇奇槎社区卫生服务站,大沥镇奇槎社区卫生服务站,其他/其他,未知
广东省,佛山市,南海区,佛山市南海区狮山镇五星社区卫生服务站,佛山市南海区狮山镇五星社区卫生服务站,其他/其他,未知
广东省,佛山市,南海区,狮山镇沙头社区卫生服务站,狮山镇沙头社区卫生服务站,其他/其他,未知
广东省,佛山市,南海区,西樵镇第三社区卫生服务站,西樵镇第三社区卫生服务站,其他/其他,未知
广东省,佛山市,南海区,狮山镇桃园北社区卫生服务站,狮山镇桃园北社区卫生服务站,其他/其他,未知
广东省,佛山市,南海区,佛山市南海区里水镇大步卫生站,佛山市南海区里水镇大步卫生站,其他/其他,未知
广东省,佛山市,南海区,里水镇金溪社区卫生服务站,里水镇金溪社区卫生服务站,其他/其他,未知
广东省,佛山市,南海区,大沥镇大布社区卫生服务站,大沥镇大布社区卫生服务站,其他/其他,未知
广东省,佛山市,南海区,桂城平西社区卫生服务站,桂城平西社区卫生服务站,其他/其他,未知
广东省,佛山市,南海区,桂城街道夏南二社区卫生服务站,桂城街道夏南二社区卫生服务站,其他/其他,未知
