省,市,区,全名,别名,性质,等级
广东省,佛山市,三水区,佛山市三水区乐平镇黄塘村社区卫生服务站,佛山市三水区乐平镇黄塘村社区卫生服务站,民营/其他,未知
广东省,佛山市,三水区,佛山市三水区白坭镇新明珠社区卫生服务站,佛山市三水区白坭镇新明珠社区卫生服务站,民营/其他,未知
广东省,佛山市,三水区,佛山市三水区青岐卫生院高丰卫生站,佛山市三水区青岐卫生院高丰卫生站,其他/其他,未知
广东省,佛山市,三水区,佛山市三水区西南街道宝月社区卫生服务站,佛山市三水区西南街道宝月社区卫生服务站,民营/其他,未知
广东省,佛山市,三水区,佛山市三水区同方芦苞医院成功卫生站,佛山市三水区同方芦苞医院成功卫生站,民营/其他,未知
广东省,佛山市,三水区,佛山市三水区金本民信医院显和卫生站,佛山市三水区金本民信医院显和卫生站,民营/其他,未知
广东省,佛山市,三水区,佛山市三水区乐平镇黄塘墟社区卫生服务站,佛山市三水区乐平镇黄塘墟社区卫生服务站,民营/其他,未知
广东省,佛山市,三水区,佛山市三水区乐平镇显联社区卫生服务站,佛山市三水区乐平镇显联社区卫生服务站,民营/其他,未知
广东省,佛山市,三水区,佛山市三水区白坭镇岗头社区卫生服务站,佛山市三水区白坭镇岗头社区卫生服务站,民营/其他,未知
广东省,佛山市,三水区,佛山市三水区乐平镇三江社区卫生服务站,佛山市三水区乐平镇三江社区卫生服务站,其他/其他,未知
广东省,佛山市,三水区,广东省第二戒毒劳动教养所卫生所,广东省第二戒毒劳动教养所卫生所,公立/其他,未知
广东省,佛山市,三水区,佛山市三水区南山镇社区卫生服务中心,佛山市三水区南山镇社区卫生服务中心,其他/其他,未知
广东省,佛山市,三水区,广东省女子劳动教养管理所卫生所,广东省女子劳动教养管理所卫生所,其他/其他,未知
广东省,佛山市,三水区,佛山市三水区西南街道文锋东社区卫生服务站,佛山市三水区西南街道文锋东社区卫生服务站,其他/其他,未知
广东省,佛山市,三水区,佛山市三水区云东海街道杨梅社区卫生服务站,佛山市三水区云东海街道杨梅社区卫生服务站,其他/其他,未知
广东省,佛山市,三水区,佛山市三水区乐平镇三溪社区卫生服务站,佛山市三水区乐平镇三溪社区卫生服务站,其他/其他,未知
广东省,佛山市,三水区,佛山市三水区西南街道鲁村社区卫生服务站,佛山市三水区西南街道鲁村社区卫生服务站,其他/其他,未知
广东省,佛山市,三水区,佛山市三水区大塘镇大塘社区卫生服务站,佛山市三水区大塘镇大塘社区卫生服务站,其他/其他,未知
广东省,佛山市,三水区,佛山市三水区西南街道银坑社区卫生服务站,佛山市三水区西南街道银坑社区卫生服务站,其他/其他,未知
广东省,佛山市,三水区,佛山市三水区西南街道河口社区左田社区卫生服务站,佛山市三水区西南街道河口社区左田社区卫生服务站,民营/其他,未知
广东省,佛山市,三水区,佛山市三水区乐平镇大岗社区卫生服务站,佛山市三水区乐平镇大岗社区卫生服务站,民营/其他,未知
广东省,佛山市,三水区,佛山市三水区乐平镇三江村委海洲卫生站,佛山市三水区乐平镇三江村委海洲卫生站,其他/其他,未知
广东省,佛山市,三水区,佛山市三水区金本民信医院翠坑卫生站,佛山市三水区金本民信医院翠坑卫生站,民营/其他,未知
广东省,佛山市,三水区,佛山市三水区西南街道新街社区卫生服务站,佛山市三水区西南街道新街社区卫生服务站,民营/其他,未知
广东省,佛山市,三水区,佛山市三水区西南街道沙头社区卫生服务站,佛山市三水区西南街道沙头社区卫生服务站,其他/其他,未知
广东省,佛山市,三水区,佛山市三水区西南街道河口中学医务室,佛山市三水区西南街道河口中学医务室,其他/其他,未知
广东省,佛山市,三水区,佛山市三水区西南街道耀华社区卫生服务站,佛山市三水区西南街道耀华社区卫生服务站,其他/其他,未知
广东省,佛山市,三水区,佛山市三水区芦苞镇社区卫生服务中心,佛山市三水区芦苞镇社区卫生服务中心,其他/其他,未知
广东省,佛山市,三水区,佛山市三水区西南街道民营区社区卫生服务站,佛山市三水区西南街道民营区社区卫生服务站,其他/其他,未知
广东省,佛山市,三水区,佛山市三水区南山镇六和卫生院,佛山市三水区南山镇六和卫生院,其他/其他,未知
