省,市,区,全名,别名,性质,等级
广东省,佛山市,高明区,佛山市高明区更合镇白洞卫生站,佛山市高明区更合镇白洞卫生站,其他/其他,未知
广东省,佛山市,高明区,佛山市高明区更合镇白洞卫生站,佛山市高明区更合镇白洞卫生站,其他/其他,未知
广东省,佛山市,高明区,佛山高明明城镇潭朗社区卫生服务站,佛山高明明城镇潭朗社区卫生服务站,民营/其他,未知
广东省,佛山市,高明区,佛山市高明区更合镇官山卫生站,佛山市高明区更合镇官山卫生站,其他/其他,未知
广东省,佛山市,高明区,佛山高明明城镇明北社区卫生服务站,佛山高明明城镇明北社区卫生服务站,民营/其他,未知
广东省,佛山市,高明区,佛山高明荷城街道永兴社区卫生服务站,佛山高明荷城街道永兴社区卫生服务站,民营/其他,未知
广东省,佛山市,高明区,佛山市高明区杨和镇卫生院,佛山市高明区杨和镇卫生院,公立/其他,一级医院
广东省,佛山市,高明区,佛山高明荷城街道金华社区卫生服务站,佛山高明荷城街道金华社区卫生服务站,民营/其他,未知
广东省,佛山市,高明区,佛山市高明区更合镇巨泉卫生站,佛山市高明区更合镇巨泉卫生站,其他/其他,未知
广东省,佛山市,高明区,佛山高明明城镇城南卫生站,佛山高明明城镇城南卫生站,民营/其他,未知
广东省,佛山市,高明区,更合镇香山社区卫生服务站,更合镇香山社区卫生服务站,其他/其他,未知
广东省,佛山市,高明区,佛山高明明城镇明东社区卫生服务站,佛山高明明城镇明东社区卫生服务站,民营/其他,未知
广东省,佛山市,高明区,佛山高明荷城街道铁岗社区卫生服务站,佛山高明荷城街道铁岗社区卫生服务站,民营/其他,未知
广东省,佛山市,高明区,佛山高明明城镇明西社区卫生服务站,佛山高明明城镇明西社区卫生服务站,其他/其他,未知
广东省,佛山市,高明区,,,,
