省,市,区,全名,别名,性质,等级
广东省,珠海市,香洲区,珠海中山医院,珠海医院,民营/综合医院,民营医院
广东省,珠海市,香洲区,珠海陈科医疗美容诊所,陈科医疗美容,民营/门诊,一级甲等
广东省,珠海市,香洲区,珠海九龙医院,九龙医院,公立/综合医院,一级甲等
广东省,珠海市,香洲区,珠海一韩医疗美容诊所,珠海一韩美容医院,民营/门诊,未评级
广东省,珠海市,香洲区,珠海陆达美容外科医院,珠海陆达美容外科医院,个体户/综合医院,一级甲等
广东省,珠海市,香洲区,珠海博爱女子医院,珠海博爱女子医院,个体户/综合医院,二级甲等
广东省,珠海市,香洲区,珠海市金鼎医院,珠海市金鼎医院,公立/综合医院,一级甲等
广东省,珠海市,香洲区,珠海莱茵医疗美容整形医院,珠海莱茵医疗美容,民营/门诊,一级甲等
广东省,珠海市,香洲区,珠海仁爱医院,珠海仁爱医院,民营/专科医院,民营医院
广东省,珠海市,香洲区,珠海肛肠医院,珠海仁爱肛肠医院,外资/专科医院,未评级
广东省,珠海市,香洲区,珠海永安医院,珠海永安门诊,民营/综合医院,民营医院
广东省,珠海市,香洲区,珠海惠爱医院男科,珠海男科医院惠爱,民营/综合医院,民营医院
广东省,珠海市,香洲区,珠海惠爱医院,珠海拱北惠爱医院,合资/综合医院,未知
广东省,珠海市,香洲区,珠海瑞桦戒毒康复医院,珠海瑞桦戒毒康复医院,公立/专科医院,民营医院
广东省,珠海市,香洲区,珠海男科医院,珠海惠爱男科,民营/综合医院,民营医院
广东省,珠海市,香洲区,珠海微创外科医院,珠海微创医院,其他/综合医院,未评级
广东省,珠海市,香洲区,珠海摩尔口腔门诊部,摩尔齿科,民营/门诊,未评级
广东省,珠海市,香洲区,珠海博爱医院,珠海博爱医院,民营/综合医院,民营医院
广东省,珠海市,香洲区,珠海市香洲区惠爱医院,珠海市香洲区惠爱医院,公立/综合医院,未知
广东省,珠海市,香洲区,珠海白云康复医院,珠海白云康复医院,民营/综合医院,未知
广东省,珠海市,香洲区,珠海延年医院,珠海医院,民营/综合医院,未知
广东省,珠海市,香洲区,珠海市惠爱医院,惠爱医院,民营/综合医院,未知
广东省,珠海市,香洲区,珠海市结核病防治所,珠海市结核病防治所,公立/综合医院,未知
广东省,珠海市,香洲区,珠海市香洲区南屏卫生院,珠海市香洲区南屏卫生院,民营/综合医院,未知
广东省,珠海市,香洲区,珠海上冲医院,珠海上冲医院,民营/综合医院,未知
广东省,珠海市,香洲区,珠海平安康复院,珠海平安康复院,民营/综合医院,一级乙等
广东省,珠海市,香洲区,珠海博雅医院,珠海博雅医院,民营/综合医院,一级甲等
广东省,珠海市,香洲区,珠海方华医院,珠海方华医院,民营/综合医院,一级甲等
广东省,珠海市,香洲区,珠海仁和骨伤医院,珠海仁和骨伤医院,公立/综合医院,未知
广东省,珠海市,香洲区,珠海阳光医院,珠海阳光男科医院,合资/专科医院,未知
广东省,珠海市,香洲区,珠海市香洲区香洲医院,珠海市香洲区香洲医院,公立/综合医院,二级乙等
广东省,珠海市,香洲区,珠海市香洲区人民医院,珠海市香洲区人民医院,公立/综合医院,二级甲等
广东省,珠海市,香洲区,珠海市第二人民医院,珠海市中西医结合医院,公立/综合医院,三级乙等
广东省,珠海市,香洲区,中山大学附属第五医院,中山五院,公立/综合医院,三级甲等　　
广东省,珠海市,香洲区,珠海嘉济医院,珠海嘉济医院,民营/综合医院,未知
广东省,珠海市,香洲区,珠海市妇幼保健院,珠海市妇幼保健院,公立/综合医院,三级甲等　　
广东省,珠海市,香洲区,珠海市人民医院,珠海市人民医院,公立/综合医院,三级甲等　　
广东省,珠海市,香洲区,珠海市第二人民医院,珠海市拱北医院,公立/综合医院,三级乙等
广东省,珠海市,香洲区,珠海市万山管理区医疗中心,珠海市万山管理区医疗中心,民营/综合医院,未知
广东省,珠海市,香洲区,珠海市湾仔镇卫生院,珠海市湾仔镇卫生院,公立/综合医院,一级乙等
广东省,珠海市,香洲区,珠海市延年医院,珠海市延年医院,民营/综合医院,未知
广东省,珠海市,香洲区,珠海市仁和骨伤医院,珠海市骨伤医院,公立/专科医院,未知
广东省,珠海市,香洲区,珠海市香洲医院,珠海香洲医院,公立/综合医院,二级乙等
广东省,珠海市,香洲区,珠海市三灶妇幼保健院,珠海市三灶妇幼保健院,公立/综合医院,一级甲等
广东省,珠海市,香洲区,珠海博爱妇产医院,珠海博爱妇产医院,民营/综合医院,未知
广东省,珠海市,香洲区,珠海六和医院,珠海六和医院,民营/综合医院,一级甲等
广东省,珠海市,香洲区,珠海平安康复医院,珠海平安康复医院,民营/综合医院,二级甲等
广东省,珠海市,香洲区,珠海市香洲区妇幼保健院,珠海市香洲区妇幼保健院,公立/综合医院,二级甲等
广东省,珠海市,香洲区,珠海天伦不孕不育专科医院,珠海天伦不孕不育专科医院,个体户/综合医院,二级甲等
广东省,珠海市,香洲区,珠海陆达医院,陆达医院（北院）,公立/综合医院,三级甲等　　
广东省,珠海市,香洲区,珠海武警医院,珠海武警医院,个体户/综合医院,一级甲等
广东省,珠海市,香洲区,珠海传统医学研究所,珠海传统医学研究所,个体户/综合医院,二级甲等
广东省,珠海市,香洲区,珠海同济医院,珠海同济医院,公立/综合医院,一级甲等
广东省,珠海市,香洲区,珠海市拱北医院,珠海市拱北医院,公立/综合医院,二级甲等
广东省,珠海市,香洲区,香洲区香湾社区卫生服务中心,香洲区香湾社区卫生服务中心,其他/其他,未知
广东省,珠海市,香洲区,桃园社区卫生服务站,桃园社区卫生服务站,其他/其他,未知
广东省,珠海市,香洲区,田继尧中医诊所,田继尧中医诊所,其他/其他,未知
广东省,珠海市,香洲区,香洲区吉大居委会卫生站,香洲区吉大居委会卫生站,其他/其他,未知
广东省,珠海市,香洲区,珠海同泰门诊部,珠海同泰门诊部,其他/其他,未知
广东省,珠海市,香洲区,珠海市喜光综合门诊部,珠海市喜光综合门诊部,其他/门诊,未知
广东省,珠海市,香洲区,珠海市嘉济医院香洲门诊部,珠海市嘉济医院香洲门诊部,其他/门诊,未知
广东省,珠海市,香洲区,珠海国医馆门诊部,珠海国医馆门诊部,其他/其他,未知
广东省,珠海市,香洲区,珠海东来中医研究所门诊部,珠海东来中医研究所门诊部,其他/其他,未知
广东省,珠海市,香洲区,金鼎镇金发工业区医务室,金鼎镇金发工业区医务室,其他/其他,未知
广东省,珠海市,香洲区,珠海美蓓亚精密马达有限公司医务室,珠海美蓓亚精密马达有限公司医务室,其他/其他,未知
广东省,珠海市,香洲区,珠海市邮政局医务室,珠海市邮政局医务室,其他/其他,未知
广东省,珠海市,香洲区,珠海市香洲区香湾办事处华达工业区医务室,珠海市香洲区香湾办事处华达工业区医务室,其他/其他,未知
广东省,珠海市,香洲区,珠海市香洲区前山街道社区敬老院医务室,珠海市香洲区前山街道社区敬老院医务室,其他/其他,未知
广东省,珠海市,香洲区,珠海市香洲区南山幼儿园医务室,珠海市香洲区南山幼儿园医务室,其他/其他,未知
广东省,珠海市,香洲区,珠海市香洲区景园小学医务室,珠海市香洲区景园小学医务室,其他/其他,未知
广东省,珠海市,香洲区,珠海市香洲区健儿幼儿园医务室,珠海市香洲区健儿幼儿园医务室,其他/其他,未知
广东省,珠海市,香洲区,珠海市香洲区拱北幼儿园医务室,珠海市香洲区拱北幼儿园医务室,其他/其他,未知
广东省,珠海市,香洲区,珠海市香洲区第一小学医务室,珠海市香洲区第一小学医务室,其他/其他,未知
广东省,珠海市,香洲区,珠海市香洲区第三小学医务室,珠海市香洲区第三小学医务室,其他/其他,未知
广东省,珠海市,香洲区,珠海市文园中学医务室,珠海市文园中学医务室,其他/其他,未知
广东省,珠海市,香洲区,珠海香洲区第十一小学医务室,珠海香洲区第十一小学医务室,其他/其他,未知
广东省,珠海市,香洲区,香洲区老干部活动中心医务室,香洲区老干部活动中心医务室,其他/其他,未知
广东省,珠海市,香洲区,香洲区人民医院南溪门诊部,香洲区人民医院南溪门诊部,其他/门诊,未知
广东省,珠海市,香洲区,香洲区人民医院翠微门诊部,香洲区人民医院翠微门诊部,其他/门诊,未知
广东省,珠海市,香洲区,珠海市慢性病防治站,珠海市慢性病防治站,其他/其他,未知
广东省,珠海市,香洲区,珠海市口腔医院,珠海市口腔医院,其他/专科医院,未知
广东省,珠海市,香洲区,珠海市疾病预防控制中心门诊部,珠海市疾病预防控制中心门诊部,其他/其他,未知
广东省,珠海市,香洲区,珠海市急救指挥中心,珠海市急救指挥中心,其他/其他,未知
广东省,珠海市,香洲区,珠海翠林正元康复诊所,珠海翠林正元康复诊所,其他/其他,未知
