省,市,区,全名,别名,性质,等级
广东省,东莞市,莞城区,东莞仁康医院,南方医科大学仁康医院,民营/综合医院,民营医院
广东省,东莞市,莞城区,东莞养和皮肤病医学研究所,东莞养和皮肤病专科,其他/综合医院,未知
广东省,东莞市,莞城区,东莞市康宁妇科医院,东莞市康宁医院,民营/专科医院,民营医院
广东省,东莞市,莞城区,东莞健力口腔医院,东莞健力口腔医院,合资/专科医院,未知
广东省,东莞市,莞城区,东莞光明眼科医院,东莞光明眼科医院,合资/专科医院,未知
广东省,东莞市,莞城区,同济医学院附属东莞医院,同济医学院附属东莞医院,公立/综合医院,未知
广东省,东莞市,莞城区,东莞泌尿医院,同济医学院附属东莞医院、同济东莞医院,民营/综合医院,未知
广东省,东莞市,莞城区,东莞市莞城医院,东莞市莞城医院,公立/综合医院,二级甲等
广东省,东莞市,莞城区,东莞市妇幼保健院,东莞市妇幼保健院,公立/综合医院,二级甲等
广东省,东莞市,莞城区,东莞市中医院,东莞市中医院,公立/综合医院,三级甲等　　
广东省,东莞市,莞城区,东莞市人民医院,东莞市人民医院,公立/综合医院,三级甲等　　
广东省,东莞市,莞城区,东莞市大岭山同仁妇科医院,同仁妇科医院,民营/专科医院,未知
广东省,东莞市,莞城区,东莞东江医院,东莞东江医院,民营/综合医院,未知
广东省,东莞市,莞城区,东莞老干部医院,老干部医院,公立/门诊,未知
