省,市,区,全名,别名,性质,等级
广东省,东莞市,虎门镇,虎门男科医院,东莞博仕男科医院,民营/专科医院,未评级
广东省,东莞市,虎门镇,虎门真爱医院,东莞虎门镇口真爱门诊部,民营/综合医院,民营医院
广东省,东莞市,虎门镇,东莞男科医院,虎门金盾男科医院,合资/专科医院,未知
广东省,东莞市,虎门镇,东莞虎门拜尔口腔医院,拜尔口腔医院,民营/专科医院,民营医院
广东省,东莞市,虎门镇,东莞虎门同仁门诊部,虎门同仁妇科医院,民营/综合医院,未评级
广东省,东莞市,虎门镇,东莞市虎门镇南栅医院（民营）,东莞市虎门镇南栅医院,公立/综合医院,一级甲等
广东省,东莞市,虎门镇,东莞市虎门镇北栅医院,东莞市虎门镇北栅医院,民营/综合医院,未知
广东省,东莞市,虎门镇,东莞市南栅王少强医院,东莞市南栅王少强医院,民营/综合医院,未知
广东省,东莞市,虎门镇,东莞北栅医院,东莞北栅医院,民营/综合医院,一级甲等
广东省,东莞市,虎门镇,东莞市虎门中医院,东莞市虎门中医院,公立/综合医院,一级甲等
广东省,东莞市,虎门镇,东莞市太平人民医院,东莞市太平人民医院,公立/综合医院,二级甲等
广东省,东莞市,虎门镇,东莞市虎门医院,东莞市虎门医院,公立/综合医院,二级甲等
广东省,东莞市,虎门镇,东莞市虎门镇怀德社区卫生服务站,东莞市虎门镇怀德社区卫生服务站,其他/其他,未知
广东省,东莞市,虎门镇,东莞市虎门镇东风社区卫生服务站,东莞市虎门镇东风社区卫生服务站,其他/其他,未知
广东省,东莞市,虎门镇,东莞虎门雅宝口腔门诊部,雅宝齿科【虎门店】,民营/专科医院,未知
广东省,东莞市,虎门镇,东莞虎门爱仁中医门诊部,虎门爱仁中医门诊部,民营/门诊,未评级
