省,市,区,全名,别名,性质,等级
广东省,东莞市,东城区,东莞天使口腔医院,东莞天使口腔医院,个体户/综合医院,一级甲等
广东省,东莞市,东城区,东莞爱尔眼科医院,东莞爱尔,民营/专科医院,未知
广东省,东莞市,东城区,东莞缔美美容医院,东莞缔美整形美容医院,民营/专科医院,民营医院
广东省,东莞市,东城区,东莞现代妇科医院,东莞现代女子医院,民营/未知,民营医院
广东省,东莞市,东城区,东莞岭南泌尿专科医院,东莞岭南泌尿专科医院,公立/综合医院,未知
广东省,东莞市,东城区,东莞市东城区人民医院,东莞市东城区人民医院,公立/综合医院,未知
广东省,东莞市,东城区,东莞老干部医院,东莞老干部医院,公立/综合医院,未知
广东省,东莞市,东城区,东莞康华医院,东莞康华医院,民营/综合医院,未知
广东省,东莞市,东城区,东莞市慢性病防治院,东莞市慢性病防治院,公立/综合医院,未知
广东省,东莞市,东城区,中山大学东华医院,中山大学东华医院,民营/综合医院,三级乙等
广东省,东莞市,东城区,东莞东方泌尿专科医院,东莞东方泌尿专科医院,公立/综合医院,一级甲等
广东省,东莞市,东城区,东莞东城特美口腔门诊部,特美口腔,民营/门诊,民营医院
