省,市,区,全名,别名,性质,等级
广东省,肇庆市,端州县,肇庆县复退军人医院, 肇庆县复退军人医院,公立/综合医院,二级甲等
广东省,肇庆市,端州县,四会人民医院,四会人民医院,民营/综合医院,未知
广东省,肇庆市,端州县,肇庆福康生殖泌尿专科医院,肇庆福康医院,民营/专科医院,未知
广东省,肇庆市,端州县,肇庆市结核病防治所,肇庆市结核病防治所,公立/专科医院,未知
广东省,肇庆市,端州县,肇庆西江医院,肇庆西江医院,民营/综合医院,未知
广东省,肇庆市,端州县,肇庆市皮肤病医院,肇庆市皮肤病医院,公立/综合医院,一级甲等
广东省,肇庆市,端州县,肇庆女子专科医院,肇庆女子专科医院,民营/专科医院,一级甲等
广东省,肇庆市,端州县,肇庆新民白内障医院,肇庆新民白内障医院,民营/专科医院,一级甲等
广东省,肇庆市,端州县,肇庆仁爱手外科医院,肇庆仁爱手外科医院,民营/综合医院,一级甲等
广东省,肇庆市,端州县,肇庆市博爱医院,肇庆市博爱医院,民营/综合医院,一级甲等
广东省,肇庆市,端州县,高新区大旺医院,高新区大旺医院,民营/综合医院,一级甲等
广东省,肇庆市,端州县,端州区睦岗镇医院,端州区睦岗镇医院,民营/综合医院,一级甲等
广东省,肇庆市,端州县,端州区黄岗镇医院,端州区黄岗镇医院,民营/综合医院,一级甲等
广东省,肇庆市,端州县,肇庆市复退军人医院,肇庆市复退军人医院,公立/综合医院,一级甲等
广东省,肇庆市,端州县,端州区妇幼保健院,端州区妇幼保健院,公立/综合医院,一级甲等
广东省,肇庆市,端州县,端州红十字医院,端州红十字医院,公立/综合医院,二级甲等
广东省,肇庆市,端州县,端州区华佗医院,端州区华佗医院,民营/综合医院,二级甲等
广东省,肇庆市,端州县,端州区人民医院,端州区人民医院,公立/综合医院,二级甲等
广东省,肇庆市,端州县,肇庆卫校附属医院,肇庆卫校附属医院,公立/综合医院,二级甲等
广东省,肇庆市,端州县,肇庆市中医院,肇庆市中医院,公立/综合医院,二级甲等
广东省,肇庆市,端州县,肇庆市第三人民医院,肇庆市第三人民医院,公立/综合医院,二级甲等
广东省,肇庆市,端州县,肇庆市第二人民医院,肇庆市第二人民医院,公立/综合医院,二级甲等
广东省,肇庆市,端州县,肇庆市第一人民医院,肇庆市第一人民医院,公立/综合医院,三级甲等　　
广东省,肇庆市,端州县,肇庆市黄岗人民医院,肇庆市黄岗人民医院,公立/综合医院,一级甲等
广东省,肇庆市,端州县,肇庆市红十字博爱医院,肇庆市红十字博爱医院,公立/综合医院,一级甲等
广东省,肇庆市,端州县,肇庆华佗医院,肇庆华佗医院,公立/综合医院,二级甲等
广东省,肇庆市,端州县,端州区城东社区卫生服务中心,端州区城东社区卫生服务中心,公立/其他,未知
广东省,肇庆市,端州县,肇庆医学高等专科学校附属医院,肇庆医学高等专科学校附属医院,公立/综合医院,二级甲等
广东省,肇庆市,端州县,端州红十字会医院,端州红十字会医院,公立/其他,二级甲等
广东省,肇庆市,端州县,肇庆民和医院,肇庆民和医院,民营/专科医院,未知
广东省,肇庆市,端州县,肇庆英博生殖泌尿专科医院,肇庆英博男科医院,民营/专科医院,未评级
广东省,肇庆市,端州县,肇庆现代男科医院,肇庆现代男科,其他/专科医院,三级乙等
广东省,肇庆市,端州县,端州区睦岗镇医院,端州区睦岗镇医院,个体户/综合医院,一级甲等
广东省,肇庆市,端州县,肇庆市端州区红十字会医院,庆市端州区红十字会医院,公立/综合医院,二级甲等
