省,市,区,全名,别名,性质,等级
广东省,阳江市,江城区,阳江市中医眼科医院,阳江市中医眼科医院,公立/综合医院,一级甲等
广东省,阳江市,江城区,阳江仁济医院,阳江仁济医院,民营/综合医院,二级乙等
广东省,阳江市,江城区,阳江市海陵岛经济开发试验区人民医院,阳江市海陵区人民医院,公立/综合医院,二级甲等
广东省,阳江市,江城区,江城县妇幼保健站,江城县妇幼保健站,公立/妇幼保健医院,未知
广东省,阳江市,江城区,江城县妇幼保健站,江城县妇幼保健站,公立/综合医院,未知
广东省,阳江市,江城区,阳江市复退军人医院,阳江市复退军人医院,公立/综合医院,未知
广东省,阳江市,江城区,阳江市博爱医院,阳江市博爱医院,民营/综合医院,二级甲等
广东省,阳江市,江城区,阳江市卫校附属医院,阳江市卫校附属医院,公立/综合医院,二级甲等
广东省,阳江市,江城区,阳江市妇幼保健院,阳江市妇幼保健院,公立/综合医院,二级甲等
广东省,阳江市,江城区,阳江市中医院,阳江市中医院,公立/综合医院,二级甲等
广东省,阳江市,江城区,阳江市第三人民医院,阳江市第三人民医院,公立/综合医院,二级甲等
广东省,阳江市,江城区,阳江市人民医院,阳江市人民医院,公立/综合医院,三级甲等　　
广东省,阳江市,江城区,阳江滨海医院,阳江滨海医院,民营/综合医院,未知
广东省,阳江市,江城区,阳江市职业病防治院,阳江市职业病防治院,公立/综合医院,未知
广东省,阳江市,江城区,阳江市水运医院,阳江市水运医院,公立/综合医院,二级乙等
广东省,阳江市,江城区,阳江市江城区保健所,阳江市江城区保健所,公立/综合医院,未知
广东省,阳江市,江城区,阳江市江城区人民医院,阳江市江城区人民医院,公立/综合医院,二级甲等
广东省,阳江市,江城区,阳江市中西医结合医院,阳江市中西医结合医院,公立/综合医院,二级甲等
广东省,阳江市,江城区,阳江市慢性病防治站,阳江市慢性病防治站,公立/综合医院,一级甲等
广东省,阳江市,江城区,阳江安琪儿妇产医院,阳江妇产医院,公立/专科医院,一级甲等
