省,市,区,全名,别名,性质,等级
广东省,湛江市,赤坎区,湛江市赤坎中医院,湛江市赤坎中医院,公立/中医医院,二级乙等
广东省,湛江市,赤坎区,湛江市赤坎区中医院,湛江市赤坎中医院,公立/综合医院,未知
广东省,湛江市,赤坎区,湛江市赤坎区医院,湛江市赤坎区医院,公立/综合医院,未知
广东省,湛江市,赤坎区,湛江市霞湖医院,湛江市霞湖医院,公立/综合医院,未知
广东省,湛江市,赤坎区,湛江市妇幼保健院,湛江市妇幼保健院,公立/综合医院,未知
广东省,湛江市,赤坎区,湛江东方妇科医院,湛江东方妇科医院,合资/专科医院,一级甲等
广东省,湛江市,赤坎区,湛江市第一中医院,湛江市第一中医院,公立/综合医院,三级甲等　　
广东省,湛江市,赤坎区,湛江中心人民医院,湛江中心人民医院,公立/综合医院,三级甲等　　
广东省,湛江市,赤坎区,湛江赤坎林秋柏中医诊所,湛江赤坎林秋柏中医诊所,民营/其他,未知
广东省,湛江市,赤坎区,湛江赤坎吴标中医诊所,湛江赤坎吴标中医诊所,民营/其他,未知
广东省,湛江市,赤坎区,湛江赤坎黄喜口腔诊所,湛江赤坎黄喜口腔诊所,民营/其他,未知
广东省,湛江市,赤坎区,湛江赤坎梁正口腔诊所,湛江赤坎梁正口腔诊所,民营/其他,未知
广东省,湛江市,赤坎区,湛江赤坎骨伤康复医院,湛江赤坎骨伤康复医院,民营/专科医院,未知
广东省,湛江市,赤坎区,湛江第196医院,解放军第196医院,公立/综合医院,三级甲等　　
广东省,湛江市,赤坎区,赤坎中山社区卫生服务中心,赤坎中山社区卫生服务中心,其他/其他,未知
广东省,湛江市,赤坎区,赤坎区妇幼保健所金沙湾新城社区卫生服务站,赤坎区妇幼保健所金沙湾新城社区卫生服务站,民营/其他,未知
广东省,湛江市,赤坎区,赤坎区妇幼保健院百园社区卫生服务站,赤坎区妇幼保健院百园社区卫生服务站,其他/其他,未知
广东省,湛江市,赤坎区,赤坎区中医医院中华社区卫生服务中心,赤坎区中医医院中华社区卫生服务中心,其他/其他,未知
广东省,湛江市,赤坎区,赤坎区民主社区卫生服务中心,赤坎区民主社区卫生服务中心,其他/其他,未知
广东省,湛江市,赤坎区,坡头区妇幼保健站南调社区卫生服务中心,坡头区妇幼保健站南调社区卫生服务中心,其他/其他,未知
广东省,湛江市,赤坎区,赤坎中医院南桥社区卫生服务中心,赤坎中医院南桥社区卫生服务中心,其他/其他,未知
广东省,湛江市,赤坎区,湛江市赤坎区寸金社区卫生服务中心,湛江市赤坎区寸金社区卫生服务中心,其他/其他,未知
广东省,湛江市,赤坎区,湛江赤坎王庚口腔诊所,湛江赤坎王庚口腔诊所,民营/其他,未知
广东省,湛江市,赤坎区,湛江赤坎许源口腔诊所,湛江赤坎许源口腔诊所,民营/其他,未知
广东省,湛江市,赤坎区,湛江赤坎王永恒口腔诊所,湛江赤坎王永恒口腔诊所,民营/其他,未知
广东省,湛江市,赤坎区,湛江赤坎容福口腔诊所,湛江赤坎容福口腔诊所,民营/其他,未知
广东省,湛江市,赤坎区,湛江赤坎林观土口腔诊所,湛江赤坎林观土口腔诊所,民营/其他,未知
广东省,湛江市,赤坎区,湛江赤坎吴水凤口腔诊所,湛江赤坎吴水凤口腔诊所,民营/其他,未知
广东省,湛江市,赤坎区,湛江赤坎王永彤口腔诊所,湛江赤坎王永彤口腔诊所,民营/其他,未知
广东省,湛江市,赤坎区,湛江赤坎许兆斌口腔诊所,湛江赤坎许兆斌口腔诊所,民营/其他,未知
广东省,湛江市,赤坎区,湛江赤坎苏余平中医诊所,湛江赤坎苏余平中医诊所,民营/其他,未知
广东省,湛江市,赤坎区,湛江赤坎梁昌轩西医诊所,湛江赤坎梁昌轩西医诊所,民营/其他,未知
广东省,湛江市,赤坎区,湛江赤坎华少英西医诊所,湛江赤坎华少英西医诊所,民营/其他,未知
广东省,湛江市,赤坎区,湛江赤坎占衍凡西医诊所,湛江赤坎占衍凡西医诊所,民营/其他,未知
广东省,湛江市,赤坎区,湛江赤坎潘陆仲西医诊所,湛江赤坎潘陆仲西医诊所,民营/其他,未知
广东省,湛江市,赤坎区,湛江赤坎钟鸣捷西医诊所,湛江赤坎钟鸣捷西医诊所,民营/其他,未知
广东省,湛江市,赤坎区,湛江赤坎邹浩口腔诊所,湛江赤坎邹浩口腔诊所,民营/其他,未知
广东省,湛江市,赤坎区,湛江赤坎林智口腔诊所,湛江赤坎林智口腔诊所,民营/其他,未知
