省,市,区,全名,别名,性质,等级
广东省,湛江市,霞山区,广东省八建职工医院,广东省八建职工医院,公立/综合医院,一级甲等
广东省,湛江市,霞山区,湛江市第二人民医院,广东医学院第二附属医院,公立/综合医院,二级甲等
广东省,湛江市,霞山区,湛江海洋渔业公司职工医院,湛江海洋渔业公司职工医院,公立/综合医院,一级甲等
广东省,湛江市,霞山区,广东省农垦中心医院,湛江肿瘤医院,公立/综合医院,三级甲等　　
广东省,湛江市,霞山区,中国人民解放军第四二二医院,中国人民解放军第四二二医院,公立/综合医院,三级甲等　　
广东省,湛江市,霞山区,湛江和家宝妇产医院,湛江和家宝妇产医院,个体户/综合医院,二级甲等
广东省,湛江市,霞山区,湛江仁爱医院,原港区医院第二门诊部,公立/综合医院,一级甲等
广东省,湛江市,霞山区,湛江华泰医院,湛江华泰老年病专科,民营/专科医院,民营医院
广东省,湛江市,霞山区,湛江华美整形美容医院,华美整形医院,其他/综合医院,未知
广东省,湛江市,霞山区,湛江国济男科医院,湛江男科医院,其他/专科医院,未知
广东省,湛江市,霞山区,湛江东大肛肠医院,湛江东大肛肠医院,民营/专科医院,未评级
广东省,湛江市,霞山区,湛江现代男科医院,湛江男科医院,民营/专科医院,民营医院
广东省,湛江市,霞山区,湛江霞山叶美厚口腔诊所,湛江霞山叶美厚口腔诊所,民营/其他,未知
广东省,湛江市,霞山区,湛江霞山林九二口腔诊所,湛江霞山林九二口腔诊所,民营/其他,未知
广东省,湛江市,霞山区,湛江霞山杨晓国口腔诊所,湛江霞山杨晓国口腔诊所,民营/其他,未知
广东省,湛江市,霞山区,湛江霞山邵海贰口腔诊所,湛江霞山邵海贰口腔诊所,民营/其他,未知
广东省,湛江市,霞山区,湛江霞山王艳媚口腔诊所,湛江霞山王艳媚口腔诊所,民营/其他,未知
广东省,湛江市,霞山区,湛江霞山钟德霖口腔诊所,湛江霞山钟德霖口腔诊所,民营/其他,未知
广东省,湛江市,霞山区,湛江霞山容爱新口腔诊所,湛江霞山容爱新口腔诊所,民营/其他,未知
广东省,湛江市,霞山区,湛江霞山区吴奇生口腔诊所,湛江霞山区吴奇生口腔诊所,民营/其他,未知
广东省,湛江市,霞山区,湛江霞山邵海口腔诊所,湛江霞山邵海口腔诊所,民营/其他,未知
广东省,湛江市,霞山区,湛江市霞山口腔疾病防治中心,湛江市霞山口腔疾病防治中心,其他/其他,未知
广东省,湛江市,霞山区,湛江霞山黄欣中医诊所,湛江霞山黄欣中医诊所,民营/其他,未知
广东省,湛江市,霞山区,湛江霞山成焕明西医诊所,湛江霞山成焕明西医诊所,民营/其他,未知
广东省,湛江市,霞山区,湛江霞山澳泰医疗美容诊所,湛江霞山澳泰医疗美容诊所,民营/其他,未评级
广东省,湛江市,霞山区,湛江霞山老医师诊所,湛江霞山老医师诊所,民营/其他,未知
广东省,湛江市,霞山区,湛江霞山麦小卡西医诊所,湛江霞山麦小卡西医诊所,民营/其他,未知
广东省,湛江市,霞山区,湛江霞山林秀珍口腔诊所,湛江霞山林秀珍口腔诊所,民营/其他,未知
广东省,湛江市,霞山区,湛江霞山陈金玉口腔诊所,湛江霞山陈金玉口腔诊所,民营/其他,未知
广东省,湛江市,霞山区,霞山黄华口腔诊所,霞山黄华口腔诊所,民营/其他,未知
广东省,湛江市,霞山区,湛江霞山邵华珍口腔诊所,湛江霞山邵华珍口腔诊所,民营/其他,未知
广东省,湛江市,霞山区,湛江霞山王维明口腔诊所,湛江霞山王维明口腔诊所,民营/其他,未知
广东省,湛江市,霞山区,湛江霞山洪帝林口腔诊所,湛江霞山洪帝林口腔诊所,民营/其他,未知
广东省,湛江市,霞山区,湛江霞山李光口腔诊所,湛江霞山李光口腔诊所,民营/其他,未知
广东省,湛江市,霞山区,霞山区友谊街道办建新东社区卫生服务站,霞山区友谊街道办建新东社区卫生服务站,其他/其他,未知
广东省,湛江市,霞山区,霞山区友谊街道办事处建新社区卫生服务站,霞山区友谊街道办事处建新社区卫生服务站,其他/其他,未知
广东省,湛江市,霞山区,湛江市霞山区新园街道办事处龙丁社区卫生服务站,湛江市霞山区新园街道办事处龙丁社区卫生服务站,其他/其他,未知
广东省,湛江市,霞山区,湛江市霞山区东新社区卫生服务中心,湛江市霞山区东新社区卫生服务中心,其他/其他,未知
广东省,湛江市,霞山区,霞山区妇幼保健院友谊街道办事处石头村社区卫生服务站,霞山区妇幼保健院友谊街道办事处石头村社区卫生服务站,其他/其他,未知
广东省,湛江市,霞山区,湛江市霞山区新兴社区卫生服务中心,湛江市霞山区新兴社区卫生服务中心,其他/其他,未知
广东省,湛江市,霞山区,霞山区友谊街道办事处龙划社区卫生服务站,霞山区友谊街道办事处龙划社区卫生服务站,民营/其他,未评级
广东省,湛江市,霞山区,湛江市霞山区爱国社区卫生服务站,湛江市霞山区爱国社区卫生服务站,其他/其他,未知
广东省,湛江市,霞山区,霞山区港区人民医院新兴社区卫生服务中心,霞山区港区人民医院新兴社区卫生服务中心,其他/其他,未知
广东省,湛江市,霞山区,霞山区霞湖医院解放社区卫生服务站,霞山区霞湖医院解放社区卫生服务站,其他/其他,未知
广东省,湛江市,霞山区,霞山友谊社区医疗卫生服务中心,霞山友谊社区医疗卫生服务中心,其他/其他,未知
广东省,湛江市,霞山区,湛江市霞山区新园社区卫生服务站,湛江市霞山区新园社区卫生服务站,其他/其他,未知
广东省,湛江市,霞山区,霞山港区医院海滨社区卫生服务站,霞山港区医院海滨社区卫生服务站,其他/其他,未知
广东省,湛江市,霞山区,霞山区海滨社区卫生服务站,霞山区海滨社区卫生服务站,其他/其他,未知
广东省,湛江市,霞山区,湛江市霞山区爱国街道办事处创新社区卫生服务站,湛江市霞山区爱国街道办事处创新社区卫生服务站,其他/其他,未知
