省,市,区,全名,别名,性质,等级
广东省,湛江市,麻章区,湛江博爱医院,湛江不孕不育医院,其他/综合医院,未评级
广东省,湛江市,麻章区,湛江市东海岛经济开发试验区妇幼保健院,湛江市东海岛经济开发试验区妇幼保健院,公立/综合医院,一级甲等
广东省,湛江市,麻章区,湛江久和医院,湛江久和试管婴儿医院,民营/综合医院,民营医院
广东省,湛江市,麻章区,湛江市湖光人民医院,湛江市湖光人民医院,公立/综合医院,一级甲等
广东省,湛江市,麻章区,湛江市惠珍专科医院,湛江市惠珍专科医院,民营/综合医院,未知
广东省,湛江市,麻章区,湛江市东海人民医院,湛江市东海人民医院,公立/综合医院,未知
广东省,湛江市,麻章区,广东省国营湖光农场职工医院,广东省国营湖光农场职工医院,公立/综合医院,一级甲等
广东省,湛江市,麻章区,湛江市麻章区妇幼保健站,湛江市麻章区妇幼保健站,其他/其他,未知
广东省,湛江市,麻章区,湛江麻章李明文西医诊所,湛江麻章李明文西医诊所,民营/其他,未知
广东省,湛江市,麻章区,湛江麻章严星红西医诊所,湛江麻章严星红西医诊所,民营/其他,未知
广东省,湛江市,麻章区,湛江麻章王昊口腔诊所,湛江麻章王昊口腔诊所,民营/其他,未知
广东省,湛江市,麻章区,湛江麻章赵君西医诊所,湛江麻章赵君西医诊所,民营/其他,未知
广东省,湛江市,麻章区,湛江麻章魏大恩口腔诊所,湛江麻章魏大恩口腔诊所,民营/其他,未知
广东省,湛江市,麻章区,麻章湖光张宏武口腔诊所,麻章湖光张宏武口腔诊所,民营/其他,未知
广东省,湛江市,麻章区,湛江麻章戴志森口腔诊所,湛江麻章戴志森口腔诊所,民营/其他,未知
广东省,湛江市,麻章区,湛江麻章吕德旺口腔诊所,湛江麻章吕德旺口腔诊所,民营/其他,未知
广东省,湛江市,麻章区,湛江麻章苏小燕口腔诊所,湛江麻章苏小燕口腔诊所,民营/其他,未知
广东省,湛江市,麻章区,湛江麻章莫宁口腔诊所,湛江麻章莫宁口腔诊所,民营/其他,未知
广东省,湛江市,麻章区,湛江麻章梁日明口腔诊所,湛江麻章梁日明口腔诊所,民营/其他,未知
广东省,湛江市,麻章区,麻章湖光孙华贵口腔诊所,麻章湖光孙华贵口腔诊所,民营/其他,未知
广东省,湛江市,麻章区,麻章湖光张宏昌口腔诊所,麻章湖光张宏昌口腔诊所,民营/其他,未知
广东省,湛江市,麻章区,湛江麻章曾东根西医诊所,湛江麻章曾东根西医诊所,民营/其他,未知
广东省,湛江市,麻章区,湛江麻章戴兆发西医诊所,湛江麻章戴兆发西医诊所,民营/其他,未知
广东省,湛江市,麻章区,麻章潘春光西医诊所,麻章潘春光西医诊所,民营/其他,未知
广东省,湛江市,麻章区,麻章太平谢宏幸中医诊所,麻章太平谢宏幸中医诊所,民营/其他,未知
广东省,湛江市,麻章区,湛江麻章陈亚海西医诊所,湛江麻章陈亚海西医诊所,民营/其他,未知
广东省,湛江市,麻章区,湛江麻章陈平中医诊所,湛江麻章陈平中医诊所,民营/其他,未知
广东省,湛江市,麻章区,麻章太平谢庆文中医诊所,麻章太平谢庆文中医诊所,民营/其他,未知
广东省,湛江市,麻章区,麻章太平陈良西医诊所,麻章太平陈良西医诊所,民营/其他,未知
广东省,湛江市,麻章区,麻章太平谢永顺西医诊所,麻章太平谢永顺西医诊所,民营/其他,未知
广东省,湛江市,麻章区,湛江麻章施那友西医诊所,湛江麻章施那友西医诊所,民营/其他,未知
广东省,湛江市,麻章区,麻章湖光许河森中医诊所,麻章湖光许河森中医诊所,民营/其他,未知
广东省,湛江市,麻章区,湛江麻章苏建辉中医诊所,湛江麻章苏建辉中医诊所,其他/其他,未知
广东省,湛江市,麻章区,麻章湖光林养中医诊所,麻章湖光林养中医诊所,民营/其他,未知
广东省,湛江市,麻章区,湛江麻章杨宽文中医诊所,湛江麻章杨宽文中医诊所,民营/其他,未知
广东省,湛江市,麻章区,湛江麻章陈锦龙中医诊所,湛江麻章陈锦龙中医诊所,民营/其他,未知
广东省,湛江市,麻章区,湛江麻章陈理德中医诊所,湛江麻章陈理德中医诊所,民营/其他,未知
广东省,湛江市,麻章区,湛江麻章梁桂成中医诊所,湛江麻章梁桂成中医诊所,民营/其他,未知
广东省,湛江市,麻章区,麻章湖光刘昌信中医诊所,麻章湖光刘昌信中医诊所,民营/其他,未知
广东省,湛江市,麻章区,湛江麻章肖文志中医诊所,湛江麻章肖文志中医诊所,民营/其他,未知
广东省,湛江市,麻章区,湛江麻章林凑中医诊所,湛江麻章林凑中医诊所,民营/其他,未知
广东省,湛江市,麻章区,湛江麻章戴吴志口腔诊所,湛江麻章戴吴志口腔诊所,民营/其他,未知
