省,市,区,全名,别名,性质,等级
广东省,湛江市,吴川市,吴川市第二人民医院,吴川市第二人民医院,公立/综合医院,未知
广东省,湛江市,吴川市,吴川市人民医院,吴川市人民医院,公立/综合医院,二级甲等
广东省,湛江市,吴川市,吴川市梅录杨青口腔诊所,吴川市梅录杨青口腔诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市振文镇陈上青西医诊所,吴川市振文镇陈上青西医诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市振文黄海西医诊所,吴川市振文黄海西医诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市振文郭文君西医诊所,吴川市振文郭文君西医诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市振文肖李轩西医诊所,吴川市振文肖李轩西医诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市吴阳镇陈浩西医诊所,吴川市吴阳镇陈浩西医诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市吴阳洪瑞杰西医诊所,吴川市吴阳洪瑞杰西医诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市振文镇李上有西医诊所,吴川市振文镇李上有西医诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市梅录吴德平西医诊所,吴川市梅录吴德平西医诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市黄坡文康其西医诊所,吴川市黄坡文康其西医诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市梅录镇林壮锦西医诊所,吴川市梅录镇林壮锦西医诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市梅录镇黄浩西医诊所,吴川市梅录镇黄浩西医诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市梅录镇邓超南西医诊所,吴川市梅录镇邓超南西医诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市黄坡文上海西医诊所,吴川市黄坡文上海西医诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市梅录吴锦琳西医诊所,吴川市梅录吴锦琳西医诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市梅录陈泽生西医诊所,吴川市梅录陈泽生西医诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市梅录柯志毅西医诊所,吴川市梅录柯志毅西医诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市博铺杨华康中医骨伤科诊所,吴川市博铺杨华康中医骨伤科诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市梅录柯华娟西医诊所,吴川市梅录柯华娟西医诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市梅录罗汉群西医诊所,吴川市梅录罗汉群西医诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市博铺邓瑞松西医诊所,吴川市博铺邓瑞松西医诊所,其他/其他,未知
广东省,湛江市,吴川市,吴川市塘缀朱瑞今中医诊所,吴川市塘缀朱瑞今中医诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市梅录镇陈忠伟中医诊所,吴川市梅录镇陈忠伟中医诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市梅录李上华中医诊所,吴川市梅录李上华中医诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市梅录陈富昆中医诊所,吴川市梅录陈富昆中医诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市王村港钟日景中医诊所,吴川市王村港钟日景中医诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市振文潘学文中医诊所,吴川市振文潘学文中医诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市许时杰中医诊所,吴川市许时杰中医诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川梅录吴元凤西医诊所,吴川梅录吴元凤西医诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市梅录梁琼中医诊所,吴川市梅录梁琼中医诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市梅录梁振水口腔诊所,吴川市梅录梁振水口腔诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市吴阳镇洪永麟口腔诊所,吴川市吴阳镇洪永麟口腔诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市大山江容浩口腔诊所,吴川市大山江容浩口腔诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市塘缀镇黄锦新口腔诊所,吴川市塘缀镇黄锦新口腔诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市覃巴镇梁明章口腔诊所,吴川市覃巴镇梁明章口腔诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市吴阳镇容观太口腔诊所,吴川市吴阳镇容观太口腔诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市黄坡镇黄阳华口腔诊所,吴川市黄坡镇黄阳华口腔诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市黄坡镇梁伟飞口腔诊所,吴川市黄坡镇梁伟飞口腔诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市黄坡梁明栋口腔诊所,吴川市黄坡梁明栋口腔诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市樟铺宁振华口腔诊所,吴川市樟铺宁振华口腔诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市梅录梁明保口腔诊所,吴川市梅录梁明保口腔诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川梅录孙福西医诊所,吴川梅录孙福西医诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川梅录梁美娟中医诊所,吴川梅录梁美娟中医诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市长岐镇容观华口腔诊所,吴川市长岐镇容观华口腔诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市兰石梁土华口腔诊所,吴川市兰石梁土华口腔诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市梅录麦康荣西医诊所,吴川市梅录麦康荣西医诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市梅录钟琪中医诊所,吴川市梅录钟琪中医诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市黄坡镇黄焕炎中医诊所,吴川市黄坡镇黄焕炎中医诊所,其他/其他,未知
广东省,湛江市,吴川市,吴川梅录李冠斌西医诊所,吴川梅录李冠斌西医诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川梅录孙浩西医诊所,吴川梅录孙浩西医诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川梅录杨玲西医诊所,吴川梅录杨玲西医诊所,民营/其他,未知
广东省,湛江市,吴川市,吴川市板桥卫生院,吴川市板桥卫生院,其他/其他,未知
广东省,湛江市,吴川市,吴川市长岐卫生院,吴川市长岐卫生院,其他/其他,未知
广东省,湛江市,吴川市,吴川市塘缀卫生院,吴川市塘缀卫生院,其他/其他,未知
广东省,湛江市,吴川市,吴川市樟铺卫生院,吴川市樟铺卫生院,其他/其他,未知
广东省,湛江市,吴川市,吴川市王村港卫生院,吴川市王村港卫生院,其他/其他,未知
广东省,湛江市,吴川市,吴川市振文卫生院,吴川市振文卫生院,其他/其他,未知
广东省,湛江市,吴川市,吴川市吴阳卫生院,吴川市吴阳卫生院,其他/其他,未知
广东省,湛江市,吴川市,吴川市兰石卫生院,吴川市兰石卫生院,其他/其他,未知
广东省,湛江市,吴川市,吴川市中山卫生院,吴川市中山卫生院,其他/其他,未知
广东省,湛江市,吴川市,吴川市大山江卫生院,吴川市大山江卫生院,其他/其他,未知
广东省,湛江市,吴川市,吴川市覃巴卫生院,吴川市覃巴卫生院,其他/其他,未知
广东省,湛江市,吴川市,吴川市黄坡中心卫生院,吴川市黄坡中心卫生院,其他/其他,未知
广东省,湛江市,吴川市,吴川市浅水卫生院,吴川市浅水卫生院,其他/其他,未知
广东省,湛江市,吴川市,吴川市济民医院,吴川市济民医院,民营/综合医院,未知
广东省,湛江市,吴川市,吴川市妇幼保健院,吴川市妇幼保健院,公立/妇幼保健医院,一级甲等
广东省,湛江市,吴川市,吴川市中医院,吴川市中医院,公立/中医医院,未知
广东省,湛江市,吴川市,吴川市川西医院,吴川市川西医院,公立/综合医院,一级甲等
