省,市,区,全名,别名,性质,等级
广东省,湛江市,雷州市,雷州雷城何程中医诊所,雷州雷城何程中医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州英利吴堪保西医诊所,雷州英利吴堪保西医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州沈塘陈华西医诊所,雷州沈塘陈华西医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州雷城吴家秀西医诊所,雷州雷城吴家秀西医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州龙门梁泽栋西医诊所,雷州龙门梁泽栋西医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州雷城杨永建口腔诊所,雷州雷城杨永建口腔诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州雷城唐玉口腔诊所,雷州雷城唐玉口腔诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州市南兴温妃琼,雷州市南兴温妃琼,民营/其他,未知
广东省,湛江市,雷州市,雷州雷城吴伟口腔诊所,雷州雷城吴伟口腔诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州雷城周湛人口腔诊所,雷州雷城周湛人口腔诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州雷城陈华英口腔诊所,雷州雷城陈华英口腔诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州雷城周羽泉口腔诊所,雷州雷城周羽泉口腔诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州纪家卢景升口腔诊所,雷州纪家卢景升口腔诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州北和朱宏希西医诊所,雷州北和朱宏希西医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州附城吴文西医诊所,雷州附城吴文西医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州雷城唐大山口腔诊所,雷州雷城唐大山口腔诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州龙门林自豪口腔诊所,雷州龙门林自豪口腔诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州雷城王冠流口腔诊所,雷州雷城王冠流口腔诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州雷城袁影口腔诊所,雷州雷城袁影口腔诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州东里莫玉扬西医诊所,雷州东里莫玉扬西医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州企水欧明耀西医诊所,雷州企水欧明耀西医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州客路陈妃进中医诊所,雷州客路陈妃进中医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州企水黄氏中西医联合诊所,雷州企水黄氏中西医联合诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州雷城周维来口腔诊所,雷州雷城周维来口腔诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州雷城尹明东口腔诊所,雷州雷城尹明东口腔诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州雷城吴保兴中医诊所,雷州雷城吴保兴中医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州雷城蔡燎原中医诊所,雷州雷城蔡燎原中医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州企水邓小翔中医诊所,雷州企水邓小翔中医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州企水张锡明中医诊所,雷州企水张锡明中医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州市雷城杨绍章中医诊所,雷州市雷城杨绍章中医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州市雷城何程中医诊所,雷州市雷城何程中医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州雷城陈林达中医诊所,雷州雷城陈林达中医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州市雷城陈泽锋中医诊所,雷州市雷城陈泽锋中医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州雷城麦栈中医诊所,雷州雷城麦栈中医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州龙门吴维明中医诊所,雷州龙门吴维明中医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州雷城黄祥仲中医门诊,雷州雷城黄祥仲中医门诊,民营/其他,未知
广东省,湛江市,雷州市,雷州附城蔡德华中医诊所,雷州附城蔡德华中医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州雷城何绍武中医诊所,雷州雷城何绍武中医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州雷城黄日荣中医诊所,雷州雷城黄日荣中医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州雷高黄河生中医诊所,雷州雷高黄河生中医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州市雷城曾华明中医诊所,雷州市雷城曾华明中医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州市雷城陈静远中医诊所,雷州市雷城陈静远中医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州市雷城潘源文中医诊所,雷州市雷城潘源文中医诊所,其他/其他,未知
广东省,湛江市,雷州市,雷州市雷城黄华盛中医诊所,雷州市雷城黄华盛中医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州雷城陈炳彰中医诊所,雷州雷城陈炳彰中医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州东里郑教豪中医诊所,雷州东里郑教豪中医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州雷城张福中医诊所,雷州雷城张福中医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州雷城陈开雄中医诊所,雷州雷城陈开雄中医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州雷城吴秋发中医诊所,雷州雷城吴秋发中医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州雷城何坚中医诊所,雷州雷城何坚中医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州雷城吴仲砣中医诊所,雷州雷城吴仲砣中医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州雷城陈中玉中医诊所,雷州雷城陈中玉中医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州雷城蔡德强中医诊所,雷州雷城蔡德强中医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州雷城华龙山中医诊所,雷州雷城华龙山中医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州北和黄文奇中医诊所,雷州北和黄文奇中医诊所,其他/其他,未知
广东省,湛江市,雷州市,雷州南兴李桂中医诊所,雷州南兴李桂中医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州北和黄善深中医诊所,雷州北和黄善深中医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州唐家吴文山中医诊所,雷州唐家吴文山中医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州市沈塘黄元荣中医诊所,雷州市沈塘黄元荣中医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州客路李国华中医诊所,雷州客路李国华中医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州乌石杨家銮中医诊所,雷州乌石杨家銮中医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州市企水杨瑞欣中医诊所,雷州市企水杨瑞欣中医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州雷城唐齐中医诊所,雷州雷城唐齐中医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州市雷城麦春珠口腔诊所,雷州市雷城麦春珠口腔诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州南兴陈莹中医诊所,雷州南兴陈莹中医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州北和吴兆骈中医诊所,雷州北和吴兆骈中医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州北和吴安高中医诊所,雷州北和吴安高中医诊所,民营/其他,未知
广东省,湛江市,雷州市,雷州市中医医院,雷州市中医医院,公立/综合医院,二级乙等
广东省,湛江市,雷州市,湛江农垦第二医院,湛江农垦第二医院,公立/综合医院,未知
广东省,湛江市,雷州市,东方红农场医院,东方红农场医院,公立/综合医院,二级甲等
广东省,湛江市,雷州市,雷州市妇幼保健所,雷州市妇幼保健所,公立/综合医院,二级甲等
广东省,湛江市,雷州市,雷州市中医院,雷州市中医院,公立/综合医院,二级甲等
广东省,湛江市,雷州市,雷州市人民医院,雷州市人民医院,公立/综合医院,二级甲等
广东省,湛江市,雷州市,雷州市东里卫生院三吉分院,雷州市东里卫生院三吉分院,其他/其他,未知
广东省,湛江市,雷州市,雷州市附城卫生院,雷州市附城卫生院,其他/其他,未知
广东省,湛江市,雷州市,雷州市调风卫生院,雷州市调风卫生院,其他/其他,未知
广东省,湛江市,雷州市,雷州市英利中心卫生院,雷州市英利中心卫生院,其他/其他,未知
广东省,湛江市,雷州市,雷州市纪家中心卫生院,雷州市纪家中心卫生院,其他/其他,未知
