省,市,区,全名,别名,性质,等级
广东省,湛江市,徐闻县,徐闻县勇士场医院,徐闻县勇士场医院,公立/综合医院,未知
广东省,湛江市,徐闻县,徐闻县妇幼保健院,徐闻县妇幼保健院,公立/妇幼保健医院,二级甲等
广东省,湛江市,徐闻县,徐闻县徐城卫生院,徐闻县徐城卫生院,其他/其他,未知
广东省,湛江市,徐闻县,徐闻县海安卫生院,徐闻县海安卫生院,其他/其他,未知
广东省,湛江市,徐闻县,徐闻县角尾卫生院,徐闻县角尾卫生院,其他/其他,未知
广东省,湛江市,徐闻县,徐闻县前山中心卫生院,徐闻县前山中心卫生院,其他/其他,未知
广东省,湛江市,徐闻县,徐闻县第二人民医院大黄社区医疗服务中心,徐闻县第二人民医院大黄社区医疗服务中心,其他/其他,未知
广东省,湛江市,徐闻县,徐闻县西连卫生院,徐闻县西连卫生院,其他/其他,未知
广东省,湛江市,徐闻县,徐闻县下桥卫生院,徐闻县下桥卫生院,其他/其他,未知
广东省,湛江市,徐闻县,徐闻县新寮卫生院,徐闻县新寮卫生院,其他/其他,未知
广东省,湛江市,徐闻县,徐闻县下洋卫生院,徐闻县下洋卫生院,其他/其他,未知
广东省,湛江市,徐闻县,徐闻县和安卫生院,徐闻县和安卫生院,其他/其他,未知
广东省,湛江市,徐闻县,徐闻县迈陈中心卫生院,徐闻县迈陈中心卫生院,其他/其他,未知
广东省,湛江市,徐闻县,徐闻县曲界卫生院,徐闻县曲界卫生院,其他/其他,未知
广东省,湛江市,徐闻县,徐闻县锦和中心卫生院,徐闻县锦和中心卫生院,其他/其他,未知
广东省,湛江市,徐闻县,徐闻县龙塘卫生院,徐闻县龙塘卫生院,其他/其他,未知
广东省,湛江市,徐闻县,徐闻县外罗卫生院,徐闻县外罗卫生院,其他/其他,未知
广东省,湛江市,徐闻县,徐闻县中医院,徐闻县中医院,公立/中医医院,二级乙等
广东省,湛江市,徐闻县,徐闻县红星场医院,徐闻县红星场医院,公立/综合医院,未知
广东省,湛江市,徐闻县,徐闻县友好场医院,徐闻县友好场医院,公立/综合医院,未知
广东省,湛江市,徐闻县,徐闻县盐场医院,徐闻县盐场医院,公立/综合医院,未知
广东省,湛江市,徐闻县,徐闻县南华场医院,徐闻县南华场医院,公立/综合医院,未知
广东省,湛江市,徐闻县,徐城街道社区卫生服务中心,徐城街道社区卫生服务中心,其他/其他,未知
广东省,湛江市,徐闻县,徐闻下桥李桂山西医诊所,徐闻下桥李桂山西医诊所,民营/其他,未知
广东省,湛江市,徐闻县,徐闻徐城许进豪口腔诊所,徐闻徐城许进豪口腔诊所,民营/其他,未知
广东省,湛江市,徐闻县,徐闻徐城潘琴口腔诊所,徐闻徐城潘琴口腔诊所,民营/其他,未知
广东省,湛江市,徐闻县,徐闻徐城庞永亨口腔诊所,徐闻徐城庞永亨口腔诊所,其他/其他,未知
广东省,湛江市,徐闻县,徐闻新寮黄如卿口腔诊所,徐闻新寮黄如卿口腔诊所,民营/其他,未知
广东省,湛江市,徐闻县,徐闻迈陈许良贵口腔诊所,徐闻迈陈许良贵口腔诊所,民营/其他,未知
广东省,湛江市,徐闻县,徐闻徐城符应钦诊所,徐闻徐城符应钦诊所,民营/其他,未知
广东省,湛江市,徐闻县,徐闻徐城杨茂荣口腔诊所,徐闻徐城杨茂荣口腔诊所,其他/其他,未知
广东省,湛江市,徐闻县,徐闻大黄劳忠贤口腔诊所,徐闻大黄劳忠贤口腔诊所,民营/其他,未知
广东省,湛江市,徐闻县,徐闻曲界黄明口腔诊所,徐闻曲界黄明口腔诊所,民营/其他,未知
广东省,湛江市,徐闻县,徐闻迈陈柯华山西医诊所,徐闻迈陈柯华山西医诊所,民营/其他,未知
广东省,湛江市,徐闻县,徐闻曲界何培辉西医诊所,徐闻曲界何培辉西医诊所,民营/其他,未知
广东省,湛江市,徐闻县,徐闻徐城许贵福口腔诊所,徐闻徐城许贵福口腔诊所,民营/其他,未知
广东省,湛江市,徐闻县,徐闻徐城黄堪荣中医诊所,徐闻徐城黄堪荣中医诊所,民营/其他,未知
广东省,湛江市,徐闻县,徐闻徐城沈开胡中医诊所,徐闻徐城沈开胡中医诊所,民营/其他,未知
广东省,湛江市,徐闻县,徐闻徐城李光荣中医诊所,徐闻徐城李光荣中医诊所,民营/其他,未知
广东省,湛江市,徐闻县,徐闻曲界陈光常西医诊所,徐闻曲界陈光常西医诊所,民营/其他,未知
广东省,湛江市,徐闻县,徐闻徐城方贵丰中医诊所,徐闻徐城方贵丰中医诊所,民营/其他,未知
广东省,湛江市,徐闻县,徐闻前山何世强中医诊所,徐闻前山何世强中医诊所,民营/其他,未知
广东省,湛江市,徐闻县,徐闻龙塘吴元鹏中医诊所,徐闻龙塘吴元鹏中医诊所,民营/其他,未知
广东省,湛江市,徐闻县,徐闻龙塘李昌福中医诊所,徐闻龙塘李昌福中医诊所,民营/其他,未知
广东省,湛江市,徐闻县,徐闻迈陈符华儒中医诊所,徐闻迈陈符华儒中医诊所,民营/其他,未知
广东省,湛江市,徐闻县,徐闻迈陈邓性和中医诊所,徐闻迈陈邓性和中医诊所,民营/其他,未知
广东省,湛江市,徐闻县,徐闻迈陈黄国兴中医诊所,徐闻迈陈黄国兴中医诊所,民营/其他,未知
广东省,湛江市,徐闻县,徐闻海安蔡堪有中医诊所,徐闻海安蔡堪有中医诊所,民营/其他,未知
广东省,湛江市,徐闻县,徐闻海安周明本中医诊所,徐闻海安周明本中医诊所,民营/其他,未知
广东省,湛江市,徐闻县,徐闻徐城曾利超中医诊所,徐闻徐城曾利超中医诊所,民营/其他,未知
广东省,湛江市,徐闻县,徐闻县人民医院,徐闻县人民医院,公立/综合医院,二级甲等
广东省,湛江市,徐闻县,徐闻县海鸥场医院,徐闻县海鸥场医院,公立/综合医院,未知
广东省,湛江市,徐闻县,广东省国营五一农场医院,广东省国营五一农场医院,公立/综合医院,一级甲等
广东省,湛江市,徐闻县,徐闻县第二人民医院,徐闻县第二人民医院,公立/综合医院,一级甲等
