省,市,区,全名,别名,性质,等级
广东省,韶关市,武江,韶关爱民女子医院,韶关爱民医院,民营/综合医院,未知
广东省,韶关市,武江,韶关市武江区人民医院,韶关市武江区人民医院,公立/综合医院,未知
广东省,韶关市,武江,韶关市皮肤病医院,韶关市皮肤病医院,公立/综合医院,未知
广东省,韶关市,武江,韶关市中医院,韶关市中医院,公立/综合医院,二级甲等
广东省,韶关市,武江,韶关市粤北人民医院,韶关地区人民医院,公立/综合医院,三级甲等　　
广东省,韶关市,武江,韶关市粤北第二人民医院,韶关市粤北第二人民医院,公立/专科医院,二级乙等
广东省,韶关市,武江,韶关市口腔医院,韶关市口腔医院,公立/专科医院,未知
广东省,韶关市,武江,韶关市职业病防治院,韶关市职业病防治院,公立/综合医院,二级乙等
广东省,韶关市,武江,韶关市妇幼保健院,韶关市妇幼保健院,公立/综合医院,二级甲等
广东省,韶关市,武江,武江区江湾镇卫生院,武江区江湾镇卫生院,公立/其他,未知
广东省,韶关市,武江,武江区龙归镇卫生院凤田分院,武江区龙归镇卫生院凤田分院,公立/其他,未知
广东省,韶关市,武江,武江区惠民街道社区卫生服务中心,武江区惠民街道社区卫生服务中心,其他/其他,未知
广东省,韶关市,武江,武江区新华街道社区卫生服务中心,武江区新华街道社区卫生服务中心,其他/其他,未知
广东省,韶关市,武江,韶关市七Ｏ五地质大队职工医院,韶关市七Ｏ五地质大队职工医院,公立/综合医院,一级甲等
广东省,韶关市,武江,韶关圣亚泌尿外科医院,韶关圣亚医院,其他/专科医院,未知
广东省,韶关市,武江,武江监狱医院,武江监狱医院,其他/其他,未知
广东省,韶关市,武江,武江区西河镇塘湾村委卫生站,武江区西河镇塘湾村委卫生站,其他/其他,未知
广东省,韶关市,武江,武江区龙归镇盘村村卫生站,武江区龙归镇盘村村卫生站,其他/其他,未知
广东省,韶关市,武江,武江区龙归镇方田村委卫生站,武江区龙归镇方田村委卫生站,其他/其他,未知
广东省,韶关市,武江,武江区江湾镇湖洋村卫生站,武江区江湾镇湖洋村卫生站,其他/其他,未知
广东省,韶关市,武江,武江区龙归镇马渡村卫生站,武江区龙归镇马渡村卫生站,其他/其他,未知
广东省,韶关市,武江,武江区龙归镇龙安村卫生站,武江区龙归镇龙安村卫生站,其他/其他,未知
广东省,韶关市,武江,武江区西河镇糖寮村委卫生站,武江区西河镇糖寮村委卫生站,其他/其他,未知
广东省,韶关市,武江,武江区龙归镇卫生院第一诊所,武江区龙归镇卫生院第一诊所,其他/其他,未知
广东省,韶关市,武江,武江区江湾镇卫生院诊所,武江区江湾镇卫生院诊所,民营/其他,未知
广东省,韶关市,武江,武江区重阳镇卫生院第一诊所,武江区重阳镇卫生院第一诊所,其他/其他,未知
广东省,韶关市,武江,武江区龙归镇卫生院凤田分院第一诊所,武江区龙归镇卫生院凤田分院第一诊所,其他/其他,未知
广东省,韶关市,武江,核工业四一九职工医院,核工业四一九职工医院,公立/综合医院,一级甲等
广东省,韶关市,武江,粤北第二人民医院,粤北第二人民医院,公立/综合医院,一级甲等
广东省,韶关市,武江,核工业部四一九职工医院,核工业部四一九职工医院,公立/综合医院,一级甲等
