省,市,区,全名,别名,性质,等级
广东省,韶关市,乐昌,刘祖棠私人诊所,刘祖棠私人诊所,民营/其他,未知
广东省,韶关市,乐昌,林伟涛私人诊所,林伟涛私人诊所,其他/其他,未知
广东省,韶关市,乐昌,乐昌市慢性病防治站,乐昌市慢性病防治站,其他/其他,未知
广东省,韶关市,乐昌,乐昌市九峰联安卫生站下伸点,乐昌市九峰联安卫生站下伸点,其他/其他,未知
广东省,韶关市,乐昌,乐昌市庆云镇金坪村村委会卫生站下伸点,乐昌市庆云镇金坪村村委会卫生站下伸点,其他/其他,未知
广东省,韶关市,乐昌,乐昌市坪石镇转村村委会卫生站,乐昌市坪石镇转村村委会卫生站,其他/其他,未知
广东省,韶关市,乐昌,乐昌市梅花镇关春村村委会卫生站下伸点(王秋香),乐昌市梅花镇关春村村委会卫生站下伸点(王秋香),其他/其他,未知
广东省,韶关市,乐昌,乐昌市三溪镇东头园村委会卫生站下伸点,乐昌市三溪镇东头园村委会卫生站下伸点,其他/其他,未知
广东省,韶关市,乐昌,乐昌市九峰镇坪石村村委会卫生站,乐昌市九峰镇坪石村村委会卫生站,其他/其他,未知
广东省,韶关市,乐昌,北乡下西坑瑶族村委会卫生站,北乡下西坑瑶族村委会卫生站,其他/其他,未知
广东省,韶关市,乐昌,乐昌市梅花镇大富村委会卫生站下伸点(范仰勇),乐昌市梅花镇大富村委会卫生站下伸点(范仰勇),其他/其他,未知
广东省,韶关市,乐昌,乐昌市梅花镇三和村村委会卫生站下伸点(邓树金),乐昌市梅花镇三和村村委会卫生站下伸点(邓树金),其他/其他,未知
广东省,韶关市,乐昌,乐昌市梅花深塘村村委会卫生站下伸点（余培金）,乐昌市梅花深塘村村委会卫生站下伸点（余培金）,其他/其他,未知
广东省,韶关市,乐昌,乐昌市九峰镇上廊村村委会卫生站,乐昌市九峰镇上廊村村委会卫生站,其他/其他,未知
广东省,韶关市,乐昌,乐昌市九峰文洞村村委会卫生站,乐昌市九峰文洞村村委会卫生站,其他/其他,未知
广东省,韶关市,乐昌,乐昌市梅花镇关春村村委会卫生站,乐昌市梅花镇关春村村委会卫生站,其他/其他,未知
广东省,韶关市,乐昌,长来村委卫生站,长来村委卫生站,其他/其他,未知
广东省,韶关市,乐昌,乐昌市三溪镇石村村委员会卫生站下伸点,乐昌市三溪镇石村村委员会卫生站下伸点,其他/其他,未知
广东省,韶关市,乐昌,乐昌市坪石镇京口村村委会卫生站,乐昌市坪石镇京口村村委会卫生站,其他/其他,未知
广东省,韶关市,乐昌,坪石老街屋村委会卫生站（付荣生）,坪石老街屋村委会卫生站（付荣生）,其他/其他,未知
广东省,韶关市,乐昌,乐昌市廊田镇马屋村村委会卫生站,乐昌市廊田镇马屋村村委会卫生站,其他/其他,未知
广东省,韶关市,乐昌,乐昌市廊田镇白山村村委会卫生站,乐昌市廊田镇白山村村委会卫生站,其他/其他,未知
广东省,韶关市,乐昌,乐昌市黄圃镇新塘村村委会卫生站,乐昌市黄圃镇新塘村村委会卫生站,其他/其他,未知
广东省,韶关市,乐昌,乐昌市云岩镇斯茅坪村村委会卫生站,乐昌市云岩镇斯茅坪村村委会卫生站,其他/其他,未知
广东省,韶关市,乐昌,乐昌市秀水芳塘村村委会卫生站下伸点,乐昌市秀水芳塘村村委会卫生站下伸点,其他/其他,未知
广东省,韶关市,乐昌,白石新田村委会卫生站下伸点,白石新田村委会卫生站下伸点,其他/其他,未知
广东省,韶关市,乐昌,乐昌市九峰遑洞村村委会卫生站下伸点,乐昌市九峰遑洞村村委会卫生站下伸点,其他/其他,未知
广东省,韶关市,乐昌,乐昌市坪石镇武阳桥村村委会卫生站,乐昌市坪石镇武阳桥村村委会卫生站,其他/其他,未知
广东省,韶关市,乐昌,乐昌市黄圃镇桃坪卫生站,乐昌市黄圃镇桃坪卫生站,其他/其他,未知
广东省,韶关市,乐昌,乐昌市坪石镇灵石坝村村委会卫生站下伸点（李凡成）,乐昌市坪石镇灵石坝村村委会卫生站下伸点（李凡成）,其他/其他,未知
广东省,韶关市,乐昌,乐昌市梅花镇梅花村村委会卫生站下伸点(邓光华),乐昌市梅花镇梅花村村委会卫生站下伸点(邓光华),其他/其他,未知
广东省,韶关市,乐昌,乐昌市九峰溪下村村委会卫生站下伸点,乐昌市九峰溪下村村委会卫生站下伸点,其他/其他,未知
广东省,韶关市,乐昌,乐昌市九峰浆源村村委会卫生站,乐昌市九峰浆源村村委会卫生站,其他/其他,未知
