省,市,区,全名,别名,性质,等级
广东省,韶关市,南雄,黄桂扬个体诊所,黄桂扬个体诊所,民营/其他,未知
广东省,韶关市,南雄,光德镇卫生院,光德镇卫生院,其他/综合医院,未知
广东省,韶关市,南雄,湖寮镇卫生院,湖寮镇卫生院,其他/综合医院,未知
广东省,韶关市,南雄,南雄市计划生育综合医院,南雄市计划生育综合医院,公立/综合医院,未知
广东省,韶关市,南雄,南雄市慢性病防治站,南雄市慢性病防治站,其他/其他,未知
广东省,韶关市,南雄,南雄市珠玑塘东村卫生站（2）,南雄市珠玑塘东村卫生站（2）,其他/其他,未知
广东省,韶关市,南雄,南雄市珠玑镇石塘村卫生站,南雄市珠玑镇石塘村卫生站,其他/其他,未知
广东省,韶关市,南雄,南雄市珠玑镇里东村卫生站（2）,南雄市珠玑镇里东村卫生站（2）,其他/其他,未知
广东省,韶关市,南雄,南雄市水口镇沙头村卫生站,南雄市水口镇沙头村卫生站,其他/其他,未知
广东省,韶关市,南雄,南雄市水口镇河村卫生站,南雄市水口镇河村卫生站,其他/其他,未知
广东省,韶关市,南雄,南雄市水口赤岭卫生站,南雄市水口赤岭卫生站,其他/其他,未评级
广东省,韶关市,南雄,南雄市湖口镇里和村卫生站（1）,南雄市湖口镇里和村卫生站（1）,其他/其他,未知
广东省,韶关市,南雄,南雄市湖口镇岗围村卫生站,南雄市湖口镇岗围村卫生站,其他/其他,未知
广东省,韶关市,南雄,南雄市古市镇修仁村卫生站,南雄市古市镇修仁村卫生站,其他/其他,未知
广东省,韶关市,南雄,南雄市坪田镇老宅村卫生站,南雄市坪田镇老宅村卫生站,其他/其他,未知
广东省,韶关市,南雄,南雄市坪田镇官陂村卫生站,南雄市坪田镇官陂村卫生站,其他/其他,未知
广东省,韶关市,南雄,南雄市帽子峰镇上龙村卫生站,南雄市帽子峰镇上龙村卫生站,其他/其他,未知
广东省,韶关市,南雄,南雄市百顺镇百顺村卫生站（1）,南雄市百顺镇百顺村卫生站（1）,其他/其他,未知
广东省,韶关市,南雄,南雄市珠玑镇古田村卫生站,南雄市珠玑镇古田村卫生站,其他/其他,未知
广东省,韶关市,南雄,南雄市梅岭镇太源村卫生站（1）,南雄市梅岭镇太源村卫生站（1）,其他/其他,未知
广东省,韶关市,南雄,南雄市梅岭镇梅岭村卫生站（2）,南雄市梅岭镇梅岭村卫生站（2）,其他/其他,未知
广东省,韶关市,南雄,南雄市全安镇坡头村卫生站(2),南雄市全安镇坡头村卫生站(2),其他/其他,未知
广东省,韶关市,南雄,南雄市全安镇全安村卫生站（3）,南雄市全安镇全安村卫生站（3）,其他/其他,未知
广东省,韶关市,南雄,南雄市黎口镇迳口村卫生站,南雄市黎口镇迳口村卫生站,其他/其他,未知
广东省,韶关市,南雄,南雄市湖口镇湖口村卫生站（3）,南雄市湖口镇湖口村卫生站（3）,其他/其他,未知
广东省,韶关市,南雄,南雄市雄州镇郊区卫生站（2）,南雄市雄州镇郊区卫生站（2）,其他/其他,未知
广东省,韶关市,南雄,南雄市江头镇南甫村卫生站,南雄市江头镇南甫村卫生站,其他/其他,未知
广东省,韶关市,南雄,南雄市乌迳镇山下村卫生站（1）,南雄市乌迳镇山下村卫生站（1）,其他/其他,未知
广东省,韶关市,南雄,南雄市乌迳镇长龙村卫生站（2）,南雄市乌迳镇长龙村卫生站（2）,其他/其他,未知
广东省,韶关市,南雄,南雄市乌迳镇乌迳村卫生站（2）,南雄市乌迳镇乌迳村卫生站（2）,其他/其他,未知
