省,市,区,全名,别名,性质,等级
广东省,韶关市,曲江,韶关钢铁厂医院,韶关钢铁厂医院,公立/综合医院,一级甲等
广东省,韶关市,曲江,曲江县中医院,曲江县中医院,公立/综合医院,二级甲等
广东省,韶关市,曲江,大宝山矿职工医院,大宝山矿职工医院,公立/综合医院,一级甲等
广东省,韶关市,曲江,曲江妇幼保健院,曲江妇幼保健院,公立/综合医院,一级甲等
广东省,韶关市,曲江,曲仁矿务局医院,曲仁矿务局医院,公立/综合医院,二级甲等
广东省,韶关市,曲江,韶关市曲江区人民医院,韶关市曲江区人民医院,公立/综合医院,二级甲等
广东省,韶关市,曲江,曲江县人民医院,曲江县人民医院,公立/综合医院,二级甲等
广东省,韶关市,曲江,广东省韶关钢铁集团有限公司医院,广东省韶关钢铁集团有限公司医院,公立/综合医院,二级甲等
广东省,韶关市,曲江,曲江矿务局云顶矿医院,曲江矿务局云顶矿医院,公立/综合医院,未知
广东省,韶关市,曲江,曲江县慢性病防治院,曲江县慢性病防治院,公立/综合医院,未知
广东省,韶关市,曲江,韶关市一棉纺织厂职工医院,韶关市一棉纺织厂职工医院,公立/综合医院,一级甲等
广东省,韶关市,曲江,曲仁矿务局花坪矿医院,曲仁矿务局花坪矿医院,公立/综合医院,一级甲等
广东省,韶关市,曲江,广东省大宝山矿业有限公司职工医院,广东省大宝山矿业有限公司职工医院,公立/综合医院,二级甲等
广东省,韶关市,曲江,中国有色第十六冶金职工医院,中国有色第十六冶金职工医院,公立/综合医院,一级甲等
广东省,韶关市,曲江,韶关市曲江区中医院,韶关市曲江区中医院,公立/中医医院,一级甲等
广东省,韶关市,曲江,翁源县人民医院第二门诊部,翁源县人民医院第二门诊部,其他/门诊,未知
广东省,韶关市,曲江,韶关市曲江区计划生育服务站诊所,韶关市曲江区计划生育服务站诊所,其他/其他,未知
广东省,韶关市,曲江,曲江区疾病预防控制中心,曲江区疾病预防控制中心,其他/其他,未知
广东省,韶关市,曲江,曲江区枫湾镇石峰村卫生站,曲江区枫湾镇石峰村卫生站,其他/其他,未知
广东省,韶关市,曲江,曲江区马坝镇松山下村卫生站,曲江区马坝镇松山下村卫生站,其他/其他,未知
广东省,韶关市,曲江,曲江区樟市镇中心卫生院五星村卫生站,曲江区樟市镇中心卫生院五星村卫生站,其他/其他,未知
广东省,韶关市,曲江,曲江区樟市镇流坑村肖屋卫生站,曲江区樟市镇流坑村肖屋卫生站,其他/其他,未知
广东省,韶关市,曲江,曲江区樟市镇中心卫生院北约村卫生站,曲江区樟市镇中心卫生院北约村卫生站,其他/其他,未知
广东省,韶关市,曲江,曲江区沙溪镇卫生院东华村卫生站,曲江区沙溪镇卫生院东华村卫生站,其他/其他,未知
广东省,韶关市,曲江,曲江区罗坑镇卫生院新塘村卫生站,曲江区罗坑镇卫生院新塘村卫生站,其他/其他,未知
广东省,韶关市,曲江,曲江区马坝镇石堡村塘肚卫生站,曲江区马坝镇石堡村塘肚卫生站,其他/其他,未知
广东省,韶关市,曲江,曲江区樟市镇西约村卫生站,曲江区樟市镇西约村卫生站,其他/其他,未知
广东省,韶关市,曲江,曲江区樟市镇南约村卫生站,曲江区樟市镇南约村卫生站,其他/其他,未知
广东省,韶关市,曲江,曲江区樟市镇中心卫生院卢溪村卫生站,曲江区樟市镇中心卫生院卢溪村卫生站,其他/其他,未知
广东省,韶关市,曲江,曲江区枫湾镇卫生院浪石村卫生站,曲江区枫湾镇卫生院浪石村卫生站,其他/其他,未知
广东省,韶关市,曲江,曲江区枫湾镇步村村卫生站,曲江区枫湾镇步村村卫生站,其他/其他,未知
广东省,韶关市,曲江,曲江区白土镇中乡村卫生站,曲江区白土镇中乡村卫生站,其他/其他,未知
广东省,韶关市,曲江,曲江区乌石镇坑口村卫生站,曲江区乌石镇坑口村卫生站,其他/其他,未知
广东省,韶关市,曲江,曲江区小坑镇下坪村卫生站,曲江区小坑镇下坪村卫生站,其他/其他,未知
广东省,韶关市,曲江,曲江区小坑镇卫生院汤湖村卫生站,曲江区小坑镇卫生院汤湖村卫生站,其他/其他,未知
广东省,韶关市,曲江,曲江区马坝镇山子背村大坑塘卫生站,曲江区马坝镇山子背村大坑塘卫生站,其他/其他,未知
广东省,韶关市,曲江,曲江区马坝镇卫生院小坑村卫生站,曲江区马坝镇卫生院小坑村卫生站,其他/其他,未知
广东省,韶关市,曲江,曲江区枫湾镇大笋村卫生站,曲江区枫湾镇大笋村卫生站,其他/其他,未知
广东省,韶关市,曲江,曲江区马坝镇卫生院石堡村炉头径卫生站,曲江区马坝镇卫生院石堡村炉头径卫生站,其他/其他,未知
广东省,韶关市,曲江,曲江区马坝镇南华村卫生站,曲江区马坝镇南华村卫生站,其他/其他,未知
广东省,韶关市,曲江,曲江区大塘镇汤溪村杨屋卫生站,曲江区大塘镇汤溪村杨屋卫生站,其他/其他,未知
广东省,韶关市,曲江,曲江区大塘镇竹园村卫生站,曲江区大塘镇竹园村卫生站,其他/其他,未知
广东省,韶关市,曲江,曲江区大塘镇历山村卫生站,曲江区大塘镇历山村卫生站,其他/其他,未知
广东省,韶关市,曲江,曲江区樟市镇群星村卫生站,曲江区樟市镇群星村卫生站,其他/其他,未知
广东省,韶关市,曲江,曲江区樟市镇光辉村卫生站,曲江区樟市镇光辉村卫生站,其他/其他,未知
广东省,韶关市,曲江,曲江区乌石镇濛浬村卫生站,曲江区乌石镇濛浬村卫生站,其他/其他,未知
广东省,韶关市,曲江,曲江区白土镇由坪村卫生站,曲江区白土镇由坪村卫生站,其他/其他,未知
广东省,韶关市,曲江,曲江区大塘镇西林村卫生站,曲江区大塘镇西林村卫生站,其他/其他,未知
广东省,韶关市,曲江,曲江区樟市镇樟市村卫生站,曲江区樟市镇樟市村卫生站,其他/其他,未知
广东省,韶关市,曲江,曲江区罗坑镇卫生院瑶族村卫生站,曲江区罗坑镇卫生院瑶族村卫生站,其他/其他,未知
广东省,韶关市,曲江,曲江区白土镇卫生院横村村卫生站,曲江区白土镇卫生院横村村卫生站,其他/其他,未知
广东省,韶关市,曲江,曲江区小坑镇卫生院黄洞村卫生站,曲江区小坑镇卫生院黄洞村卫生站,其他/其他,未知
广东省,韶关市,曲江,曲江区马坝镇演山村卫生站,曲江区马坝镇演山村卫生站,其他/其他,未知
广东省,韶关市,曲江,曲江区大塘镇侧田村卫生站,曲江区大塘镇侧田村卫生站,其他/其他,未知
