省,市,区,全名,别名,性质,等级
广东省,韶关市,始兴,始兴县城郊医院,始兴县城郊医院,公立/综合医院,未知
广东省,韶关市,始兴,始兴县妇幼保健所,始兴县妇幼保健所,公立/综合医院,未知
广东省,韶关市,始兴,始兴县中医院,始兴县中医院,公立/综合医院,未知
广东省,韶关市,始兴,始兴县人民医院,始兴县人民医院,公立/综合医院,二级甲等
广东省,韶关市,始兴,始兴县顿岗镇卫生院,始兴县顿岗镇卫生院,其他/其他,未知
广东省,韶关市,始兴,石人嶂驻始兴医院,石人嶂驻始兴医院,公立/综合医院,未知
广东省,韶关市,始兴,始兴县疾病控制中心,始兴县疾病控制中心,公立/其他,未知
广东省,韶关市,始兴,始兴县慢性病防治站,始兴县慢性病防治站,其他/其他,未知
广东省,韶关市,始兴,始兴县妇幼保健院,始兴县妇幼保健院,公立/专科医院,未知
广东省,韶关市,始兴,马市镇联俄卫生站,马市镇联俄卫生站,其他/其他,未知
广东省,韶关市,始兴,马市镇陆源卫生站,马市镇陆源卫生站,其他/其他,未知
广东省,韶关市,始兴,城南镇东南卫生站,城南镇东南卫生站,其他/其他,未知
广东省,韶关市,始兴,沈所镇石内卫生站,沈所镇石内卫生站,其他/其他,未知
广东省,韶关市,始兴,马市镇陂田卫生站,马市镇陂田卫生站,其他/其他,未知
广东省,韶关市,始兴,始兴县城郊社区卫生站,始兴县城郊社区卫生站,其他/其他,未知
广东省,韶关市,始兴,邱文杰私人诊所,邱文杰私人诊所,其他/其他,未知
广东省,韶关市,始兴,始兴县沈所镇卫生院花山分院,始兴县沈所镇卫生院花山分院,其他/其他,未知
广东省,韶关市,始兴,始兴县罗坝镇卫生院,始兴县罗坝镇卫生院,其他/其他,未知
广东省,韶关市,始兴,始兴县太平镇卫生院江口分院,始兴县太平镇卫生院江口分院,其他/其他,未知
广东省,韶关市,始兴,始兴县澄江镇卫生院,始兴县澄江镇卫生院,其他/其他,未知
广东省,韶关市,始兴,始兴县太平镇卫生院,始兴县太平镇卫生院,其他/其他,未知
广东省,韶关市,始兴,始兴县城南镇卫生院,始兴县城南镇卫生院,其他/其他,未知
广东省,韶关市,始兴,始兴县罗坝镇卫生院都亨分院,始兴县罗坝镇卫生院都亨分院,其他/其他,未知
广东省,韶关市,始兴,始兴县马市镇卫生院,始兴县马市镇卫生院,其他/其他,未知
广东省,韶关市,始兴,始兴县城东医院,始兴县城东医院,民营/综合医院,未知
广东省,韶关市,始兴,和昌医院,和昌医院,其他/综合医院,未知
