省,市,区,全名,别名,性质,等级
广东省,韶关市,仁化,仁化县丹霞街社区卫生服务中心,仁化县丹霞街社区卫生服务中心,其他/其他,未知
广东省,韶关市,仁化,广东省凡口铅锌矿职工医院,广东省凡口铅锌矿职工医院,公立/综合医院,未知
广东省,韶关市,仁化,仁化县中医院,仁化县中医院,公立/综合医院,未知
广东省,韶关市,仁化,仁化县人民医院,仁化县人民医院,公立/综合医院,二级甲等
广东省,韶关市,仁化,仁化县计划生育技术服务站,仁化县计划生育技术服务站,公立/其他,未知
广东省,韶关市,仁化,仁化县疾病预防控制中心,仁化县疾病预防控制中心,公立/其他,未知
广东省,韶关市,仁化,仁化县妇幼保健院,仁化县妇幼保健院,公立/专科医院,未知
广东省,韶关市,仁化,仁化县周田镇雷坑村卫生站,仁化县周田镇雷坑村卫生站,其他/其他,未知
广东省,韶关市,仁化,仁化县大桥镇古洋村卫生站,仁化县大桥镇古洋村卫生站,其他/其他,未知
广东省,韶关市,仁化,仁化县黄坑镇日庄村卫生站,仁化县黄坑镇日庄村卫生站,其他/其他,未知
广东省,韶关市,仁化,仁化县黄坑镇古竹村卫生站,仁化县黄坑镇古竹村卫生站,其他/其他,未知
广东省,韶关市,仁化,仁化县周田镇龙坑村卫生站,仁化县周田镇龙坑村卫生站,其他/其他,未知
广东省,韶关市,仁化,仁化县石塘镇下中坌村卫生站,仁化县石塘镇下中坌村卫生站,其他/其他,未知
广东省,韶关市,仁化,仁化县黄坑镇小溪村卫生站,仁化县黄坑镇小溪村卫生站,其他/其他,未知
广东省,韶关市,仁化,仁化县黄坑镇黄坑村卫生站,仁化县黄坑镇黄坑村卫生站,其他/其他,未知
广东省,韶关市,仁化,仁化县大桥镇大桥村卫生站,仁化县大桥镇大桥村卫生站,其他/其他,未知
广东省,韶关市,仁化,仁化县周田镇平铺村卫生站,仁化县周田镇平铺村卫生站,其他/其他,未知
广东省,韶关市,仁化,仁化县黄坑镇蓝田村卫生站,仁化县黄坑镇蓝田村卫生站,民营/其他,未知
广东省,韶关市,仁化,仁化县周田镇上道村卫生站,仁化县周田镇上道村卫生站,其他/其他,未知
广东省,韶关市,仁化,仁化县石塘镇京群村卫生站,仁化县石塘镇京群村卫生站,其他/其他,未知
广东省,韶关市,仁化,仁化县黄坑镇下营村卫生站,仁化县黄坑镇下营村卫生站,民营/其他,未知
广东省,韶关市,仁化,仁化县周田镇谭屋村卫生站,仁化县周田镇谭屋村卫生站,民营/其他,未知
广东省,韶关市,仁化,仁化县丹霞街道办城南村委会群乐卫生站,仁化县丹霞街道办城南村委会群乐卫生站,其他/其他,未知
广东省,韶关市,仁化,仁化县周田镇麻洋村卫生站,仁化县周田镇麻洋村卫生站,民营/其他,未知
广东省,韶关市,仁化,仁化县石塘镇上中坌村卫生站,仁化县石塘镇上中坌村卫生站,其他/其他,未知
广东省,韶关市,仁化,仁化县石塘镇光明村卫生站,仁化县石塘镇光明村卫生站,其他/其他,未知
广东省,韶关市,仁化,仁化县周田镇灵溪大围村卫生站,仁化县周田镇灵溪大围村卫生站,其他/其他,未知
广东省,韶关市,仁化,丹霞街道狮井村卫生站,丹霞街道狮井村卫生站,其他/其他,未知
广东省,韶关市,仁化,仁化县实验学校医务室,仁化县实验学校医务室,其他/其他,未知
广东省,韶关市,仁化,仁化县仁化中学医务室,仁化县仁化中学医务室,其他/其他,未知
广东省,韶关市,仁化,仁化县第二中学医务室,仁化县第二中学医务室,其他/其他,未知
广东省,韶关市,仁化,仁化县公安局医务室,仁化县公安局医务室,其他/其他,未知
广东省,韶关市,仁化,仁化县慢病站口腔诊所,仁化县慢病站口腔诊所,民营/其他,未知
广东省,韶关市,仁化,仁化县长江镇卫生院第二诊所,仁化县长江镇卫生院第二诊所,其他/其他,未知
广东省,韶关市,仁化,仁化县红山镇卫生院第一诊所,仁化县红山镇卫生院第一诊所,其他/其他,未知
广东省,韶关市,仁化,仁化县董塘塘中心卫生院第一诊所,仁化县董塘塘中心卫生院第一诊所,其他/其他,未知
广东省,韶关市,仁化,仁化县长江镇卫生院第一诊所,仁化县长江镇卫生院第一诊所,其他/其他,未知
广东省,韶关市,仁化,仁化县石塘镇卫生院第二诊所,仁化县石塘镇卫生院第二诊所,其他/其他,未知
广东省,韶关市,仁化,中色十六冶五公司凡口诊所,中色十六冶五公司凡口诊所,民营/其他,未知
广东省,韶关市,仁化,仁化县周田镇卫生院灵溪诊所,仁化县周田镇卫生院灵溪诊所,民营/其他,未知
广东省,韶关市,仁化,罗烈成私人诊所,罗烈成私人诊所,民营/其他,未知
广东省,韶关市,仁化,仁化县城口镇卫生院市场诊所,仁化县城口镇卫生院市场诊所,其他/其他,未知
广东省,韶关市,仁化,中色十六冶医院凡口第二诊所,中色十六冶医院凡口第二诊所,其他/其他,未知
广东省,韶关市,仁化,仁化县长江镇卫生院,仁化县长江镇卫生院,其他/其他,未知
广东省,韶关市,仁化,仁化县周田镇卫生院,仁化县周田镇卫生院,其他/其他,未知
广东省,韶关市,仁化,仁化县石塘镇卫生院,仁化县石塘镇卫生院,其他/其他,未知
广东省,韶关市,仁化,仁化县黄坑镇卫生院,仁化县黄坑镇卫生院,其他/其他,未知
广东省,韶关市,仁化,仁化县红山镇卫生院,仁化县红山镇卫生院,其他/其他,未知
广东省,韶关市,仁化,仁化县大桥镇卫生院,仁化县大桥镇卫生院,其他/其他,未知
广东省,韶关市,仁化,仁化县城口镇卫生院,仁化县城口镇卫生院,其他/其他,未知
广东省,韶关市,仁化,仁化县扶溪镇卫生院,仁化县扶溪镇卫生院,其他/其他,未知
广东省,韶关市,仁化,仁化县闻韶镇卫生院,仁化县闻韶镇卫生院,其他/其他,未知
广东省,韶关市,仁化,仁化县丹霞街道社区水南卫生服务站,仁化县丹霞街道社区水南卫生服务站,其他/其他,未知
广东省,韶关市,仁化,仁化县丹霞街道新城服务站,仁化县丹霞街道新城服务站,其他/其他,未知
广东省,韶关市,仁化,仁化县丹霞街道社区卫生服务中心,仁化县丹霞街道社区卫生服务中心,其他/其他,未知
广东省,韶关市,仁化,仁化县何氏骨伤科医院,仁化县何氏骨伤科医院,民营/专科医院,未知
广东省,韶关市,仁化,深圳市中金岭南有色金属股份有限公司凡口铅锌矿职工医,深圳市中金岭南有色金属股份有限公司凡口铅锌矿职工医,民营/综合医院,未知
广东省,韶关市,仁化,曲仁矿务局格顶矿医院,曲仁矿务局格顶矿医院,公立/综合医院,一级甲等
