省,市,区,全名,别名,性质,等级
广东省,韶关市,翁源,翁源县妇幼保健院,翁源县妇幼保健院,公立/综合医院,未知
广东省,韶关市,翁源,翁源县中医院,翁源县中医院,公立/综合医院,未知
广东省,韶关市,翁源,翁源县人民医院,翁源县人民医院,公立/综合医院,二级甲等
广东省,韶关市,翁源,翁源县新江中心卫生院,翁源县新江中心卫生院,其他/其他,未知
广东省,韶关市,翁源,翁源县东华医院,翁源县东华医院,其他/综合医院,未知
广东省,韶关市,翁源,乳源县大桥镇均容村委淌下卫生站,乳源县大桥镇均容村委淌下卫生站,民营/其他,未知
广东省,韶关市,翁源,翁源县卫生监督所,翁源县卫生监督所,其他/其他,未知
广东省,韶关市,翁源,翁源县江尾镇江尾卫生站,翁源县江尾镇江尾卫生站,其他/其他,未知
广东省,韶关市,翁源,翁源县江尾镇葸岭第二卫生站,翁源县江尾镇葸岭第二卫生站,其他/其他,未知
广东省,韶关市,翁源,翁源县江尾镇中村第二卫生站,翁源县江尾镇中村第二卫生站,其他/其他,未知
广东省,韶关市,翁源,翁源县江尾镇连溪卫生站,翁源县江尾镇连溪卫生站,其他/其他,未知
广东省,韶关市,翁源,翁源县江尾镇江尾村第二卫生站,翁源县江尾镇江尾村第二卫生站,其他/其他,未知
广东省,韶关市,翁源,翁源县江尾镇鹤仔卫生站,翁源县江尾镇鹤仔卫生站,其他/其他,未知
广东省,韶关市,翁源,翁源县官渡镇新北村卫生站,翁源县官渡镇新北村卫生站,其他/其他,未知
广东省,韶关市,翁源,翁源县官渡镇坪田村卫生站,翁源县官渡镇坪田村卫生站,其他/其他,未知
广东省,韶关市,翁源,翁源县江尾镇仙南村委会卫生站,翁源县江尾镇仙南村委会卫生站,其他/其他,未知
广东省,韶关市,翁源,翁源县江尾镇九仙卫生站,翁源县江尾镇九仙卫生站,其他/其他,未知
广东省,韶关市,翁源,翁源县官渡镇下榕角村卫生站,翁源县官渡镇下榕角村卫生站,其他/其他,未知
广东省,韶关市,翁源,翁源县江尾镇径群卫生站,翁源县江尾镇径群卫生站,其他/其他,未知
广东省,韶关市,翁源,翁源县江尾镇中村村委会卫生站,翁源县江尾镇中村村委会卫生站,其他/其他,未知
广东省,韶关市,翁源,坝仔梅村第二卫生站,坝仔梅村第二卫生站,其他/其他,未知
广东省,韶关市,翁源,岩庄半溪村第一卫生站,岩庄半溪村第一卫生站,其他/其他,未知
广东省,韶关市,翁源,岩庄一心村第一卫生站,岩庄一心村第一卫生站,其他/其他,未知
广东省,韶关市,翁源,岩庄鲁溪村卫生站,岩庄鲁溪村卫生站,其他/其他,未知
广东省,韶关市,翁源,翁源县龙仙第一小学卫生所,翁源县龙仙第一小学卫生所,其他/其他,未知
广东省,韶关市,翁源,翁源县教师进修学校卫生室,翁源县教师进修学校卫生室,其他/其他,未知
广东省,韶关市,翁源,翁源县机关幼儿园卫生室,翁源县机关幼儿园卫生室,其他/其他,未知
广东省,韶关市,翁源,翁源县龙仙中学卫生室,翁源县龙仙中学卫生室,其他/其他,未知
广东省,韶关市,翁源,翁源县龙仙第二小学卫生所,翁源县龙仙第二小学卫生所,其他/其他,未知
广东省,韶关市,翁源,翁源县翁源中学卫生室,翁源县翁源中学卫生室,其他/其他,未知
广东省,韶关市,翁源,叶向荣私人诊所,叶向荣私人诊所,民营/其他,未知
广东省,韶关市,翁源,杨昌和私人诊所,杨昌和私人诊所,民营/其他,未知
广东省,韶关市,翁源,甘青妃私人诊所,甘青妃私人诊所,民营/其他,未知
广东省,韶关市,翁源,周荫辉私人诊所,周荫辉私人诊所,民营/其他,未知
广东省,韶关市,翁源,廖九飞私人诊所,廖九飞私人诊所,民营/其他,未知
广东省,韶关市,翁源,刘光华私人诊所,刘光华私人诊所,民营/其他,未知
广东省,韶关市,翁源,林浩存私人诊所,林浩存私人诊所,民营/其他,未知
广东省,韶关市,翁源,吴先志私人诊所,吴先志私人诊所,民营/其他,未知
广东省,韶关市,翁源,胡成伟私人诊所,胡成伟私人诊所,民营/其他,未知
广东省,韶关市,翁源,李佰胜私人诊所,李佰胜私人诊所,民营/其他,未知
广东省,韶关市,翁源,翁源县中医院笫二门诊部,翁源县中医院笫二门诊部,其他/门诊,未知
广东省,韶关市,翁源,翁源县红岭卫生院,翁源县红岭卫生院,其他/其他,未知
广东省,韶关市,翁源,翁源县江尾镇卫生院,翁源县江尾镇卫生院,其他/其他,未知
广东省,韶关市,翁源,翁源县铁龙镇卫生院,翁源县铁龙镇卫生院,其他/其他,未知
广东省,韶关市,翁源,翁源县南浦镇卫生院,翁源县南浦镇卫生院,其他/其他,未知
广东省,韶关市,翁源,翁源县龙仙镇卫生院,翁源县龙仙镇卫生院,其他/其他,未知
广东省,韶关市,翁源,翁源县坝仔镇中心卫生院,翁源县坝仔镇中心卫生院,公立/其他,未知
广东省,韶关市,翁源,翁源县人民医院官渡分院,翁源县人民医院官渡分院,公立/综合医院,未知
