省,市,区,全名,别名,性质,等级
广东省,韶关市,新丰,新丰县计划生育服务站,新丰县计划生育服务站,公立/其他,未知
广东省,韶关市,新丰,新丰县疾病预防控制中心,新丰县疾病预防控制中心,公立/其他,未知
广东省,韶关市,新丰,新丰县慢性病防治站,新丰县慢性病防治站,其他/其他,未知
广东省,韶关市,新丰,新丰县马头镇路下村第一卫生站,新丰县马头镇路下村第一卫生站,其他/其他,未知
广东省,韶关市,新丰,新丰县遥田镇维新村第二卫生站,新丰县遥田镇维新村第二卫生站,其他/其他,未知
广东省,韶关市,新丰,新丰县马头镇潭石村第一卫生站,新丰县马头镇潭石村第一卫生站,其他/其他,未知
广东省,韶关市,新丰,新丰县黄礤镇雪洞村卫生站,新丰县黄礤镇雪洞村卫生站,其他/其他,未知
广东省,韶关市,新丰,新丰县梅坑镇梅坑村卫生站,新丰县梅坑镇梅坑村卫生站,其他/其他,未知
广东省,韶关市,新丰,新丰县黄礤镇三坑村卫生站,新丰县黄礤镇三坑村卫生站,其他/其他,未知
广东省,韶关市,新丰,新丰县黄礤镇高群村卫生站,新丰县黄礤镇高群村卫生站,其他/其他,未知
广东省,韶关市,新丰,新丰县黄磜镇西草村第二卫生站,新丰县黄磜镇西草村第二卫生站,其他/其他,未知
广东省,韶关市,新丰,新丰县丰城街道办事处紫城村第一卫生站,新丰县丰城街道办事处紫城村第一卫生站,其他/其他,未知
广东省,韶关市,新丰,新丰县丰城街道办事处龙文村卫生站,新丰县丰城街道办事处龙文村卫生站,其他/其他,未知
广东省,韶关市,新丰,新丰县回龙镇合子村卫生站,新丰县回龙镇合子村卫生站,其他/其他,未知
广东省,韶关市,新丰,新丰县马头镇水背村卫生站,新丰县马头镇水背村卫生站,其他/其他,未知
广东省,韶关市,新丰,新丰县遥田镇大马村第一卫生站,新丰县遥田镇大马村第一卫生站,其他/其他,未知
广东省,韶关市,新丰,新丰县马头镇张田坑村卫生站,新丰县马头镇张田坑村卫生站,其他/其他,未知
广东省,韶关市,新丰,新丰县梅坑镇张田村第一卫生站,新丰县梅坑镇张田村第一卫生站,其他/其他,未知
广东省,韶关市,新丰,新丰县黄礤镇西草村卫生站,新丰县黄礤镇西草村卫生站,其他/其他,未知
广东省,韶关市,新丰,新丰县黄礤镇雪峒村卫生站,新丰县黄礤镇雪峒村卫生站,其他/其他,未知
广东省,韶关市,新丰,新丰县丰城街道办事处龙围村卫生站,新丰县丰城街道办事处龙围村卫生站,其他/其他,未知
广东省,韶关市,新丰,新丰县丰城街道办事处大洞村第二卫生站,新丰县丰城街道办事处大洞村第二卫生站,其他/其他,未知
广东省,韶关市,新丰,新丰县丰城街道办事处城西村第一卫生站,新丰县丰城街道办事处城西村第一卫生站,其他/其他,未知
广东省,韶关市,新丰,新丰县回龙镇松山村卫生站,新丰县回龙镇松山村卫生站,其他/其他,未知
广东省,韶关市,新丰,新丰县马头镇塘尾村卫生站,新丰县马头镇塘尾村卫生站,其他/其他,未知
广东省,韶关市,新丰,新丰县马头镇湾田村第一卫生站,新丰县马头镇湾田村第一卫生站,其他/其他,未知
广东省,韶关市,新丰,新丰县马头镇石角村卫生站,新丰县马头镇石角村卫生站,其他/其他,未知
广东省,韶关市,新丰,新丰县马头镇罗陂村第一卫生站,新丰县马头镇罗陂村第一卫生站,其他/其他,未知
广东省,韶关市,新丰,新丰县马头镇秀田村卫生站,新丰县马头镇秀田村卫生站,其他/其他,未知
广东省,韶关市,新丰,新丰县马头镇秀田村卫生站,新丰县马头镇秀田村卫生站,其他/其他,未知
广东省,韶关市,新丰,新丰县马头镇军三村第一卫生站,新丰县马头镇军三村第一卫生站,其他/其他,未知
广东省,韶关市,新丰,新丰县回龙镇来石村第二卫生站,新丰县回龙镇来石村第二卫生站,其他/其他,未知
广东省,韶关市,新丰,新丰县梅坑镇利坑村卫生站,新丰县梅坑镇利坑村卫生站,其他/其他,未知
广东省,韶关市,新丰,新丰县梅坑镇新坪村卫生站,新丰县梅坑镇新坪村卫生站,其他/其他,未知
广东省,韶关市,新丰,新丰县黄礤镇秋峒村卫生站,新丰县黄礤镇秋峒村卫生站,其他/其他,未知
广东省,韶关市,新丰,新丰县黄磜镇梅溪村卫生站,新丰县黄磜镇梅溪村卫生站,其他/其他,未知
