省,市,区,全名,别名,性质,等级
广东省,梅州市,兴宁,兴宁市皮肤医院,兴宁市皮肤医院,公立/综合医院,未知
广东省,梅州市,兴宁,兴宁市中医院骨科中心,兴宁市中医院骨科中心,公立/专科医院,未知
广东省,梅州市,兴宁,兴宁市中医院,兴宁市中医院,公立/综合医院,未知
广东省,梅州市,兴宁,兴宁市皮肤病防治院,兴宁市皮肤病防治院,公立/专科医院,未知
广东省,梅州市,兴宁,兴宁市水口卫生院,兴宁市水口中心卫生院,公立/综合医院,未知
广东省,梅州市,兴宁,兴宁市罗岗中心卫生院,兴宁市罗岗卫生院,公立/综合医院,未知
广东省,梅州市,兴宁,兴宁市叶南卫生院,兴宁市叶南卫生院,公立/综合医院,未知
广东省,梅州市,兴宁,兴宁市黄槐卫生院,兴宁市黄槐卫生院,公立/综合医院,未知
广东省,梅州市,兴宁,兴宁市合水卫生院,兴宁市合水卫生院,公立/综合医院,未知
广东省,梅州市,兴宁,兴宁市刁坊卫生院,兴宁市刁坊卫生院,公立/综合医院,未知
广东省,梅州市,兴宁,兴宁市径南卫生院,兴宁市径南卫生院,公立/综合医院,未知
广东省,梅州市,兴宁,兴宁市径心卫生院,兴宁市径心卫生院,公立/综合医院,未知
广东省,梅州市,兴宁,兴宁市石马卫生院,兴宁市石马卫生院,公立/综合医院,未知
广东省,梅州市,兴宁,兴宁市罗浮卫生院,兴宁市罗浮卫生院,公立/综合医院,未知
广东省,梅州市,兴宁,兴宁市下堡卫生院,兴宁市下堡卫生院,公立/综合医院,未知
广东省,梅州市,兴宁,兴宁市宋声卫生院,兴宁市宋声卫生院,公立/综合医院,未知
广东省,梅州市,兴宁,兴宁市新圩卫生院,兴宁市新圩卫生院,公立/综合医院,未知
广东省,梅州市,兴宁,兴宁市坜陂卫生院,兴宁市坜陂卫生院,公立/综合医院,未知
广东省,梅州市,兴宁,兴宁市永和卫生院,兴宁市永和卫生院,公立/综合医院,未知
广东省,梅州市,兴宁,兴宁市龙北卫生院,兴宁市龙北卫生院,公立/综合医院,未知
广东省,梅州市,兴宁,兴宁市岗背卫生院,兴宁市岗背卫生院,公立/综合医院,未知
广东省,梅州市,兴宁,兴宁市黄陂卫生院,兴宁市黄陂卫生院,公立/综合医院,未知
广东省,梅州市,兴宁,兴宁市坪洋卫生院,兴宁市坪洋卫生院,公立/综合医院,未知
广东省,梅州市,兴宁,兴宁市叶塘卫生院,兴宁市叶塘卫生院,公立/综合医院,一级乙等
广东省,梅州市,兴宁,兴宁市福兴卫生院,兴宁市福兴卫生院,公立/综合医院,一级乙等
广东省,梅州市,兴宁,兴宁市大坪卫生院,兴宁市大坪卫生院,公立/综合医院,一级甲等
广东省,梅州市,兴宁,兴宁市宁塘卫生院,兴宁市宁塘卫生院,公立/综合医院,一级甲等
广东省,梅州市,兴宁,兴宁市第三人民医院,兴宁市第三人民医院,公立/综合医院,一级甲等
广东省,梅州市,兴宁,兴宁市慢性病防治院,兴宁市慢性病防治院,民营/专科医院,二级乙等
广东省,梅州市,兴宁,兴宁市第二人民医院,兴宁市第二人民医院,公立/综合医院,二级乙等
广东省,梅州市,兴宁,兴宁市妇幼保健院,兴宁市妇幼保健院,公立/综合医院,二级甲等
广东省,梅州市,兴宁,兴宁市人民医院,兴宁市人民医院,公立/综合医院,二级甲等
广东省,梅州市,兴宁,兴宁市中医医院,兴宁市中医医院,公立/综合医院,二级甲等
广东省,梅州市,兴宁,兴宁军雄医疗中心,兴宁军雄医疗中心,公立/未知,未知
广东省,梅州市,兴宁,兴宁市龙田镇中心卫生院,兴宁市龙田镇中心卫生院,公立/综合医院,一级甲等
