省,市,区,全名,别名,性质,等级
广东省,梅州市,大埔,大埔县中医医院,大埔县中医医院,公立/中医医院,未知
广东省,梅州市,大埔,大埔县大麻中心卫生院,大埔县大麻中心卫生院,公立/综合医院,未知
广东省,梅州市,大埔,大埔县青溪卫生院,大埔县青溪卫生院,公立/综合医院,未知
广东省,梅州市,大埔,大埔县西河卫生院,大埔县西河卫生院,公立/综合医院,未知
广东省,梅州市,大埔,大埔县大东卫生院,大埔县大东卫生院,公立/综合医院,未知
广东省,梅州市,大埔,大埔县枫朗卫生院,大埔县枫朗卫生院,公立/综合医院,未知
广东省,梅州市,大埔,大埔县桃源卫生院,大埔县桃源卫生院,公立/综合医院,未知
广东省,梅州市,大埔,大埔县光德卫生院,大埔县光德卫生院,公立/综合医院,未知
广东省,梅州市,大埔,大埔县洲瑞卫生院,大埔县洲瑞卫生院,公立/综合医院,未知
广东省,梅州市,大埔,大埔县银江卫生院,大埔县银江卫生院,公立/综合医院,未知
广东省,梅州市,大埔,大埔县三河卫生院,大埔县三河卫生院,公立/综合医院,未知
广东省,梅州市,大埔,大埔县茶阳医院,大埔县茶阳医院,公立/综合医院,未知
广东省,梅州市,大埔,大埔县慢性病防治院,大埔县慢性病防治院,公立/专科医院,未知
广东省,梅州市,大埔,大埔县妇幼保健院,大埔县妇幼保健院,公立/专科医院,未知
广东省,梅州市,大埔,大埔县百侯中心卫生院,大埔县百侯中心卫生院,公立/综合医院,未知
广东省,梅州市,大埔,大埔县高陂中心卫生院,大埔县高陂中心卫生院,公立/综合医院,一级甲等
广东省,梅州市,大埔,大埔县湖寮卫生院,大埔县湖寮卫生院,公立/综合医院,一级甲等
广东省,梅州市,大埔,大埔县中医院,大埔县中医院,公立/综合医院,二级乙等
广东省,梅州市,大埔,大埔县人民医院,大埔县人民医院,公立/综合医院,二级甲等
广东省,梅州市,大埔,梅州市大东镇卫生院,梅州市大东镇卫生院,其他/综合医院,未知
广东省,梅州市,大埔,大埔县大坪医院,大埔县大坪医院,公立/综合医院,未知
