省,市,区,全名,别名,性质,等级
广东省,梅州市,平远,平远县妇幼保健所,平远县妇幼保健所,公立/综合医院,未知
广东省,梅州市,平远,平远县慢性病防治站,平远县慢性病防治站,公立/专科医院,未知
广东省,梅州市,平远,平远县仁居中心卫生院,平远县仁居中心卫生院,公立/综合医院,未知
广东省,梅州市,平远,平远县八尺卫生院,平远县八尺卫生院,公立/综合医院,未知
广东省,梅州市,平远,平远县上举卫生院,平远县上举卫生院,公立/综合医院,未知
广东省,梅州市,平远,平远县泗水卫生院,平远县泗水卫生院,公立/综合医院,未知
广东省,梅州市,平远,平远县东石中心卫生院,平远县东石中心卫生院,公立/综合医院,未知
广东省,梅州市,平远,平远县河头卫生院,平远县河头卫生院,公立/综合医院,未知
广东省,梅州市,平远,平远县中行卫生院,平远县中行卫生院,公立/综合医院,未知
广东省,梅州市,平远,平远县石正中心卫生院,冬青医院,公立/综合医院,一级甲等
广东省,梅州市,平远,平远县热柘卫生院,平远县热柘卫生院,公立/综合医院,一级甲等
广东省,梅州市,平远,平远县长田卫生院,平远县长田卫生院,公立/综合医院,一级甲等
广东省,梅州市,平远,平远县差干卫生院,平远县差干卫生院,公立/综合医院,一级甲等
广东省,梅州市,平远,平远县坝头卫生院,平远县坝头卫生院,公立/综合医院,一级甲等
广东省,梅州市,平远,平远县中医院,平远县中医院,公立/综合医院,二级乙等
广东省,梅州市,平远,平远县人民医院,平远医院,公立/综合医院,二级甲等
