省,市,区,全名,别名,性质,等级
广东省,惠州市,惠阳,惠州市口腔医院,惠州市口腔医院,公立/专科医院,未知
广东省,惠州市,惠阳,惠阳长城医院,惠州长城医院,民营/综合医院,未知
广东省,惠州市,惠阳,惠阳白天鹅口腔专科门诊,惠阳白天鹅口腔专科门诊,民营/专科医院,未知
广东省,惠州市,惠阳,惠州康明眼科医院,惠州康明眼科医院,民营/专科医院,未知
广东省,惠州市,惠阳,惠阳区沙田医院,惠阳区沙田医院,公立/综合医院,未知
广东省,惠州市,惠阳,大亚湾经济技术开发区西区医院,大亚湾经济技术开发区西区医院,民营/综合医院,未知
广东省,惠州市,惠阳,惠阳区淡水镇医院,惠阳区淡水镇医院,公立/综合医院,一级甲等
广东省,惠州市,惠阳,惠阳区秋长医院,惠阳区秋长医院,民营/综合医院,一级甲等
广东省,惠州市,惠阳,惠阳区新圩医院,惠阳区新圩医院,公立/综合医院,一级甲等
广东省,惠州市,惠阳,大亚湾经济技术开发区霞涌医院,大亚湾经济技术开发区霞涌医院,公立/综合医院,一级甲等
广东省,惠州市,惠阳,惠阳区平潭医院,惠阳区平潭医院,民营/综合医院,一级甲等
广东省,惠州市,惠阳,惠阳区良井医院,惠阳区良井医院,公立/综合医院,一级甲等
广东省,惠州市,惠阳,惠阳长安医院,惠阳长安医院,民营/综合医院,一级甲等
广东省,惠州市,惠阳,惠阳区慢病站,惠阳区慢病站,民营/综合医院,二级乙等
广东省,惠州市,惠阳,惠州市惠阳区中医院,惠州市惠阳区中医院,公立/综合医院,二级甲等
广东省,惠州市,惠阳,惠州市惠阳区第一人民医院,惠州市惠阳区第一人民医院,公立/综合医院,二级甲等
广东省,惠州市,惠阳,惠阳市妇幼保健院,惠阳市妇幼保健院,公立/综合医院,二级甲等
广东省,惠州市,惠阳,大亚湾经济技术开发区人民医院,大亚湾经济技术开发区人民医院,民营/综合医院,二级甲等
广东省,惠州市,惠阳,惠阳三和医院,惠阳三和医院,民营/综合医院,二级甲等
广东省,惠州市,惠阳,惠阳区永湖医院,惠阳区永湖医院,公立/综合医院,二级甲等
广东省,惠州市,惠阳,惠阳区镇隆医院,惠阳区镇隆医院,公立/综合医院,二级甲等
广东省,惠州市,惠阳,南方医科大学惠州协和医院,南方医科大学惠州协和医院,公立/综合医院,三级乙等
广东省,惠州市,惠阳,核工业大亚湾医院,核工业大亚湾医院,公立/综合医院,未知
广东省,惠州市,惠阳,惠阳区第二人民医院,惠阳区第二人民医院,公立/综合医院,二级乙等
广东省,惠州市,惠阳,惠州市惠阳区人民医院,惠州市惠阳区人民医院,公立/综合医院,二级乙等
广东省,惠州市,惠阳,惠州惠民医院,惠州惠民医院,民营/综合医院,二级甲等
广东省,惠州市,惠阳,惠州市惠阳区妇幼保健院,惠州市惠阳区妇幼保健院,公立/综合医院,二级甲等
广东省,惠州市,惠阳,惠州市新鹏塘吓医院,惠州市新鹏塘吓医院,民营/综合医院,二级甲等
广东省,惠州市,惠阳,惠州市惠阳区侨联医院,惠州市惠阳区侨联医院,民营/综合医院,二级甲等
广东省,惠州市,惠阳,惠阳玛莱妇产医院,玛莱妇产医院,民营/专科医院,未评级
广东省,惠州市,惠阳,惠阳区淡水街道办事处社区卫生服务中心,惠阳区淡水街道办事处社区卫生服务中心,其他/其他,未知
广东省,惠州市,惠阳,惠阳市中医院,惠阳市中医院,公立/中医医院,未知
广东省,惠州市,惠阳,惠州市红会医院,惠州市红会医院,公立/综合医院,一级甲等
广东省,惠州市,惠阳,惠阳区永湖医院, 惠阳区永湖医院,公立/综合医院,二级甲等
广东省,惠州市,惠阳,惠州市惠阳区五官医院,惠州市惠阳区五官医院,公立/综合医院,二级甲等
广东省,惠州市,惠阳,惠阳市第二人民医院惠阳创伤医院,惠阳市第二人民医院惠阳创伤医院,公立/综合医院,未知
