省,市,区,全名,别名,性质,等级
广东省,惠州市,龙门,龙门县龙城街道卫生院,龙门县龙城街道卫生院,公立/综合医院,未知
广东省,惠州市,龙门,龙门县王坪卫生院,龙门县王坪卫生院,公立/综合医院,未知
广东省,惠州市,龙门,龙门县田美卫生院,龙门县田美卫生院,公立/综合医院,未知
广东省,惠州市,龙门,龙门县平陵镇中心卫生院,龙门县平陵镇中心卫生院,公立/综合医院,未知
广东省,惠州市,龙门,龙门县地派镇卫生院,龙门县地派镇卫生院,公立/综合医院,未知
广东省,惠州市,龙门,龙门县蓝田卫生院,龙门县蓝田卫生院,公立/综合医院,未知
广东省,惠州市,龙门,龙门县龙华卫生院,龙门县龙华卫生院,公立/综合医院,未知
广东省,惠州市,龙门,龙门县龙江镇卫生院,龙门县龙江镇卫生院,公立/综合医院,未知
广东省,惠州市,龙门,龙门县龙江镇路溪卫生院,龙门县龙江镇路溪卫生院,公立/综合医院,未知
广东省,惠州市,龙门,龙门县麻榨卫生院,龙门县麻榨卫生院,公立/综合医院,未知
广东省,惠州市,龙门,龙门县南昆山卫生院,龙门县南昆山卫生院,公立/综合医院,未知
广东省,惠州市,龙门,龙门县沙迳卫生院,龙门县沙迳卫生院,公立/综合医院,未知
广东省,惠州市,龙门,龙门县天堂山卫生院,龙门县天堂山卫生院,民营/综合医院,未知
广东省,惠州市,龙门,龙门县左潭卫生院,龙门县左潭卫生院,公立/综合医院,未知
广东省,惠州市,龙门,龙门县龙潭镇铁岗卫生院,龙门县龙潭镇铁岗卫生院,公立/综合医院,未知
广东省,惠州市,龙门,龙门县结核病防治所,龙门县结核病防治所,公立/专科医院,未知
广东省,惠州市,龙门,龙门县慢性病防治站,龙门县慢性病防治站,公立/专科医院,未知
广东省,惠州市,龙门,龙门县中医院,龙门县中医院,公立/综合医院,未知
广东省,惠州市,龙门,龙门县新城医院,龙门县新城医院,民营/综合医院,未知
广东省,惠州市,龙门,龙门县妇幼保健院,龙门县妇幼保健院,公立/综合医院,未知
广东省,惠州市,龙门,龙门县人民医院,龙门县人民医院,公立/综合医院,二级甲等
