省,市,区,全名,别名,性质,等级
广东省,汕尾市,城区,惠州市第一人民医院,惠州市第一人民医院,公立/综合医院,三级乙等
广东省,汕尾市,城区,汕尾市人民医院,汕尾市人民医院,公立/综合医院,二级甲等
广东省,汕尾市,城区,晋城市矿务局医院,晋城市矿务局医院,公立/综合医院,二级甲等
广东省,汕尾市,城区,盐城新世纪肝胆医院,盐城新世纪肝胆医院,个体户/专科医院,未知
广东省,汕尾市,城区,汕尾逸挥基金医院,逸挥医院,公立/综合医院,二级甲等
广东省,汕尾市,城区,汕尾市新港医院,汕尾市新港医院,公立/综合医院,一级甲等
广东省,汕尾市,城区,汕尾市城区人民医院,汕尾市城区人民医院,公立/综合医院,未知
广东省,汕尾市,城区,汕尾市城区中医院,汕尾市城区中医院,公立/综合医院,一级甲等
广东省,汕尾市,城区,曾医生吉祥诊室,曾医生吉祥诊室,民营/综合医院,一级甲等
广东省,汕尾市,城区,骨科、神经科、风湿病科,骨科、神经科、风湿病科,民营/综合医院,一级甲等
广东省,汕尾市,城区,汕尾中医医院,汕尾中医医院,公立/综合医院,二级甲等
广东省,汕尾市,城区,汕尾市城区香洲医院,汕尾市城区香洲医院,公立/综合医院,一级甲等
广东省,汕尾市,城区,汕尾市新港街道社区卫生服务中心,汕尾市新港街道社区卫生服务中心,公立/其他,未知
广东省,汕尾市,城区,汕尾市城区香洲街道社区卫生服务中心,汕尾市城区香洲街道社区卫生服务中心,公立/其他,未知
广东省,汕尾市,城区,汕尾市城区捷胜镇卫生院,汕尾市城区捷胜镇卫生院,公立/综合医院,未知
广东省,汕尾市,城区,汕尾市城区红草镇中心卫生院,汕尾市城区红草镇中心卫生院,公立/综合医院,未知
广东省,汕尾市,城区,汕尾市慢性病防治站,汕尾市慢性病防治站,公立/专科医院,未知
