省,市,区,全名,别名,性质,等级
广东省,汕尾市,陆丰,陆丰市铜锣湖农场职工医院,陆丰市铜锣湖农场职工医院,公立/综合医院,未知
广东省,汕尾市,陆丰,陆丰市人民医院,陆丰市人民医院,公立/综合医院,二级甲等
广东省,汕尾市,陆丰,陆丰同济医院,陆丰同济医院,/综合医院,未知
广东省,汕尾市,陆丰,陆丰市妇幼保健院,陆丰市妇幼保健院,/综合医院,未知
广东省,汕尾市,陆丰,陆丰市中医院,陆丰市中医院,/综合医院,未知
广东省,汕尾市,陆丰,陆丰甲子康济达中医院,陆丰甲子康济达中医院,/综合医院,未知
广东省,汕尾市,陆丰,陆丰济阳医院,陆丰济阳医院,/综合医院,未知
广东省,汕尾市,陆丰,陆丰市中医医院,陆丰市中医医院,公立/综合医院,未知
广东省,汕尾市,陆丰,潭西镇卫生站,潭西镇卫生站,个体户/综合医院,一级甲等
广东省,汕尾市,陆丰,陆丰市东海镇卫生院,陆丰市东海镇卫生院,公立/综合医院,未知
广东省,汕尾市,陆丰,陆丰碣石人民医院,陆丰碣石人民医院,公立/综合医院,未知
广东省,汕尾市,陆丰,陆丰市湖东镇卫生院,陆丰市湖东镇卫生院,公立/综合医院,未知
广东省,汕尾市,陆丰,陆丰市西南镇卫生院,陆丰市西南镇卫生院,公立/综合医院,未知
广东省,汕尾市,陆丰,陆丰市八万镇卫生院,陆丰市八万镇卫生院,公立/综合医院,未知
广东省,汕尾市,陆丰,陆丰市河西镇卫生院,陆丰市河西镇卫生院,公立/综合医院,未知
广东省,汕尾市,陆丰,陆丰南塘中心卫生院,陆丰南塘中心卫生院,公立/综合医院,未知
广东省,汕尾市,陆丰,陆丰市甲东镇卫生院,陆丰市甲东镇卫生院,公立/综合医院,未知
广东省,汕尾市,陆丰,陆丰市桥冲镇卫生院,陆丰市桥冲镇卫生院,公立/综合医院,一级医院
广东省,汕尾市,陆丰,陆丰市大安镇卫生院,陆丰市大安镇卫生院,公立/综合医院,未知
广东省,汕尾市,陆丰,陆丰博美中心卫生院,陆丰博美中心卫生院,公立/综合医院,一级医院
广东省,汕尾市,陆丰,陆丰市甲西镇卫生院,陆丰市甲西镇卫生院,公立/综合医院,未知
广东省,汕尾市,陆丰,陆丰市光地医院,陆丰市光地医院,公立/综合医院,未知
广东省,汕尾市,陆丰,陆丰市慢性病防治站,陆丰市慢性病防治站,公立/专科医院,未知
广东省,汕尾市,陆丰,陆丰县城东镇卫生院,陆丰县城东镇卫生院,公立/综合医院,未知
